climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,22.129998999999998,22.129998999999998,22.129998999999998,36.849998
2,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
3,22.129998999999998,22.129998999999998,22.129998999999998,27.639999
4,22.129998999999998,22.129998999999998,22.129998999999998,23.059998999999998
5,21.969998999999998,22.129998999999998,23.030001000000002,34.549999
6,21.969998999999998,22.129998999999998,27.469998999999998,27.639999
7,21.969998999999998,23.030001000000002,27.469998999999998,42.18
8,18.82,23.030001000000002,27.469998999999998,42.18
9,21.969998999999998,24.77,26.040001,34.549999
10,22.129998999999998,24.77,24.77,36.849998
11,18.530001000000002,22.129998999999998,27.639999,27.639999
12,22.129998999999998,27.639999,27.639999,27.639999
13,22.129998999999998,22.129998999999998,27.639999,36.849998
14,22.129998999999998,22.129998999999998,22.129998999999998,27.639999
15,22.129998999999998,22.129998999999998,27.469998999999998,36.849998
16,22.129998999999998,22.129998999999998,27.469998999999998,36.849998
17,22.129998999999998,23.75,27.469998999999998,27.639999
18,18.82,20.629998999999998,27.469998999999998,27.469998999999998
19,18.82,22.129998999999998,25.26,36.849998
20,22.129998999999998,24.77,25.26,25.26
21,22.129998999999998,36.849998,36.849998,36.849998
22,22.129998999999998,27.639999,27.639999,36.849998
23,22.129998999999998,22.129998999999998,27.639999,36.849998
24,22.129998999999998,22.129998999999998,36.849998,36.849998
25,22.129998999999998,22.129998999999998,31.720571999999997,36.849998
26,18.82,22.129998999999998,22.129998999999998,27.469998999999998
27,18.82,18.82,22.129998999999998,27.469998999999998
28,18.82,18.82,18.82,24.24
29,18.82,18.82,22.129998999999998,27.469998999999998
30,18.82,22.129998999999998,25.26,25.26
31,36.849998,36.849998,36.849998,36.849998
32,36.849998,36.849998,36.849998,36.849998
33,36.849998,36.849998,36.849998,36.849998
34,27.639999,36.849998,36.849998,36.849998
35,22.129998999999998,22.129998999999998,36.849998,36.849998
36,22.129998999999998,22.129998999999998,27.639999,36.849998
37,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
38,18.82,22.129998999999998,22.129998999999998,36.849998
39,18.82,22.129998999999998,22.129998999999998,36.849998
40,22.129998999999998,22.129998999999998,24.77,25.26
41,36.849998,36.849998,36.849998,36.849998
42,36.849998,36.849998,36.849998,36.849998
43,27.639999,36.849998,36.849998,36.849998
44,22.129998999999998,23.75,36.849998,36.849998
45,22.129998999999998,22.129998999999998,22.129998999999998,27.639999
46,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
47,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
48,18.82,22.129998999999998,22.129998999999998,22.129998999999998
49,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
50,22.129998999999998,22.129998999999998,24.77,24.77
51,24.24,27.639999,36.849998,36.849998
52,18.82,22.129998999999998,27.639999,36.849998
53,18.82,20.629998999999998,22.129998999999998,27.639999
54,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
55,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
56,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
57,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
58,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
59,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
60,22.129998999999998,22.129998999999998,22.129998999999998,24.77
61,26.914403999999998,36.849998,36.849998,36.849998
62,18.82,22.4119,27.639999,33.220001
63,18.82,22.129998999999998,24.256342,27.964440999999997
64,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
65,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
66,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
67,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
68,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
69,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
70,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
71,26.914403999999998,26.914403999999998,26.914406,29.075499
72,18.530001000000002,23.75,29.075499,36.849998
73,22.129998999999998,22.129998999999998,22.129998999999998,30.709999
74,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
75,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
76,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
77,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
78,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
79,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
80,22.129998999999998,22.129998999999998,22.129998999999998,22.129998999999998
81,26.914403999999998,29.075499,29.075499,29.075499
82,29.075499,29.075499,29.075499,29.075499
83,29.075499,29.075499,29.075499,29.075499
84,12.98,29.075499,29.075499,29.075499
85,5.488377,7.659381,7.659381,9.02
86,6.553589,7.121702,7.669525999999999,22.129998999999998
87,6.228953,6.553589,7.750684,22.129998999999998
88,5.123162000000001,6.228953,19.940001000000002,36.849998
89,5.123162000000001,7.750684,22.129998999999998,22.129998999999998
90,4.737657,7.750684,22.129998999999998,22.129998999999998
91,5.802868,7.050688,9.14,12.102837
92,5.488377,7.050688,7.659381,12.102837
93,5.802868,6.553589,7.121702,12.102837
94,6.228953,6.228953,6.553589,12.102837
95,5.802868,6.553589,7.750684,12.102837
96,5.488377,7.750684,7.750684,7.750684
97,5.123162000000001,7.750684,7.750684,7.750684
98,5.123162000000001,5.662059999999999,7.750684,7.750684
99,5.123162000000001,5.123162000000001,7.750684,7.750684
100,5.123162000000001,5.662059999999999,7.750684,16.08
