climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.78,1.14087,1.18021,1.278561
2,1.18021,1.190045,1.278561,1.435923
3,1.131035,1.190045,1.239221,1.416252
4,1.131035,1.131035,1.190045,1.416252
5,1.131035,1.131035,1.190045,1.3277370000000002
6,1.131035,1.131035,1.190045,1.278561
7,1.131035,1.190045,1.239221,1.337572
8,1.190045,1.239221,1.249056,1.3277370000000002
9,1.16054,1.199881,1.249056,1.357242
10,0.5,0.78,1.16,1.199881
11,1.062189,1.072024,1.072024,1.18021
12,1.072024,1.18021,1.18021,1.18021
13,1.16054,1.18021,1.18021,1.278561
14,1.16054,1.16054,1.18021,1.18021
15,1.072024,1.072024,1.131035,1.16054
16,1.072024,1.131035,1.16054,1.16054
17,1.131035,1.131035,1.16054,1.249056
18,1.199881,1.199881,1.249056,1.448939
19,1.052354,1.16054,1.199881,1.2883959999999999
20,0.5,1.032684,1.052354,1.09
21,1.062189,1.111365,1.111365,1.357242
22,1.022849,1.16054,1.16054,1.18021
23,1.022849,1.072024,1.18021,1.18021
24,1.022849,1.072024,1.072024,1.281293
25,1.072024,1.072024,1.249056,1.353141
26,1.199881,1.249056,1.389065,1.592635
27,1.199881,1.199881,1.2883959999999999,1.2883959999999999
28,1.10153,1.10153,1.2883959999999999,1.592635
29,0.5,1.052354,1.10153,1.2883959999999999
30,0.19,0.19,0.32,1.09
31,0.9220520000000001,1.111365,1.111365,1.111365
32,1.022849,1.022849,1.111365,1.281293
33,1.072024,1.281293,1.353141,1.353141
34,1.089698,1.249056,1.341166,1.353141
35,1.161546,1.305242,1.341166,1.389065
36,0.81428,1.2883959999999999,1.341166,1.520787
37,0.78,1.2883959999999999,1.2883959999999999,1.4249889999999998
38,0.19,0.5,0.78,0.78
39,0.19,0.19,0.32,0.78
40,0.19,0.78,1.09,1.31
41,0.78,0.78,0.78,1.281293
42,0.78,0.8502040000000001,1.161546,1.233394
43,0.78,0.826254,1.089698,1.305242
44,0.694533,0.78,1.07,1.389065
45,0.72,0.78,1.07,1.07
46,0.5,0.78,1.07,1.07
47,0.19,0.23,0.78,1.07
48,0.78,1.07,1.07,1.31
49,1.07,1.07,1.07,1.31
50,1.07,1.07,1.31,1.31
51,0.72,0.78,0.78,0.78
52,0.5,0.78,0.78,0.78
53,0.61,0.78,0.78,1.31
54,0.78,0.78,1.31,1.31
55,0.78,0.78,1.31,1.31
56,0.64,0.78,1.07,1.31
57,0.64,0.78,0.78,1.31
58,0.64,0.64,0.78,1.31
59,0.64,0.64,0.78,1.31
60,0.64,0.78,0.78,1.31
61,0.61,0.78,0.78,0.94
62,0.77,0.78,0.78,0.78
63,0.77,0.78,0.78,0.78
64,0.77,0.78,0.78,0.78
65,0.77,0.78,0.78,0.78
66,0.77,0.78,0.78,0.78
67,0.78,0.78,0.78,0.94
68,0.78,0.78,0.78,1.0535219999999998
69,0.78,0.78,0.78,1.0535219999999998
70,0.78,0.78,0.78,0.78
71,0.297734,0.34354,0.77,1.0535219999999998
72,0.229148,0.361349,0.77,0.925406
73,0.229148,0.35041100000000003,0.77,0.78
74,0.229148,0.352536,0.502363,0.78
75,0.308469,0.32609499999999997,0.44948299999999997,0.78
76,0.229148,0.32609499999999997,0.44948299999999997,0.78
77,0.229148,0.308469,0.44948299999999997,0.705071
78,0.229148,0.32609499999999997,0.44948299999999997,0.78
79,0.32609499999999997,0.46002600000000005,0.78,0.78
80,0.44948299999999997,0.505109,0.78,0.78
81,0.220335,0.334909,0.334909,0.582428
82,0.334909,0.405416,0.502363,0.775578
83,0.32609499999999997,0.37897600000000004,0.54643,0.6786310000000001
84,0.229148,0.352536,0.387789,0.661004
85,0.220335,0.352536,0.361349,0.555243
86,0.220335,0.308469,0.440669,0.537617
87,0.308469,0.34372199999999997,0.44948299999999997,0.537617
88,0.308469,0.387789,0.528803,0.555243
89,0.32609499999999997,0.487692,0.537617,0.78
90,0.487692,0.696703,0.870878,0.9405479999999999
91,0.220335,0.317282,0.334909,0.549147
92,0.25558800000000004,0.317282,0.361349,0.6786310000000001
93,0.317282,0.5111760000000001,0.537617,0.581684
94,0.25558800000000004,0.48095600000000005,0.51999,0.54643
95,0.229148,0.32609499999999997,0.35,0.5111760000000001
96,0.193895,0.32609499999999997,0.387789,0.537617
97,0.193895,0.348983,0.387789,0.537617
98,0.193895,0.273215,0.370162,0.5111760000000001
99,0.193895,0.32609499999999997,0.370162,0.528803
100,0.32609499999999997,0.370162,0.440669,0.696703
