climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,4.0295440000000005,4.7121,5.715374,9.196545
2,4.646311,6.044316,7.013580999999999,8.174218
3,3.092738,6.3156930000000004,7.384755999999999,9.417693
4,3.164072,5.861079,7.228509,9.639622
5,3.215449,4.0328599999999994,7.089228,8.725197
6,3.602336,6.340364,8.342811,9.765417999999999
7,6.3685220000000005,7.796741,8.586162,9.253055999999999
8,7.712436,8.61298,9.125765,10.471741
9,6.505662999999999,7.485219,7.7916669999999995,9.909661999999999
10,3.045779,6.6731929999999995,7.474809,9.164931
11,4.6298639999999995,5.772939,6.718648,10.093505
12,3.092738,6.249905,6.767989,9.417693
13,2.908228,5.819974,6.767989,8.552502
14,4.087109,6.233458000000001,7.607952,9.034443
15,4.600732,7.110842,8.883149000000001,9.41268
16,8.029415,9.04525,9.434292999999998,10.201571000000001
17,8.494105000000001,9.97463,10.190764999999999,10.450128
18,8.667014,9.185738,10.223186,10.525774
19,8.040222,9.196545,10.385286,10.64465
20,4.374855999999999,6.862286,8.21313,9.661234
21,4.268027,5.731821,9.002023,11.455155
22,3.105604,4.191143,5.838727,10.082697999999999
23,3.6348550000000004,5.338535,6.221194000000001,9.866563000000001
24,2.895901,4.253979,7.0460009999999995,9.97463
25,5.167872,7.304310000000001,8.342811,9.866563000000001
26,6.225235,8.459464,9.855756,10.4069
27,8.321197999999999,9.563974,10.450128,10.687877
28,7.402624,9.531553,10.4069,10.698682000000002
29,7.413431,8.569753,9.531553,9.823336
30,5.014332,7.770053,8.459464,9.499133
31,3.6348550000000004,5.394655,7.867314,10.83336
32,2.753504,4.8519,6.899567,11.001272
33,4.958807,6.7289270000000005,9.931403,10.460935000000001
34,5.8798449999999995,7.661986,8.342811,9.693655
35,4.7877160000000005,6.797446000000001,8.883149000000001,10.531802
36,8.029415,9.455907,9.90979,10.531802
37,8.991216,9.585588000000001,9.81253,10.4069
38,8.202324,9.142510000000001,9.607202000000001,9.953017
39,6.948739999999999,8.375232,8.915569,9.691191
40,2.64,5.349341000000001,7.899734,8.839922
41,4.013097,5.254854,10.83336,13.313916
42,3.906191,4.564075,6.356812000000001,12.503409
43,3.955532,4.490064,5.304196,10.601422
44,3.4374480000000003,4.753218,5.896292,10.623035
45,2.340568,4.5511040000000005,5.873092,8.137849000000001
46,3.248306,5.328251,6.7289270000000005,9.691191
47,4.925912,6.7289270000000005,7.683599000000001,9.639622
48,5.338535,6.116621,7.110842,7.856507000000001
49,4.365927,6.040973999999999,6.840673,7.618759
50,2.138177,4.432498000000001,7.5539179999999995,8.915569
51,1.3003149999999999,3.28,4.808003,10.973922
52,3.330542,3.9308620000000003,4.531181,5.690858
53,1.430347,3.823955,4.7262699999999995,6.184117
54,3.7334959999999997,4.6380870000000005,5.419326,7.368309
55,3.7006019999999995,4.218686,4.7262699999999995,6.7289270000000005
56,3.6183660000000004,4.268027,4.7262699999999995,6.259733
57,3.4210010000000004,4.7262699999999995,6.259733,6.7289270000000005
58,2.919363,3.758167,5.055845,6.7289270000000005
59,2.689104,3.918597,6.203074,9.293805
60,2.077722,3.475281,5.0664690000000006,6.981161
61,0.621502,1.083596,1.9288009999999998,5.64
62,1.61249,2.41308,4.56456,6.183929
63,1.61249,2.49,5.306114,7.019278999999999
64,1.6505889999999999,3.018046,4.706568,6.259733
65,1.210669,2.138177,3.9308620000000003,6.259733
66,1.423378,2.3115759999999996,3.4436150000000003,7.056808
67,1.8999259999999998,2.707394,4.4964900000000005,8.234743
68,2.137416,3.3248699999999998,4.053173999999999,6.158926
69,2.374907,3.562361,4.274833,5.10605
70,2.6123979999999998,3.41195,3.926513,5.224794999999999
71,0.464054,1.16146,1.61249,3.742957
72,0.875215,1.399591,1.9221549999999998,4.203826
73,1.164929,1.424944,2.059124,4.767429
74,1.076864,1.519787,2.138177,4.211501999999999
75,1.390565,2.017376,3.126961,4.219418
76,1.5601459999999998,2.406573,3.277372,4.631069
77,1.6505889999999999,2.691561,3.4594480000000005,4.749814
78,1.774964,2.778641,3.7444370000000005,4.7181489999999995
79,0.872338,2.290893,3.6652730000000004,5.699777
80,1.424944,2.17102,2.881554,3.918597
81,0.878416,1.590748,1.9471580000000002,3.01
82,0.8346969999999999,1.06314,1.7221119999999999,2.802825
83,0.972461,1.0877370000000002,1.555172,2.433801
84,0.99285,1.291584,1.9505549999999998,2.899474
85,0.99285,1.437563,2.09843,3.346994
86,1.0612219999999999,1.317943,1.90421,3.329561
87,0.99285,1.403108,2.064777,3.958179
88,0.8076479999999999,1.423378,2.160152,4.0305800000000005
89,1.113788,1.9896009999999997,2.8657209999999997,3.611068
90,1.25779,2.087072,2.881554,3.3888879999999997
91,0.8881680000000001,1.032429,1.590748,2.688603
92,0.921811,1.2499209999999998,1.60789,2.688603
93,0.99285,1.2780770000000001,1.9486709999999998,3.5496589999999997
94,1.0877370000000002,1.253009,1.503634,3.388896
95,1.0877370000000002,1.299754,3.098132,3.799975
96,1.1140729999999999,1.40069,3.098132,3.8200279999999998
97,1.143046,1.520027,2.511891,4.080712
98,1.227035,1.7738099999999999,2.436101,3.5837760000000003
99,1.502553,2.087072,3.090854,3.5079860000000003
100,1.1983549999999998,2.007565,3.096555,3.3888879999999997
