climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.273616,2.273616,3.3683199999999998,6.315599
2,2.719918,3.957775,3.957775,7.511353
3,3.494632,5.052479,7.157678999999999,7.578719
4,3.928303,5.052479,6.315599,7.578719
5,3.3683199999999998,3.444107,5.052479,7.578719
6,3.300953,3.300953,3.444107,3.494632
7,2.239933,3.444107,4.2104,9.754092
8,2.239933,3.444107,4.2104,10.046014
9,2.610448,5.052479,6.820848,10.997564
10,1.004118,1.004118,1.004118,4.2104
11,3.494632,5.052479,7.578719,11.789119
12,1.67353,1.67353,2.978929,5.052479
13,2.1215479999999998,2.9454130000000003,3.012354,5.136687
14,2.979021,3.012354,3.012354,6.905055
15,3.012009,3.012354,3.78936,7.578719
16,3.0051229999999998,3.01155,5.220895,11.789119
17,1.004118,1.004118,5.052479,11.789119
18,0.9207860000000001,1.004118,1.004118,5.136687
19,1.004118,1.004118,3.8988300000000002,5.052479
20,1.004118,2.858861,3.536736,4.678222
21,1.6841599999999999,1.8408830000000003,3.012354,6.315599
22,1.67353,1.67353,1.8401939999999999,1.8401939999999999
23,3.012354,3.012354,3.012354,3.012354
24,1.67353,1.67353,1.7834139999999998,3.0123159999999998
25,1.67353,1.67353,1.67353,4.378815
26,1.002549,1.002549,1.67353,1.67353
27,2.126777,2.9454130000000003,2.989866,3.012354
28,0.906384,1.004118,3.012354,11.789119
29,0.9242530000000001,8.420799,11.789119,11.789119
30,8.420799,9.736547999999999,11.789119,12.139985000000001
31,2.121715,2.978888,2.990037,3.012354
32,0.9521040000000001,1.67353,1.7804259999999998,1.8408830000000003
33,1.000005,1.000005,1.002601,1.002601
34,1.838817,1.838817,1.8408830000000003,1.8408830000000003
35,0.9505020000000001,1.67353,1.8408830000000003,1.8408830000000003
36,1.8408830000000003,1.8408830000000003,1.8408830000000003,1.8408830000000003
37,1.834685,1.834685,1.8408830000000003,1.8408830000000003
38,1.67353,1.67353,1.8408830000000003,1.8408830000000003
39,1.8408830000000003,1.8408830000000003,1.8408830000000003,1.8408830000000003
40,0.9037059999999999,1.8408830000000003,11.789119,14.011272
41,1.67353,1.67353,2.38395,4.8682739999999995
42,1.8406529999999999,2.9454130000000003,3.012354,3.012354
43,2.978885,3.012354,3.012354,3.504407
44,0.9037059999999999,0.9529690000000001,1.4303700000000001,2.208895
45,0.9539350000000001,1.0019799999999999,1.4303700000000001,2.489903
46,1.67353,1.8408830000000003,1.8408830000000003,2.38395
47,1.7537200000000002,1.8408830000000003,1.8408830000000003,1.8408830000000003
48,0.9545319999999999,1.8408830000000003,1.8408830000000003,3.012354
49,1.506177,1.6701830000000002,1.6728610000000002,1.6728610000000002
50,1.506177,1.8921150000000002,12.631199,14.876744
51,2.342942,2.342942,2.342942,11.789119
52,1.67353,1.67353,1.67353,1.67353
53,1.67353,1.67353,1.784893,1.8408060000000002
54,3.012354,4.378815,11.789119,11.789119
55,1.8408830000000003,1.8408830000000003,1.8408830000000003,1.8408830000000003
56,1.4303700000000001,8.420799,11.789119,11.789119
57,1.67353,1.67353,1.8222880000000001,1.8408830000000003
58,1.506177,1.8408830000000003,2.029155,9.262879
59,1.506177,2.027777,2.0459419999999997,2.050074
60,1.8408830000000003,1.8408830000000003,1.8408830000000003,1.932695
61,2.342942,2.342942,10.947039,11.789119
62,6.736639,11.789119,11.789119,11.789119
63,1.4303700000000001,1.8408830000000003,5.136687,11.789119
64,1.4303700000000001,2.38395,11.789119,11.789119
65,1.4303700000000001,5.131424,11.789119,11.789119
66,1.8408830000000003,1.8408830000000003,1.8408830000000003,11.789119
67,1.8408830000000003,1.8408830000000003,2.342942,2.342942
68,1.67353,1.7850990000000002,1.8408830000000003,11.789119
69,2.008236,2.018695,2.1215479999999998,11.789119
70,1.8683470000000002,2.079516,4.2104,9.122532000000001
71,2.342942,2.342942,2.342942,2.342942
72,2.342942,2.342942,11.789119,11.789119
73,1.916696,6.596292,11.789119,11.789119
74,1.4303700000000001,2.342942,2.342942,11.789119
75,2.342942,2.342942,11.789119,11.789119
76,2.342942,2.342942,2.342942,9.262879
77,2.008236,2.008236,2.342942,11.789119
78,2.008236,11.789119,11.789119,11.789119
79,2.008236,2.126777,2.342942,5.052479
80,1.506177,1.9942900000000001,2.138399,11.789119
81,1.4303700000000001,2.342942,2.38395,11.789119
82,1.4303700000000001,2.342942,2.342942,3.813797
83,2.342942,2.342942,2.342942,2.622345
84,1.4303700000000001,2.342942,2.342942,2.342942
85,1.8408830000000003,1.8408830000000003,1.8408830000000003,1.8408830000000003
86,2.342942,2.342942,2.342942,2.342942
87,2.342942,2.342942,2.342942,11.789119
88,1.6735240000000002,1.673529,2.342942,2.864465
89,2.008236,2.145555,2.147697,5.052479
90,2.625067,7.578719,7.999759,11.227732000000001
91,2.48,3.33753,3.4328879999999997,3.9335169999999997
92,2.48,2.8607400000000003,3.4328879999999997,3.9335169999999997
93,2.38395,3.287467,3.4328879999999997,3.4335739999999997
94,2.342942,3.0276240000000003,3.432894,3.897625
95,1.717843,2.507083,3.4329959999999997,3.5441629999999997
96,1.4303700000000001,2.342942,3.43585,7.5960149999999995
97,1.4303700000000001,2.342942,3.01967,3.7813559999999997
98,1.4303700000000001,2.342942,3.800193,3.8143199999999995
99,2.342942,2.342942,3.435542,3.8143199999999995
100,1.8408830000000003,2.38395,2.622345,3.4332050000000005
