climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,14.35,14.35,25.299999,25.299999
2,16.35,16.35,25.299999,25.299999
3,16.35,16.35,25.299999,25.299999
4,16.35,16.35,25.299999,25.299999
5,16.35,16.35,25.299999,25.299999
6,15.31,16.35,25.299999,25.299999
7,15.31,16.35,25.299999,25.299999
8,15.31,16.35,25.299999,25.299999
9,15.31,16.35,22.623926,25.299999
10,16.35,21.48,25.299999,25.299999
11,14.35,16.15,16.35,25.299999
12,16.35,16.35,16.35,16.35
13,15.31,16.35,16.35,25.41
14,15.31,15.31,16.35,25.41
15,15.31,16.35,25.299999,25.41
16,15.31,15.31,16.35,25.299999
17,15.31,15.31,16.35,25.299999
18,16.35,18.190001000000002,25.299999,25.299999
19,16.35,18.190001000000002,24.629998999999998,25.299999
20,11.14,11.14,24.629998999999998,30.309998999999998
21,14.35,14.35,14.35,25.299999
22,14.35,16.35,16.35,25.41
23,14.35,15.31,25.41,25.41
24,16.35,25.299999,25.41,25.41
25,16.35,21.48,25.299999,25.299999
26,16.35,25.299999,25.299999,25.41
27,18.190001000000002,25.299999,25.299999,25.299999
28,18.190001000000002,21.48,25.299999,25.299999
29,21.48,21.48,25.299999,30.309998999999998
30,22.67,30.309998999999998,30.309998999999998,30.309998999999998
31,14.35,14.35,25.299999,25.41
32,25.299999,25.299999,25.41,25.41
33,25.299999,25.299999,25.299999,25.41
34,25.299999,25.299999,25.299999,25.41
35,16.35,25.299999,25.299999,25.299999
36,16.35,25.299999,25.299999,25.299999
37,16.35,25.299999,25.299999,25.299999
38,21.48,21.48,25.299999,25.299999
39,21.48,25.299999,25.299999,25.299999
40,22.67,25.299999,28.209999,30.309998999999998
41,14.35,14.35,24.629998999999998,25.41
42,19.195366,25.299999,25.41,25.41
43,16.35,25.299999,25.299999,25.41
44,21.48,25.299999,25.299999,25.299999
45,25.299999,25.299999,25.299999,25.299999
46,25.299999,25.299999,25.299999,25.299999
47,25.299999,25.299999,25.299999,25.299999
48,25.299999,25.299999,25.299999,25.299999
49,25.299999,25.299999,25.299999,25.299999
50,25.299999,25.299999,25.299999,25.299999
51,14.35,24.629998999999998,24.629998999999998,24.629998999999998
52,19.195366,24.629998999999998,24.629998999999998,24.629998999999998
53,15.49,22.311069,24.629998999999998,25.41
54,16.35,16.35,24.629998999999998,25.41
55,16.35,16.35,21.48,25.41
56,25.299999,25.299999,25.299999,25.299999
57,25.299999,25.299999,25.299999,25.299999
58,25.299999,25.299999,25.299999,25.299999
59,25.299999,25.299999,25.299999,25.299999
60,25.299999,25.299999,25.299999,25.299999
61,14.35,16.85,24.629998999999998,24.629998999999998
62,14.35,19.711601,21.02,25.41
63,14.35,16.35,21.02,28.679031
64,12.11,19.52,25.41,25.41
65,16.35,21.02,25.299999,25.41
66,25.299999,25.299999,25.299999,25.299999
67,25.299999,25.299999,25.299999,25.299999
68,25.299999,25.299999,25.299999,25.299999
69,25.299999,25.299999,25.299999,25.299999
70,25.299999,25.299999,25.299999,25.299999
71,19.768076,21.055391,25.843809,25.843809
72,14.35,19.768076,23.407528,25.843809
73,13.551726,15.543427,19.287973,28.679031
74,14.35,19.287973,21.02,22.623926
75,16.35,16.35,24.858393,25.299999
76,16.889999,25.299999,25.299999,25.299999
77,25.299999,25.299999,25.299999,25.299999
78,25.299999,25.299999,25.299999,25.299999
79,5.37678,25.299999,25.299999,25.299999
80,16.889999,25.299999,25.299999,25.299999
81,9.239813999999999,9.239813999999999,10.657763000000001,19.157213
82,13.896103,16.043726,17.518701999999998,23.407528
83,14.35,16.15,22.623926,27.556433000000002
84,10.782051,15.399689000000002,22.623926,25.299999
85,15.502178,16.889999,22.623926,28.209999
86,14.63,16.889999,25.299999,25.299999
87,12.238562,25.299999,25.299999,25.299999
88,14.781632,25.299999,25.299999,25.299999
89,25.299999,25.299999,25.299999,25.299999
90,14.63,25.299999,25.299999,25.299999
91,12.559895,16.043726,16.043726,25.58
92,7.076567,13.896103,14.35,25.306931
93,13.477564000000001,15.633975,21.974072,24.57
94,13.156454,15.57,20.448095000000002,32.089512
95,11.860256,17.121464000000003,20.448095000000002,32.089512
96,7.277864999999999,15.57,20.448095000000002,24.181652
97,7.21,15.57,19.420603,24.181652
98,9.14,15.57,15.982068,28.209999
99,9.47,10.357159,25.299999,28.84
100,5.829987,10.357158,15.57,28.84
