climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.6,0.951522,1.457342,1.983816
2,0.795535,1.385604,1.8693650000000002,2.016364
3,0.795535,1.56139,1.8693650000000002,1.983816
4,0.8850870000000001,1.632833,1.8693650000000002,1.983816
5,0.49774799999999997,1.632833,1.930406,2.014336
6,0.308012,0.9763200000000001,1.8693650000000002,2.014336
7,0.629713,1.089694,1.490734,2.014336
8,0.518528,0.9884219999999999,1.4143299999999999,1.851964
9,0.518528,0.9884219999999999,1.4143299999999999,1.551834
10,0.768556,1.1270959999999999,1.2081110000000002,1.54911
11,0.306741,0.49774799999999997,0.49774799999999997,1.4321959999999998
12,0.311771,0.47739899999999996,0.761571,1.334768
13,0.311771,0.565084,0.935312,1.334768
14,0.565084,1.2081110000000002,1.373739,1.597824
15,0.81709,1.256825,1.373739,1.99728
16,0.770293,0.992124,1.885773,1.99728
17,0.701484,0.82,1.217854,1.851964
18,0.828141,1.234444,1.433974,1.6991599999999998
19,0.6917409999999999,1.083525,1.234444,1.522369
20,0.6917409999999999,0.798912,1.0638239999999999,1.302978
21,0.361568,0.82,0.82,1.325025
22,0.360485,0.82,1.325025,1.461425
23,0.311771,0.47739899999999996,1.325025,1.461425
24,0.47739899999999996,0.565084,1.325025,1.510139
25,0.769684,1.2081110000000002,1.4419389999999999,1.510139
26,0.565084,0.9840260000000001,1.237339,1.4419389999999999
27,0.672255,0.789169,1.217854,1.99728
28,0.7794260000000001,1.217854,1.607567,1.99728
29,1.15544,1.2275969999999998,1.2275969999999998,1.519881
30,0.720969,1.15544,1.234444,1.522369
31,0.49774799999999997,0.82,0.82,0.82
32,0.360485,0.360485,0.82,0.82
33,0.565084,0.769684,0.906083,1.256825
34,0.565084,0.770293,0.9840260000000001,1.402968
35,0.565084,0.770293,0.906083,1.15544
36,0.769684,0.906083,1.15544,1.607567
37,0.789169,1.4127100000000001,1.54911,1.607567
38,0.935312,1.237339,1.4127100000000001,1.54911
39,0.987556,1.1496540000000002,1.273947,1.451682
40,0.6917409999999999,1.106062,1.234444,1.273947
41,0.097428,0.165628,0.399456,0.49774799999999997
42,0.360485,0.399456,0.399456,0.82
43,0.253314,0.6897399999999999,0.770293,1.256825
44,0.467656,0.770293,0.906083,1.15544
45,0.467656,0.789169,1.15544,1.510139
46,0.643027,0.789169,0.987556,1.273947
47,0.701484,0.8671120000000001,0.987556,1.451682
48,0.828141,0.987556,1.135689,1.490653
49,0.681998,1.135689,1.273947,1.4711670000000001
50,0.6917409999999999,0.828141,1.135689,1.234444
51,0.097428,0.097428,0.097428,0.48779399999999995
52,0.097428,0.137504,0.306741,0.48779399999999995
53,0.22408499999999998,0.399456,0.770293,0.770293
54,0.22408499999999998,0.361568,0.770293,0.987556
55,0.474822,0.920221,0.987556,1.15544
56,0.489479,0.828141,0.987556,1.344511
57,0.643027,0.9398,0.987556,1.344511
58,0.789169,0.8671120000000001,0.987556,1.273947
59,0.701484,1.005624,1.135689,1.519881
60,0.68,0.783289,0.8295469999999999,1.15544
61,0.097428,0.097428,0.271327,0.48779399999999995
62,0.097428,0.137504,0.368229,0.770293
63,0.137504,0.306741,0.399456,0.770293
64,0.22408499999999998,0.34884899999999996,0.445751,0.798912
65,0.34884899999999996,0.42636999999999997,0.770293,0.987556
66,0.474822,0.935312,0.987556,1.135689
67,0.457913,0.8516940000000001,0.987556,1.344511
68,0.470239,0.770293,0.987556,1.344511
69,0.70485,0.7831670000000001,1.106223,1.519881
70,0.68,0.936833,1.135689,1.15544
71,0.097428,0.251946,0.358539,0.48779399999999995
72,0.097428,0.22408499999999998,0.329468,0.626533
73,0.22408499999999998,0.319778,0.368229,0.445751
74,0.306741,0.329468,0.368229,0.51
75,0.306741,0.368229,0.42636999999999997,0.577585
76,0.306741,0.34884899999999996,0.577585,1.135689
77,0.137504,0.306741,0.753266,1.276311
78,0.306741,0.632743,0.770293,1.135689
79,0.632743,0.759941,0.871273,1.145018
80,0.755139,1.018116,1.135689,1.15544
81,0.329468,0.358539,0.368229,0.626533
82,0.329468,0.368229,0.41668,0.445751
83,0.368229,0.368229,0.43366800000000005,0.445751
84,0.41668,0.523273,0.562034,1.135689
85,0.470239,0.577585,1.135689,1.135689
86,0.572509,0.701484,1.135689,1.135689
87,0.54679,0.650578,1.135689,1.135689
88,0.650578,0.793706,1.135689,1.145018
89,0.780694,0.858764,1.135689,1.135689
90,0.755139,0.91081,1.10094,1.15544
91,0.319778,0.371817,0.3973,0.6
92,0.319778,0.371817,0.3973,0.45930299999999996
93,0.319778,0.358539,0.3973,0.445751
94,0.319778,0.3973,0.41116199999999997,0.445751
95,0.3973,0.40699,0.503892,0.523273
96,0.3973,0.40699,0.503892,0.523273
97,0.377919,0.40699,0.503892,0.53328
98,0.377919,0.46841700000000003,0.503892,1.135689
99,0.377919,0.503892,0.532963,1.135689
100,0.467656,0.562034,1.135689,1.247082
