climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.82,2.82,2.82,2.82
2,2.82,2.82,2.82,2.82
3,2.82,2.82,2.82,2.82
4,2.82,2.82,2.82,2.82
5,2.82,2.82,2.82,2.82
6,2.82,2.82,2.82,2.82
7,2.74,2.82,2.82,3.3
8,2.68,2.74,3.3,3.3
9,1.69,2.68,2.74,3.3
10,2.0,2.74,3.3,3.4
11,2.82,2.82,2.82,2.82
12,2.68,2.82,2.82,3.3
13,2.68,2.68,2.68,3.3
14,2.68,2.68,2.68,2.68
15,2.68,2.68,2.68,2.68
16,2.68,2.68,2.68,2.68
17,1.76,2.68,2.68,3.3
18,2.68,2.68,2.68,3.4
19,2.68,2.68,2.68,3.4
20,2.68,2.68,3.3,4.6
21,2.68,2.68,2.68,2.68
22,2.68,2.68,2.68,2.68
23,2.68,2.68,2.68,2.68
24,2.68,2.68,2.68,2.68
25,2.68,2.68,2.68,2.68
26,2.68,2.68,2.68,2.68
27,2.68,2.68,2.68,2.68
28,2.68,2.68,2.68,2.68
29,2.68,2.68,2.68,2.68
30,2.68,2.68,2.68,4.6
31,2.68,2.68,2.68,2.68
32,2.68,2.68,2.68,2.68
33,2.68,2.68,2.68,2.68
34,2.68,2.68,2.68,2.68
35,2.68,2.68,2.68,2.68
36,2.68,2.68,2.68,2.68
37,2.68,2.68,2.68,2.68
38,2.68,2.68,2.68,2.68
39,2.68,2.68,2.68,2.68
40,2.68,2.68,2.68,4.6
41,2.68,2.68,2.68,2.68
42,2.68,2.68,2.68,2.68
43,2.68,2.68,2.68,2.68
44,2.68,2.68,2.68,2.68
45,2.68,2.68,2.68,2.68
46,2.68,2.68,2.68,2.68
47,2.68,2.68,2.68,2.68
48,2.68,2.68,2.68,2.68
49,2.68,2.68,2.68,2.68
50,2.68,2.68,2.68,4.6
51,2.68,2.68,2.68,2.68
52,2.68,2.68,2.68,2.68
53,2.68,2.68,2.68,2.68
54,2.68,2.68,2.68,2.68
55,2.68,2.68,2.68,2.68
56,2.68,2.68,2.68,2.68
57,2.68,2.68,2.68,2.68
58,2.68,2.68,2.68,2.68
59,2.68,2.68,2.68,2.68
60,2.68,2.68,2.68,4.6
61,2.68,2.68,2.68,2.68
62,2.68,2.68,2.68,2.68
63,2.68,2.68,2.68,2.68
64,2.68,2.68,2.68,2.68
65,2.68,2.68,2.68,2.68
66,2.68,2.68,2.68,2.68
67,2.68,2.68,2.68,2.68
68,2.68,2.68,2.68,2.68
69,2.68,2.68,2.68,2.68
70,2.68,2.68,2.68,4.6
71,2.68,2.68,2.68,2.68
72,2.68,2.68,2.68,2.68
73,2.68,2.68,2.68,2.68
74,2.68,2.68,2.68,2.68
75,2.68,2.68,2.68,2.68
76,2.68,2.68,2.68,2.68
77,2.68,2.68,2.68,2.68
78,2.68,2.68,2.68,2.68
79,2.68,2.68,2.68,2.68
80,2.68,2.68,2.68,4.6
81,2.68,2.68,2.68,2.68
82,2.68,2.68,2.68,2.68
83,2.68,2.68,2.68,2.68
84,2.68,2.68,2.68,2.68
85,2.68,2.68,2.68,2.68
86,2.68,2.68,2.68,2.68
87,2.68,2.68,2.68,2.68
88,2.68,2.68,2.68,2.68
89,2.68,2.68,2.68,2.68
90,2.68,2.68,2.68,4.6
91,2.68,2.68,2.68,4.6
92,2.68,2.68,2.68,2.68
93,2.68,2.68,2.68,2.68
94,2.68,2.68,2.68,2.68
95,2.68,2.68,2.68,2.68
96,2.68,2.68,2.68,4.6
97,2.68,2.68,4.12,4.36
98,2.68,2.68,4.12,4.12
99,2.68,2.68,4.12,4.6
100,2.68,4.12,4.12,4.6
