climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.5192059999999996,4.534362000000001,5.867411,15.12
2,3.925268,4.064956,4.7035540000000005,8.653611999999999
3,3.925268,4.064956,4.7035540000000005,5.549517
4,4.064956,5.448002,5.549517,9.104873
5,4.064956,5.2449699999999995,5.549517,10.849793
6,4.064956,4.940424,6.496995,16.77
7,5.2449699999999995,6.496995,15.12,16.77
8,5.684871,6.970735,8.45963,16.77
9,5.684871,7.579828,8.45963,16.77
10,8.358114,11.227771,15.12,22.1
11,2.130236,3.4,4.534362000000001,9.309188
12,3.925268,4.534362000000001,4.7035540000000005,5.583356
13,3.925268,4.7035540000000005,4.7035540000000005,5.583356
14,4.064956,4.7035540000000005,5.414162999999999,5.583356
15,5.2449699999999995,5.549517,6.496995,8.452278
16,5.549517,5.684871,7.1737660000000005,29.25
17,6.733865,7.1737660000000005,8.425792,8.45963
18,6.733865,7.1737660000000005,8.358114,29.25
19,6.733865,8.45963,8.45963,29.25
20,8.45963,11.227771,13.839954999999998,29.25
21,2.130236,3.4,4.534362000000001,10.456448
22,2.130236,2.130236,4.7035540000000005,5.583356
23,4.7035540000000005,4.7035540000000005,5.583356,5.583356
24,5.583356,5.583356,5.583356,8.452278
25,8.358114,8.628822,9.643978,29.25
26,5.583356,8.358114,9.643978,29.25
27,7.579828,8.358114,9.104873,29.25
28,7.54599,8.358114,8.45963,27.042536
29,6.90521,8.45963,13.839954999999998,15.0
30,10.55,11.997053,22.1,29.25
31,2.727929,3.4,4.365169,9.309188
32,3.3258730000000005,4.7035540000000005,5.583356,11.669264
33,4.7035540000000005,8.358114,9.643978,29.25
34,5.48184,7.004573,9.643978,9.643978
35,5.989418,7.884375,8.358114,13.839954999999998
36,7.545989,8.23612,8.358114,13.839954999999998
37,7.54599,7.884375,8.23612,15.0
38,0.974615,7.884375,8.23612,15.0
39,0.6,0.974615,8.23612,15.0
40,8.23612,11.227771,22.1,36.07
41,2.528698,3.4,4.365169,11.833158000000001
42,4.365169,6.916333,9.210852000000001,16.618868
43,4.365169,4.771230999999999,6.666189,15.12
44,5.48184,6.293965,6.666189,9.643978
45,5.989418,7.004573,7.1737660000000005,8.053567999999999
46,1.239711,7.376798,8.45963,17.549999
47,0.974615,2.6423900000000002,7.376798,8.45963
48,0.6,0.974615,7.54599,29.25
49,10.587563000000001,11.210361,29.25,43.490002000000004
50,11.227771,21.601252,34.029999,43.490002000000004
51,3.4,4.365169,5.998526999999999,17.370001000000002
52,4.365169,4.771230999999999,7.506352000000001,10.751457
53,4.771230999999999,5.820226,6.666189,9.83365
54,6.666189,7.1737660000000005,8.93337,13.275428
55,3.2969269999999997,5.08,8.93337,16.422195000000002
56,2.6423900000000002,3.2969269999999997,5.08,11.58
57,5.08,5.08,5.08,7.106089
58,5.08,5.08,5.08,20.650665
59,17.176107000000002,32.549381,39.662388,43.490002000000004
60,14.947147,21.601252,33.827754999999996,46.021481
61,2.160887,4.771230999999999,5.820226,17.471117
62,5.820226,5.820226,8.12915,12.652629
63,5.08,7.473574,8.93337,13.308206
64,3.2969269999999997,5.08,7.670247,8.93337
65,3.2969269999999997,3.2969269999999997,5.08,9.204077999999999
66,3.2969269999999997,5.08,5.08,43.490002000000004
67,5.08,10.226995,43.490002000000004,43.490002000000004
68,29.46817,38.547909000000004,43.490002000000004,43.490002000000004
69,34.188324,40.383522,43.490002000000004,48.053768
70,17.995579,24.944693,35.0,49.299362
71,5.820226,9.001046,9.001046,23.338528
72,5.08,5.820226,9.001046,12.160947
73,5.08,5.08,9.001046,11.164003999999998
74,5.08,5.08,8.93337,9.380672
75,4.848422,5.08,8.93337,12.390399
76,8.93337,8.93337,13.535407999999999,43.490002000000004
77,9.669756,13.535407999999999,33.450001,43.490002000000004
78,33.450001,33.450001,33.450001,43.490002000000004
79,15.963291,26.288626,33.450001,43.490002000000004
80,14.029341,18.028357999999997,33.450001,43.490002000000004
81,7.850536,11.27,13.332377,38.18734
82,7.850536,12.849302,15.963291,44.759997999999996
83,13.535407999999999,33.450001,33.450001,33.450001
84,12.292062,18.629998999999998,33.450001,33.450001
85,12.095388999999999,13.308206,16.192743,30.74
86,13.013197,13.898223999999999,15.602725,25.305258
87,12.783745,13.799889000000002,14.783254999999999,20.027866
88,12.914860000000001,13.963783,14.979926999999998,20.421213
89,13.537657999999999,14.488244,16.061628,22.289606
90,15.111042000000001,16.323857999999998,17.241667,36.07
91,11.27,11.27,13.11,44.759997999999996
92,13.11,13.865445999999999,20.0,44.759997999999996
93,13.11,13.11,18.629998999999998,44.759997999999996
94,13.11,13.11,17.569454,26.059172
95,12.685408,13.4721,16.749983,26.059172
96,11.997053,12.980417999999998,14.062119000000001,20.486771
97,12.685408,13.767109,16.356635999999998,23.60076
98,13.701551,15.766618,16.979435000000002,20.0
99,14.226014000000001,15.504388,16.684425,20.093424
100,14.619359,15.602725,16.84832,19.405069
