climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,92.879997,92.879997,92.879997,92.879997
2,92.879997,92.879997,92.879997,92.879997
3,92.879997,92.879997,92.879997,92.879997
4,92.879997,92.879997,92.879997,92.879997
5,92.879997,92.879997,92.879997,92.879997
6,92.879997,92.879997,92.879997,92.879997
7,92.879997,92.879997,92.879997,187.179993
8,92.879997,92.879997,92.879997,187.179993
9,92.879997,2584.280029,2584.280029,2584.280029
10,92.879997,187.179993,2584.280029,2584.280029
11,92.879997,92.879997,317.809998,317.809998
12,92.879997,92.879997,317.809998,317.809998
13,92.879997,92.879997,92.879997,317.809998
14,92.879997,92.879997,92.879997,92.879997
15,92.879997,92.879997,92.879997,92.879997
16,92.879997,92.879997,92.879997,266.380005
17,92.879997,92.879997,92.879997,92.879997
18,92.879997,92.879997,92.879997,266.380005
19,92.879997,92.879997,92.879997,317.809998
20,92.879997,139.360001,139.360001,139.360001
21,92.879997,92.879997,317.809998,317.809998
22,92.879997,92.879997,92.879997,317.809998
23,92.879997,92.879997,92.879997,92.879997
24,92.879997,92.879997,92.879997,92.879997
25,92.879997,92.879997,92.879997,92.879997
26,92.879997,92.879997,92.879997,92.879997
27,92.879997,92.879997,92.879997,92.879997
28,92.879997,92.879997,92.879997,92.879997
29,92.879997,92.879997,92.879997,139.360001
30,92.879997,92.879997,139.360001,139.360001
31,92.879997,92.879997,317.809998,400.47885099999996
32,92.879997,92.879997,92.879997,92.879997
33,92.879997,92.879997,92.879997,92.879997
34,92.879997,92.879997,92.879997,92.879997
35,92.879997,92.879997,92.879997,92.879997
36,92.879997,92.879997,92.879997,92.879997
37,92.879997,92.879997,92.879997,92.879997
38,92.879997,92.879997,92.879997,92.879997
39,92.879997,92.879997,92.879997,92.879997
40,92.879997,92.879997,92.879997,139.360001
41,92.879997,92.879997,317.809998,400.47885099999996
42,92.879997,92.879997,92.879997,317.809998
43,92.879997,92.879997,92.879997,92.879997
44,92.879997,92.879997,92.879997,92.879997
45,92.879997,92.879997,92.879997,92.879997
46,92.879997,92.879997,92.879997,92.879997
47,92.879997,92.879997,92.879997,92.879997
48,92.879997,92.879997,92.879997,92.879997
49,92.879997,92.879997,92.879997,92.879997
50,92.879997,92.879997,92.879997,92.879997
51,92.879997,215.042175,317.809998,400.47885099999996
52,92.879997,92.879997,92.879997,92.879997
53,92.879997,92.879997,92.879997,92.879997
54,92.879997,92.879997,92.879997,92.879997
55,92.879997,92.879997,92.879997,92.879997
56,92.879997,92.879997,92.879997,92.879997
57,92.879997,92.879997,92.879997,92.879997
58,92.879997,92.879997,92.879997,92.879997
59,92.879997,92.879997,92.879997,92.879997
60,92.879997,92.879997,92.879997,92.879997
61,92.879997,92.879997,238.165558,317.809998
62,92.879997,92.879997,92.879997,92.879997
63,92.879997,92.879997,92.879997,92.879997
64,92.879997,92.879997,92.879997,92.879997
65,92.879997,92.879997,92.879997,92.879997
66,92.879997,92.879997,92.879997,92.879997
67,92.879997,92.879997,92.879997,92.879997
68,92.879997,92.879997,92.879997,92.879997
69,92.879997,92.879997,92.879997,92.879997
70,92.879997,92.879997,92.879997,92.879997
71,92.879997,92.879997,215.042175,317.809998
72,92.879997,92.879997,92.879997,92.879997
73,92.879997,92.879997,92.879997,92.879997
74,92.879997,92.879997,92.879997,92.879997
75,92.879997,92.879997,92.879997,92.879997
76,92.879997,92.879997,92.879997,92.879997
77,92.879997,92.879997,92.879997,92.879997
78,92.879997,92.879997,92.879997,92.879997
79,92.879997,92.879997,92.879997,92.879997
80,92.879997,92.879997,92.879997,92.879997
81,92.879997,92.879997,92.879997,92.879997
82,92.879997,92.879997,92.879997,92.879997
83,92.879997,92.879997,92.879997,92.879997
84,92.879997,92.879997,92.879997,92.879997
85,92.879997,92.879997,92.879997,92.879997
86,92.879997,92.879997,92.879997,92.879997
87,92.879997,92.879997,92.879997,92.879997
88,92.879997,92.879997,92.879997,92.879997
89,92.879997,92.879997,92.879997,92.879997
90,92.879997,92.879997,92.879997,92.879997
91,92.879997,92.879997,92.879997,92.879997
92,92.879997,92.879997,92.879997,92.879997
93,92.879997,92.879997,92.879997,92.879997
94,92.879997,92.879997,92.879997,92.879997
95,92.879997,92.879997,92.879997,92.879997
96,92.879997,92.879997,92.879997,92.879997
97,92.879997,92.879997,92.879997,92.879997
98,92.879997,92.879997,92.879997,92.879997
99,92.879997,92.879997,92.879997,92.879997
100,12.72,92.879997,92.879997,92.879997
