climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.36,0.36,0.36,0.36
2,0.36,0.36,0.36,0.45
3,0.36,0.36,0.36,0.45
4,0.36,0.36,0.45,0.45
5,0.36,0.36,0.36,0.45
6,0.36,0.36,0.36,0.53
7,0.36,0.36,0.36,0.45
8,0.36,0.36,0.45,0.75
9,0.36,0.45,0.53,0.75
10,0.36,0.53,0.75,0.75
11,0.27,0.36,0.36,0.36
12,0.36,0.36,0.36,0.36
13,0.36,0.36,0.36,0.45
14,0.34,0.36,0.36,0.45
15,0.34,0.36,0.36,0.45
16,0.34,0.36,0.36,0.46
17,0.36,0.36,0.45,0.53
18,0.36,0.45,0.53,0.75
19,0.34,0.53,0.53,0.75
20,0.53,0.53,0.75,0.75
21,0.12,0.12,0.12,0.12
22,0.12,0.12,0.27,0.36
23,0.12,0.36,0.36,0.36
24,0.12,0.12,0.36,0.45
25,0.12,0.36,0.45,0.45
26,0.34,0.36,0.45,0.53
27,0.36,0.45,0.45,0.53
28,0.34,0.36,0.53,0.53
29,0.34,0.36,0.53,0.53
30,0.12,0.36,0.53,0.53
31,0.12,0.12,0.12,0.12
32,0.12,0.12,0.12,0.35
33,0.12,0.12,0.12,0.36
34,0.12,0.12,0.12,0.35
35,0.12,0.12,0.36,0.45
36,0.12,0.34,0.45,0.45
37,0.12,0.36,0.45,0.53
38,0.36,0.36,0.45,0.53
39,0.34,0.45,0.53,0.53
40,0.34,0.36,0.53,0.53
41,0.12,0.12,0.12,0.12
42,0.12,0.12,0.12,0.12
43,0.12,0.12,0.12,0.36
44,0.12,0.12,0.12,0.36
45,0.12,0.12,0.12,0.12
46,0.12,0.12,0.12,0.12
47,0.12,0.12,0.12,0.53
48,0.34,0.36,0.36,0.53
49,0.36,0.36,0.53,0.53
50,0.34,0.36,0.53,0.53
51,0.12,0.12,0.12,0.12
52,0.12,0.12,0.12,0.12
53,0.12,0.12,0.12,0.12
54,0.12,0.12,0.12,0.12
55,0.12,0.12,0.12,0.12
56,0.12,0.12,0.12,0.35
57,0.12,0.12,0.12,0.27
58,0.12,0.36,0.46,0.53
59,0.36,0.53,0.53,0.53
60,0.36,0.53,0.53,0.53
61,0.12,0.12,0.12,0.12
62,0.12,0.12,0.12,0.12
63,0.12,0.12,0.12,0.12
64,0.12,0.12,0.12,0.12
65,0.12,0.12,0.12,0.53
66,0.12,0.34,0.36,0.53
67,0.36,0.53,0.53,0.53
68,0.53,0.53,0.53,0.53
69,0.42,0.53,0.53,0.53
70,0.36,0.53,0.53,0.53
71,0.12,0.12,0.12,0.12
72,0.12,0.12,0.12,0.27
73,0.12,0.12,0.12,0.34
74,0.12,0.12,0.34,0.53
75,0.36,0.53,0.53,0.53
76,0.53,0.53,0.53,0.53
77,0.53,0.53,0.53,0.53
78,0.53,0.53,0.53,0.53
79,0.53,0.53,0.53,0.53
80,0.42,0.53,0.53,0.53
81,0.12,0.12,0.12,0.12
82,0.12,0.12,0.12,0.12
83,0.12,0.12,0.12,0.35
84,0.12,0.12,0.12,0.34
85,0.12,0.36,0.36,0.53
86,0.36,0.36,0.53,0.53
87,0.36,0.53,0.53,0.53
88,0.36,0.53,0.53,0.53
89,0.42,0.53,0.53,0.53
90,0.34,0.53,0.53,0.53
91,0.12,0.12,0.12,0.12
92,0.12,0.12,0.12,0.12
93,0.12,0.12,0.12,0.12
94,0.12,0.12,0.12,0.12
95,0.12,0.12,0.12,0.12
96,0.12,0.12,0.12,0.34
97,0.12,0.34,0.36,0.36
98,0.34,0.36,0.36,0.36
99,0.34,0.36,0.36,0.53
100,0.36,0.36,0.53,0.53
