climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.51,2.51,2.51,3.05
2,2.51,2.51,2.51,5.22
3,2.51,2.51,2.51,5.22
4,2.51,2.51,2.51,5.22
5,2.51,2.51,3.05,5.22
6,2.07,2.51,3.05,5.22
7,1.62,2.51,2.51,3.05
8,2.51,2.51,2.51,2.51
9,2.51,2.51,2.51,2.51
10,1.39,1.39,2.51,2.51
11,1.36,2.51,2.51,3.07
12,2.15,2.51,2.51,3.05
13,2.095184,2.51,2.51,3.05
14,1.64,2.51,2.51,3.05
15,2.51,2.51,2.51,2.525568
16,1.39,2.51,2.51,2.51
17,1.39,2.51,2.51,2.55
18,1.15,2.51,2.51,2.55
19,1.15,2.51,2.55,2.55
20,1.39,2.55,2.55,2.55
21,1.36,2.51,2.776724,3.07
22,1.36,2.5,2.51,2.776724
23,0.84,1.15,2.51,3.05
24,0.84,1.64,2.525568,3.7959050000000003
25,0.84,2.51,2.776724,3.7959050000000003
26,1.15,2.057572,2.776724,3.05
27,1.15,1.15,2.51,3.05
28,1.15,1.15,2.51,3.05
29,1.15,2.51,2.51,3.05
30,1.15,2.51,2.51,3.05
31,1.91,2.776724,2.94,2.94
32,1.36,2.5,2.776724,2.94
33,0.84,1.15,2.5,2.94
34,1.15,1.36,2.51,2.776724
35,1.15,2.057572,2.525568,2.94
36,1.15,1.15,2.51,3.105207
37,1.15,1.15,1.15,2.94
38,1.15,1.15,2.51,3.05
39,1.15,2.51,2.51,3.105207
40,1.15,1.769105,2.51,5.01
41,1.36,2.87,2.87,2.94
42,1.15,1.15,2.057572,4.33
43,1.15,1.15,2.057572,2.51
44,1.15,1.15,1.932129,3.0408020000000002
45,1.15,1.15,1.15,2.51
46,1.15,1.15,1.15,2.51
47,1.15,1.15,1.262784,2.525568
48,1.15,1.15,1.36,4.33
49,1.15,1.36,2.51,5.01
50,0.75,0.75,1.36,4.33
51,1.15,1.36,1.36,2.484165
52,1.15,1.36,1.36,2.51
53,1.15,1.15,1.36,2.2092259999999997
54,1.15,1.15,1.36,2.525568
55,1.0,1.262784,1.745816,5.01
56,1.0,1.262784,1.745816,3.05
57,0.75,1.21,1.64,3.05
58,0.75,0.75,1.03,2.484165
59,0.75,0.75,0.75,1.64
60,0.75,0.75,0.75,1.36
61,1.15,1.36,1.91,4.33
62,1.15,1.15,1.36,2.229155
63,1.15,1.36,1.745816,2.525568
64,0.73,1.21,1.36,2.484165
65,0.58,0.75,1.36,2.485145
66,0.75,0.75,1.03,5.01
67,0.75,0.75,1.03,1.64
68,0.75,0.75,1.03,1.64
69,0.75,0.75,1.03,1.36
70,0.75,0.75,0.87,1.36
71,1.15,1.21,1.36,4.33
72,0.29,0.75,1.36,2.484165
73,0.29,0.75,1.21,2.484165
74,0.58,0.75,0.75,1.36
75,0.75,0.75,1.03,1.36
76,0.75,0.75,1.03,1.36
77,0.75,0.75,0.75,1.36
78,0.75,0.75,0.75,1.03
79,0.75,0.75,0.75,1.03
80,0.75,0.75,0.75,1.03
81,0.41,1.15,1.21,2.0
82,0.55,1.21,1.21,1.58
83,0.75,0.75,1.21,1.58
84,0.75,0.75,0.75,1.36
85,0.75,0.75,0.75,1.03
86,0.75,0.75,0.75,1.03
87,0.75,0.75,0.75,1.03
88,0.75,0.75,0.75,0.75
89,0.75,0.75,0.75,1.03
90,0.75,0.75,0.75,1.03
91,0.66,1.25,1.262784,4.33
92,0.13,0.41,1.15,1.36
93,0.41,1.21,1.21,1.58
94,0.13,1.21,1.21,1.58
95,1.21,1.21,1.58,1.64
96,0.75,1.03,1.36,5.01
97,0.75,1.03,1.21,1.64
98,0.75,0.75,0.75,1.21
99,0.75,0.75,0.75,1.03
100,0.75,0.75,0.75,1.03
