climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.47,1.47,1.47,2.679347
2,1.47,2.360614,2.549862,2.8387130000000003
3,1.47,2.3904959999999997,2.5996639999999998,2.8387130000000003
4,1.47,2.3904959999999997,2.74907,2.9681990000000003
5,1.47,2.679347,2.8387130000000003,3.04
6,2.33,2.8387130000000003,3.04,3.04
7,2.679347,3.04,3.04,3.04
8,1.47,3.04,3.04,3.04
9,3.04,3.04,3.04,3.04
10,2.23,3.04,3.04,3.9
11,1.4604700000000002,1.47,1.9621979999999999,2.4203770000000002
12,1.47,1.603624,2.141486,2.549862
13,1.47,1.9621979999999999,2.360614,2.549862
14,1.9621979999999999,2.191288,2.3904959999999997,2.5996639999999998
15,1.9621979999999999,2.191288,2.3904959999999997,2.679347
16,1.47,1.47,2.579743,2.9681990000000003
17,1.47,1.47,2.33,3.77
18,1.47,1.47,1.47,3.77
19,1.47,1.47,3.04,3.77
20,1.47,2.619585,3.77,3.9
21,1.02,1.47,1.47,1.912396
22,1.47,1.47,1.912396,2.141486
23,1.47,1.47,1.9323169999999998,2.191288
24,1.47,1.47,1.9621979999999999,2.360614
25,1.47,1.47,2.511566,2.8187919999999997
26,1.47,2.689307,2.74907,3.77
27,1.47,1.47,3.77,3.77
28,1.47,1.47,1.47,3.77
29,1.47,1.47,1.95,3.77
30,1.69,2.529941,3.77,3.9
31,1.47,1.47,1.47,1.832713
32,1.47,1.47,1.8145240000000002,1.9223569999999999
33,1.47,1.9323169999999998,2.360614,3.0080400000000003
34,1.47,1.47,2.8187919999999997,3.0080400000000003
35,1.47,1.47,2.74907,3.77
36,1.47,1.47,1.47,1.47
37,1.47,1.47,1.47,2.33
38,1.47,1.8430630000000001,1.8613330000000001,1.95
39,1.47,1.8613330000000001,1.95,2.99
40,1.95,2.529941,3.77,5.1
41,1.3277,1.47,1.47,2.33
42,1.47,1.626433,1.891973,3.0080400000000003
43,1.47,1.47,1.47,2.33
44,1.47,1.47,1.47,1.919114
45,1.47,1.47,1.47,2.39
46,1.47,1.919114,2.027001,3.77
47,1.8430630000000001,1.8613330000000001,1.962319,3.77
48,1.8613330000000001,1.8613330000000001,1.8649939999999998,3.77
49,1.8647470000000002,2.226597,2.99,4.77
50,2.17,2.679347,4.77,5.88
51,1.3277,1.47,1.6706900000000002,2.33
52,1.47,1.47,1.47,2.33
53,1.47,1.47,1.919114,2.39
54,1.47,1.919114,2.39,2.39
55,1.962319,2.105595,2.39,4.77
56,1.8322720000000001,2.027001,2.39,4.77
57,1.741165,1.933503,2.226597,4.77
58,1.508335,1.741165,2.176456,4.77
59,1.62475,2.02461,2.39,4.77
60,2.171367,2.644336,4.77,5.88
61,1.47,1.47,1.47,2.33
62,1.47,1.47,1.47,2.33
63,1.47,1.7054099999999999,1.7054099999999999,2.33
64,1.7054099999999999,1.852518,2.39,2.99
65,1.99155,2.39,2.39,4.77
66,2.04,2.33,2.39,4.77
67,1.7209189999999999,1.933503,2.39,5.88
68,1.993334,2.168577,3.94,5.88
69,2.2460259999999996,2.6775290000000003,4.77,5.88
70,2.2017700000000002,2.51002,3.94,6.91
71,1.47,1.47,1.47,2.33
72,1.47,1.47,1.618801,2.33
73,1.47,1.7054099999999999,1.7054099999999999,2.33
74,1.346366,1.69,1.7054099999999999,2.33
75,1.47,1.7054099999999999,1.9892560000000001,2.33
76,1.45,1.705409,2.04,5.88
77,1.47,1.9892560000000001,3.94,5.88
78,1.84,2.6775290000000003,4.4,5.43
79,2.38,2.644336,2.954133,4.77
80,2.2017700000000002,2.38,2.8213630000000003,6.91
81,1.47,1.69,1.69,1.9472939999999999
82,1.69,1.69,1.69,1.93623
83,1.34,1.69,1.71,2.33
84,1.45,1.69,1.71,2.33
85,1.2961120000000002,1.45,1.71,2.33
86,1.2961120000000002,1.69,1.84175,2.491209
87,1.546483,1.948377,2.33,4.4
88,1.69,2.074392,2.23,4.4
89,1.71,2.23,2.38,4.4
90,1.89,2.33,2.943069,3.582698
91,1.71,1.71,1.71,3.0758389999999998
92,1.71,1.71,1.71,1.71
93,1.71,1.71,1.71,1.71
94,1.69,1.71,1.71,1.89
95,1.69,1.71,1.71,1.985485
96,1.69,1.69,1.71,1.985485
97,1.69,1.71,1.71,2.035618
98,1.546483,1.71,1.985485,2.219793
99,1.716098,1.9141009999999998,1.985485,2.33
100,1.279608,1.546483,2.33,2.33
