climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,4.51,4.51,12.18,19.16
2,4.51,4.51,8.12,19.16
3,2.668903,4.51,12.11,20.35
4,2.668903,8.1,17.84,20.231369
5,2.668903,17.299999,20.231369,20.863041
6,17.299999,20.231369,20.231369,20.863041
7,17.299999,19.669102,20.231369,20.863041
8,17.299999,17.788065,20.231369,21.877275
9,17.299999,17.299999,17.84,21.877275
10,13.218372,17.299999,17.788065,21.877275
11,2.5714759999999997,2.5714759999999997,4.51,15.99
12,2.5714759999999997,2.5714759999999997,2.606799,12.18
13,2.5714759999999997,2.606799,2.668903,15.99
14,2.5714759999999997,2.5714759999999997,2.668903,15.99
15,2.5714759999999997,2.668903,12.18,20.231369
16,10.74,19.62821,20.231369,20.231369
17,17.788065,17.788065,20.231369,20.231369
18,17.299999,17.788065,20.231369,20.863041
19,17.299999,17.299999,20.231369,21.877275
20,13.218372,13.218372,17.299999,21.877275
21,2.5714759999999997,2.5714759999999997,2.606799,15.99
22,2.5714759999999997,2.606799,2.668903,9.416482
23,2.5714759999999997,2.5714759999999997,2.668903,17.299999
24,2.5714759999999997,2.5714759999999997,2.5714759999999997,17.299999
25,2.5714759999999997,2.5714759999999997,17.788065,20.231369
26,17.299999,17.788065,19.05946,20.231369
27,17.788065,17.84,19.669102,20.231369
28,17.788065,19.29344,19.669102,20.863041
29,17.299999,17.788065,19.669102,20.863041
30,13.218372,14.608704000000001,17.299999,18.07
31,2.5714759999999997,2.606799,4.164507,15.99
32,2.5714759999999997,2.5714759999999997,9.416482,17.299999
33,2.5714759999999997,2.5714759999999997,2.5714759999999997,19.16
34,2.5714759999999997,2.5714759999999997,17.788065,20.231369
35,2.5714759999999997,2.5714759999999997,2.5714759999999997,19.62821
36,2.5714759999999997,17.788065,19.669102,21.210592000000002
37,17.788065,19.05946,19.986015,20.863041
38,17.299999,19.669102,19.669102,20.231369
39,14.608704000000001,17.299999,17.788065,20.231369
40,13.218372,13.218372,17.299999,19.05946
41,2.5714759999999997,2.5714759999999997,9.96,15.99
42,2.5714759999999997,2.668903,17.788065,19.62821
43,2.5714759999999997,2.5714759999999997,17.788065,20.231369
44,2.5714759999999997,2.5714759999999997,17.788065,20.231369
45,2.5714759999999997,17.299999,19.669102,20.863041
46,14.064406,17.788065,19.29344,20.231369
47,17.299999,18.75724,19.669102,20.231369
48,17.299999,17.788065,19.669102,19.669102
49,14.608704000000001,17.299999,18.718245,21.935442000000002
50,13.218372,13.218372,17.299999,17.299999
51,2.5714759999999997,2.5714759999999997,9.96,15.99
52,2.5714759999999997,2.5714759999999997,9.416482,19.62821
53,2.5714759999999997,17.414492000000003,20.231369,20.231369
54,12.108725,17.948065,19.669102,20.863041
55,2.5714759999999997,17.299999,18.75724,20.1
56,2.5714759999999997,17.299999,19.05946,20.231369
57,14.506473000000002,17.299999,19.669102,19.669102
58,17.299999,17.299999,17.788065,20.231369
59,12.605567,17.299999,20.231369,21.935442000000002
60,13.218372,13.218372,17.299999,18.945719
61,2.5714759999999997,2.5714759999999997,9.96,15.99
62,2.5714759999999997,2.5714759999999997,19.62821,20.863041
63,17.299999,19.669102,20.231369,20.231369
64,2.5714759999999997,18.75724,20.231369,20.863041
65,2.5714759999999997,18.75724,19.05946,20.231369
66,17.299999,17.299999,19.05946,20.231369
67,17.299999,18.75724,19.669102,20.231369
68,17.299999,18.75724,19.669102,20.875942000000002
69,12.605567,17.299999,19.05946,21.935442000000002
70,12.605567,13.218372,17.299999,17.299999
71,2.5714759999999997,2.5714759999999997,11.37,15.99
72,2.5714759999999997,2.5714759999999997,19.62821,20.863041
73,2.5714759999999997,17.299999,19.669102,20.231369
74,17.84,19.669102,20.231369,20.231369
75,17.299999,18.75724,18.75724,19.986017
76,17.299999,18.75724,20.231369,21.299248000000002
77,17.299999,19.669102,20.231369,20.231369
78,17.299999,19.05946,20.231369,21.935442000000002
79,14.506473000000002,20.231369,20.231369,21.935442000000002
80,13.218372,13.218372,17.299999,20.231369
81,2.5714759999999997,2.5714759999999997,9.96,15.99
82,2.5714759999999997,2.5714759999999997,2.5714759999999997,15.99
83,2.5714759999999997,2.5714759999999997,2.5714759999999997,17.299999
84,2.5714759999999997,19.62821,19.669102,23.001808
85,17.299999,19.669102,19.986015,23.001808
86,17.299999,17.299999,19.986015,20.231369
87,17.299999,18.75724,19.986015,21.877275
88,17.299999,19.29344,20.231369,21.935442000000002
89,13.218372,20.231369,20.231369,21.877275
90,13.218372,17.299999,20.231369,20.231369
91,2.5714759999999997,11.37,15.99,17.84
92,2.5714759999999997,2.5714759999999997,15.99,17.84
93,2.5714759999999997,2.5714759999999997,2.5714759999999997,17.84
94,2.5714759999999997,2.5714759999999997,2.5714759999999997,17.299999
95,2.5714759999999997,2.5714759999999997,2.5714759999999997,17.299999
96,2.5714759999999997,2.5714759999999997,17.414492000000003,22.742594
97,2.5714759999999997,19.62821,21.877275,21.877275
98,17.299999,19.986015,21.877275,21.877275
99,17.299999,17.84,21.877275,21.877275
100,17.299999,20.231369,21.877275,21.877275
