climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,14.55,14.55,14.55,14.55
2,14.55,14.55,14.55,14.55
3,14.55,14.55,14.55,14.55
4,14.55,14.55,14.55,14.55
5,14.55,14.55,14.55,14.55
6,14.55,14.55,14.55,14.55
7,14.55,14.55,14.55,14.55
8,14.55,14.55,14.55,14.55
9,14.55,14.55,14.55,14.55
10,14.55,14.55,14.55,14.55
11,14.55,14.55,14.55,14.55
12,14.55,14.55,14.55,14.55
13,14.55,14.55,14.55,14.55
14,14.55,14.55,14.55,14.55
15,14.55,14.55,14.55,14.55
16,14.55,14.55,14.55,14.55
17,14.55,14.55,14.55,14.55
18,14.55,14.55,14.55,14.55
19,14.55,14.55,14.55,14.55
20,14.55,14.55,14.55,14.55
21,14.55,14.55,14.55,14.55
22,14.55,14.55,14.55,14.55
23,14.55,14.55,14.55,14.55
24,14.55,14.55,14.55,14.55
25,14.55,14.55,14.55,14.55
26,14.55,14.55,14.55,14.55
27,14.55,14.55,14.55,14.55
28,14.55,14.55,14.55,14.55
29,14.55,14.55,14.55,14.55
30,14.55,14.55,14.55,14.55
31,14.55,14.55,14.55,14.55
32,14.55,14.55,14.55,14.55
33,14.55,14.55,14.55,14.55
34,14.55,14.55,14.55,14.55
35,14.55,14.55,14.55,14.55
36,14.55,14.55,14.55,14.55
37,14.55,14.55,14.55,14.55
38,14.55,14.55,14.55,14.55
39,14.55,14.55,14.55,14.55
40,14.55,14.55,14.55,14.55
41,14.55,14.55,14.55,14.55
42,14.55,14.55,14.55,14.55
43,14.55,14.55,14.55,14.55
44,14.55,14.55,14.55,14.55
45,14.55,14.55,14.55,14.55
46,14.55,14.55,14.55,14.55
47,14.55,14.55,14.55,14.55
48,14.55,14.55,14.55,14.55
49,14.55,14.55,14.55,14.55
50,14.55,14.55,14.55,14.55
51,14.55,14.55,14.55,14.55
52,14.55,14.55,14.55,14.55
53,14.55,14.55,14.55,14.55
54,14.55,14.55,14.55,14.55
55,14.55,14.55,14.55,14.55
56,14.55,14.55,14.55,14.55
57,14.55,14.55,14.55,14.55
58,14.55,14.55,14.55,14.55
59,14.55,14.55,14.55,14.55
60,14.55,14.55,14.55,14.55
61,14.55,14.55,14.55,14.55
62,14.55,14.55,14.55,14.55
63,14.55,14.55,14.55,14.55
64,14.55,14.55,14.55,14.55
65,14.55,14.55,14.55,14.55
66,14.55,14.55,14.55,14.55
67,14.55,14.55,14.55,14.55
68,14.55,14.55,14.55,14.55
69,14.55,14.55,14.55,14.55
70,14.55,14.55,14.55,14.55
71,14.55,14.55,14.55,14.55
72,14.55,14.55,14.55,14.55
73,14.55,14.55,14.55,14.55
74,14.55,14.55,14.55,14.55
75,14.55,14.55,14.55,14.55
76,14.55,14.55,14.55,14.55
77,14.55,14.55,14.55,14.55
78,14.55,14.55,14.55,14.55
79,14.55,14.55,14.55,14.55
80,14.55,14.55,14.55,14.55
81,14.55,14.55,14.55,14.55
82,14.55,14.55,14.55,14.55
83,14.55,14.55,14.55,14.55
84,14.55,14.55,14.55,14.55
85,14.55,14.55,14.55,14.55
86,14.55,14.55,14.55,14.55
87,14.55,14.55,14.55,14.55
88,14.55,14.55,14.55,14.55
89,14.55,14.55,14.55,14.55
90,14.55,14.55,14.55,14.55
91,14.55,14.55,14.55,14.55
92,14.55,14.55,14.55,14.55
93,14.55,14.55,14.55,34.57
94,14.55,14.55,14.55,34.57
95,14.55,14.55,14.55,14.55
96,14.55,14.55,14.55,34.57
97,14.55,14.55,14.55,14.55
98,14.55,14.55,14.55,14.55
99,14.55,14.55,14.55,14.55
100,14.55,14.55,14.55,14.55
