climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,6.567416000000001,13.91,13.91,13.91
2,7.9989669999999995,8.2,8.265917,8.9013
3,5.155854,5.155855,7.9989669999999995,8.265917
4,7.9989669999999995,8.265917,8.265917,13.480976
5,2.59,8.5424,13.480976,13.480976
6,2.59,8.5424,13.480976,13.480976
7,2.59,8.5424,13.480976,13.480976
8,2.59,8.5424,8.5424,13.480976
9,1.47,2.59,8.5424,11.35491
10,9.800879,9.800879,11.35491,11.35491
11,8.265917,8.265917,8.265917,8.9013
12,8.15151,8.265917,8.265917,8.551935
13,2.59,5.7298919999999995,8.265917,13.480976
14,2.59,13.480976,13.480976,13.480976
15,2.59,13.480976,13.480976,13.480976
16,2.59,8.5424,13.480976,13.480976
17,2.59,8.73,13.480976,13.480976
18,8.5424,8.5424,13.480976,13.480976
19,2.59,8.5424,13.480976,13.480976
20,9.800879,11.35491,13.480976,13.480976
21,8.265917,8.265917,8.265917,8.265917
22,7.9989669999999995,8.265917,8.265917,8.551935
23,2.59,5.7298919999999995,8.265917,8.551935
24,2.59,2.59,13.480976,13.480976
25,5.7298919999999995,13.480976,13.480976,13.480976
26,5.7298919999999995,13.480976,13.480976,13.480976
27,2.59,5.7298919999999995,13.480976,13.480976
28,2.59,8.5424,13.480976,13.480976
29,2.59,8.5424,9.800879,13.480976
30,2.59,2.59,9.800879,9.800879
31,5.644086,8.15151,8.265917,8.551935
32,2.59,5.644086,7.9989669999999995,8.265917
33,2.59,2.59,5.7298919999999995,8.551935
34,2.59,2.59,5.7298919999999995,13.480976
35,2.59,13.480976,13.480976,13.480976
36,13.480976,13.480976,13.480976,13.480976
37,13.480976,13.480976,13.480976,13.480976
38,2.59,5.47,13.480976,13.480976
39,2.59,5.47,9.800879,13.480976
40,2.59,2.59,5.47,13.480976
41,2.59,5.644086,7.3677850000000005,8.551935
42,2.59,2.59,5.7298919999999995,8.551935
43,2.59,2.59,8.15151,13.480976
44,5.7298919999999995,13.480976,13.480976,13.480976
45,13.480976,13.480976,13.480976,13.480976
46,2.59,2.59,13.480976,13.480976
47,2.59,2.59,8.5424,13.480976
48,2.59,8.5424,9.800879,13.480976
49,2.59,8.5424,9.800879,13.480976
50,2.59,2.59,5.47,9.800879
51,2.59,2.59,5.644086,8.265917
52,2.59,5.644086,13.480976,13.480976
53,13.480976,13.480976,13.480976,13.480976
54,2.59,3.09,5.7298919999999995,13.480976
55,2.59,2.59,9.800879,13.480976
56,8.5424,9.800879,9.800879,13.480976
57,9.800879,9.800879,9.800879,9.800879
58,8.5424,9.800879,9.800879,9.800879
59,8.5424,9.800879,9.800879,9.800879
60,2.59,2.59,9.800879,9.800879
61,2.59,2.59,5.644086,8.2
62,2.59,2.59,7.9989669999999995,8.551935
63,5.47,13.480976,13.480976,13.480976
64,2.59,3.09,3.09,9.800879
65,2.59,8.5424,9.800879,9.800879
66,5.47,8.5424,9.800879,9.800879
67,2.59,8.5424,8.551935,9.800879
68,2.59,8.5424,9.800879,9.800879
69,2.59,8.5424,8.5424,9.800879
70,2.59,2.59,2.59,2.59
71,2.59,2.59,5.644086,8.2
72,2.59,2.59,5.644086,8.15151
73,2.59,5.47,8.15151,8.551935
74,2.59,3.09,3.09,8.5424
75,2.59,2.59,8.5424,8.5424
76,2.59,8.5424,8.5424,9.800879
77,2.59,8.5424,8.5424,9.800879
78,2.59,8.5424,8.5424,9.800879
79,8.5424,8.5424,8.5424,8.5424
80,2.59,2.59,3.99,8.5424
81,2.59,2.59,5.644086,8.2
82,2.59,2.59,5.644086,8.15151
83,3.09,5.644086,8.15151,8.551935
84,2.59,3.09,3.09,8.551935
85,2.59,2.59,3.09,8.15151
86,2.59,2.59,5.47,8.5424
87,2.59,5.47,8.5424,8.5424
88,8.5424,8.5424,8.5424,8.5424
89,2.59,8.5424,8.5424,8.5424
90,2.59,2.59,2.59,5.644086
91,2.59,5.644086,6.127187,10.0
92,2.59,2.59,7.9989669999999995,10.0
93,2.59,5.644086,8.15151,10.0
94,2.59,2.59,8.15151,10.0
95,2.59,3.09,8.15151,8.551935
96,3.09,5.47,8.15151,8.15151
97,2.59,3.09,5.47,8.15151
98,2.59,2.59,5.47,8.15151
99,2.59,2.59,5.47,8.15151
100,2.59,2.59,5.47,8.5424
