climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.88,1.88,1.88,1.88
2,1.88,1.88,1.88,1.88
3,1.159349,1.288166,1.88,1.88
4,1.159349,1.159349,1.88,2.915939
5,1.288166,1.88,2.915939,2.915939
6,1.88,1.88,2.915939,3.4443949999999997
7,1.625237,1.88,2.915939,3.065789
8,1.2309649999999999,1.88,1.988171,2.915939
9,1.8283919999999998,2.650245,2.9670099999999997,3.7583620000000004
10,1.228163,2.650245,3.790051,5.10082
11,0.98,1.159349,1.159349,1.988171
12,1.159349,1.159349,1.159349,2.915939
13,1.159349,1.288166,2.915939,2.915939
14,2.326868,2.915939,2.915939,2.915939
15,1.88,2.915939,2.915939,3.4443949999999997
16,1.616063,1.88,2.915939,3.4443949999999997
17,1.616063,1.88,1.88,3.065789
18,0.978836,1.88,2.650245,3.065789
19,1.805062,1.985375,2.9670099999999997,3.7583620000000004
20,0.6279399999999999,1.8283919999999998,2.114671,4.33
21,1.159349,1.159349,1.555778,2.915939
22,1.159349,1.159349,1.159349,2.915939
23,1.159349,1.288166,2.915939,2.915939
24,1.288166,2.326868,2.915939,2.915939
25,1.616063,2.915939,2.915939,3.4443949999999997
26,1.988171,2.915939,2.915939,3.4443949999999997
27,1.616063,1.88,2.915939,3.3959019999999995
28,1.8283919999999998,2.336279,2.915939,3.065789
29,0.978836,1.8283919999999998,2.650245,3.7583620000000004
30,0.978836,1.8283919999999998,3.51318,3.790051
31,1.159349,1.2296129999999998,1.598992,2.915939
32,1.288166,2.273142,2.915939,2.915939
33,0.8900049999999999,1.616063,2.915939,2.915939
34,1.288166,2.0130779999999997,3.4443949999999997,3.4443949999999997
35,1.473344,2.154131,2.915939,3.4443949999999997
36,1.393561,2.915939,2.915939,3.4443949999999997
37,1.393561,1.579066,2.915939,2.9544349999999997
38,1.15819,1.988171,2.915939,3.14
39,1.8283919999999998,2.114671,3.7583620000000004,3.790051
40,0.5977979999999999,2.199257,3.454738,3.7583620000000004
41,1.2296129999999998,1.555778,2.915939,2.915939
42,0.41472200000000004,1.579066,2.915939,2.915939
43,1.393561,2.915939,3.4443949999999997,3.4443949999999997
44,1.393561,1.579066,3.4443949999999997,3.4443949999999997
45,1.393561,1.88,2.915939,3.4443949999999997
46,1.393561,1.88,2.915939,3.3959019999999995
47,1.393561,1.616063,2.915939,2.9670099999999997
48,0.98,1.8283919999999998,2.915939,2.9670099999999997
49,1.283009,2.154131,2.915939,3.790051
50,1.150284,3.065789,3.790051,3.790051
51,0.98,1.2566190000000002,2.273142,2.915939
52,0.41472200000000004,1.393561,2.915939,2.915939
53,0.98,1.393561,1.393561,2.29
54,1.250856,1.393561,1.579066,2.915939
55,1.250856,1.250856,2.154131,3.3959019999999995
56,0.98,1.579066,2.915939,3.4443949999999997
57,1.473344,2.154131,2.915939,3.4443949999999997
58,0.5977979999999999,2.915939,2.915939,3.790051
59,0.5977979999999999,1.296481,2.9670099999999997,3.7583620000000004
60,2.271074,3.7583620000000004,3.790051,5.10082
61,1.288166,1.555778,2.273142,6.7
62,0.41472200000000004,0.98,1.296481,2.915939
63,0.41472200000000004,1.288166,2.154131,2.915939
64,0.41472200000000004,1.393561,2.154131,2.915939
65,1.0331700000000001,1.393561,1.88,2.915939
66,1.250856,1.88,2.915939,2.9670099999999997
67,1.88,2.915939,2.915939,2.9670099999999997
68,0.98,2.915939,2.915939,3.7583620000000004
69,1.473344,2.915939,3.7583620000000004,3.790051
70,1.65169,3.718924,3.7583620000000004,5.10082
71,1.2296129999999998,1.296481,2.915939,2.915939
72,0.98,0.98,1.34,1.988171
73,0.41472200000000004,0.98,1.62,2.915939
74,0.41472200000000004,0.41472200000000004,2.915939,2.915939
75,1.88,2.915939,2.915939,2.915939
76,2.154131,2.915939,2.915939,2.9544349999999997
77,2.915939,2.915939,2.915939,2.915939
78,2.915939,2.915939,2.915939,3.7583620000000004
79,1.948321,3.7583620000000004,3.790051,3.790051
80,1.65169,3.718924,3.7583620000000004,5.10082
81,0.49,1.296481,1.555778,2.915939
82,0.98,1.288166,1.34,1.88
83,0.41472200000000004,0.98,1.34,1.88
84,0.41472200000000004,0.41472200000000004,0.41472200000000004,1.869623
85,0.41472200000000004,1.988171,2.915939,2.915939
86,0.98,2.915939,2.915939,2.915939
87,2.273142,2.915939,2.915939,3.14
88,2.915939,2.915939,2.915939,3.790051
89,2.915939,2.915939,2.915939,3.7583620000000004
90,1.296481,1.8891060000000002,3.790051,5.10082
91,1.34,1.64221,1.64221,7.801009
92,1.34,1.34,1.58,1.58
93,0.98,1.34,1.58,1.58
94,0.41472200000000004,0.41472200000000004,1.34,2.273142
95,0.98,0.98,1.245164,1.7073479999999999
96,0.41472200000000004,1.34,1.34,1.988171
97,0.98,1.4351909999999999,1.988171,3.790051
98,1.087199,2.915939,2.915939,3.3959019999999995
99,0.98,1.34,2.915939,3.790051
100,1.296481,1.8891060000000002,2.114671,3.790051
