climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,13.480889000000001,20.93,31.915353999999997,47.27
2,15.32,20.93,20.93,34.939999
3,10.954786,15.93196,20.93,26.623103999999998
4,10.954786,15.571384,20.33,20.93
5,10.771544,15.571384,20.33,21.654341
6,9.387391000000001,14.806469,20.33,27.061822999999997
7,8.91,11.930212,19.095842,23.772886
8,7.46,11.75642,17.290001,23.772886
9,9.239747,15.71,20.93,39.380001
10,13.25,31.49,48.119999,53.939999
11,20.93,31.915353999999997,47.27,47.27
12,13.84,20.93,31.915353999999997,47.27
13,7.953475,19.591124,23.91,31.915353999999997
14,7.578311,8.331532000000001,20.33,28.307751
15,7.953475,11.716816,20.33,26.623103999999998
16,7.953475,10.27,20.93,40.0
17,8.306030999999999,9.74,20.93,40.0
18,9.74,20.93,20.93,40.0
19,20.93,47.27,53.939999,53.939999
20,11.94,20.93,47.27,48.119999
21,15.32,18.450001,31.915353999999997,47.27
22,17.559998999999998,23.91,31.915353999999997,43.900002
23,12.37022,20.93,31.915353999999997,43.900002
24,11.641074,20.93,20.93,43.900002
25,9.74,20.93,20.93,26.623103999999998
26,7.953475,17.622547,20.93,26.623103999999998
27,5.8,20.93,20.93,26.623103999999998
28,12.882877,20.93,20.93,39.779999
29,20.93,20.93,29.16,39.779999
30,20.93,48.119999,58.0,58.0
31,15.312814999999999,18.450001,24.739235,52.15115
32,13.25,27.26,38.185840999999996,44.470001
33,20.93,20.93,20.93,41.243351000000004
34,20.93,20.93,20.93,33.790215
35,19.638443,20.93,20.93,23.91
36,20.93,20.93,20.93,22.477737
37,20.93,20.93,20.93,29.16
38,20.93,20.93,20.93,29.16
39,20.93,20.93,20.93,20.93
40,20.93,20.93,22.992805,58.0
41,14.446755,27.26,47.27,52.15115
42,13.25,19.18,27.309551000000003,47.27
43,14.565574,20.263085999999998,24.739231,43.900002
44,20.635294000000002,20.93,20.93,24.739231
45,20.93,20.93,20.93,20.93
46,20.93,20.93,20.93,20.93
47,20.93,20.93,20.93,20.93
48,20.93,20.93,20.93,20.93
49,20.93,20.93,20.93,20.93
50,14.874014,20.93,20.93,21.87355
51,13.84,19.18,24.232692999999998,52.15115
52,12.979795,19.530001000000002,19.530001000000002,27.309551000000003
53,12.882877,19.530001000000002,23.274275,29.88835
54,8.749419999999999,19.041559,20.93,21.853092
55,15.1,20.93,21.87355,47.27
56,11.27,20.93,20.93,26.24826
57,20.93,20.93,20.93,30.404234000000002
58,15.748956,20.93,20.93,29.164732
59,20.93,20.93,20.93,21.87355
60,17.498839999999998,20.93,20.93,20.93
61,13.84,13.84,17.20039,24.33359
62,4.908453,13.12413,13.84,19.041559
63,4.908453,7.02,13.84,16.778168
64,3.95,5.64,13.938151999999999,21.633776
65,3.95,6.482862,16.025093,21.87355
66,5.64,12.752715,20.93,26.24826
67,9.27,20.93,20.93,20.93
68,5.774831,20.93,20.93,20.93
69,2.99,20.93,20.93,20.93
70,8.8,20.93,20.93,20.93
71,13.84,13.84,13.938151999999999,23.037516
72,13.433344,13.938151999999999,13.938151999999999,14.060946
73,10.937514,10.937514,13.938151999999999,15.748956
74,4.908453,10.937514,13.938151999999999,15.748956
75,4.908453,10.937514,12.752715,14.79
76,8.112839,11.132,12.752715,14.79
77,8.112839,11.03,12.752715,14.79
78,6.482862,8.112839,11.03,14.79
79,5.125196,5.125196,8.8,20.93
80,3.98,5.125196,8.8,14.56
81,13.84,13.84,23.037514,24.33359
82,4.908453,10.937514,14.79,23.903236
83,4.908453,10.937514,10.937514,23.903236
84,9.76,10.937514,12.752715,23.903236
85,8.112839,10.937514,11.132,23.219998999999998
86,7.02,10.09,14.56,14.79
87,6.482862,8.112839,10.783605999999999,14.79
88,5.125196,6.482862,8.8,19.530001000000002
89,3.98,8.8,8.8,23.219998999999998
90,8.8,8.8,8.8,14.79
91,13.84,23.037514,23.037516,31.76
92,7.02,14.586438000000001,23.903236,31.76
93,4.908453,10.09,14.586438000000001,23.903236
94,8.103577,10.937514,10.937514,23.903236
95,8.103577,10.937514,14.586438000000001,23.903236
96,8.103577,10.937514,14.586438000000001,23.903236
97,8.103577,10.937514,14.586438000000001,23.219998999999998
98,2.99,6.482862,10.937514,23.219998999999998
99,2.99,8.676458,14.56,23.903236
100,8.8,8.8,9.76,33.119999
