climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,5.65,15.47,15.47,15.47
2,5.65,15.47,20.83,28.01
3,5.65,15.47,20.83,28.01
4,5.65,15.47,20.83,28.01
5,5.65,15.47,20.83,28.01
6,5.65,5.65,20.83,28.01
7,5.65,5.65,20.83,28.01
8,5.65,11.95,20.83,28.01
9,12.27,16.0,16.0,25.639999
10,11.49,16.0,16.0,25.639999
11,15.47,15.47,20.83,33.459998999999996
12,15.47,20.83,20.83,28.01
13,15.47,20.83,20.83,33.459998999999996
14,7.529344,16.0,20.83,28.01
15,6.612236,16.066116,20.83,28.01
16,11.464889,16.0,25.639999,28.01
17,6.612236,16.0,16.639999,27.581478000000004
18,5.65,16.0,16.0,25.639999
19,5.65,11.49,16.0,25.639999
20,5.65,5.65,11.49,20.83
21,33.459998999999996,33.459998999999996,33.459998999999996,33.459998999999996
22,33.459998999999996,33.459998999999996,33.459998999999996,33.459998999999996
23,16.639999,27.98,33.459998999999996,33.459998999999996
24,15.47,16.066116,20.83,33.459998999999996
25,12.264689,15.935673000000001,20.83,27.98
26,11.49,15.936195999999999,20.83,28.01
27,11.49,16.066116,20.83,27.581478000000004
28,10.926039999999999,16.0,18.896112,25.639999
29,5.65,5.65,14.04,17.831792999999998
30,5.65,5.65,11.024327,27.560817999999998
31,15.47,19.879835,21.702709,27.98
32,12.66906,16.639999,24.468443,29.26
33,7.45,15.936182999999998,20.25,28.200229999999998
34,12.853567,25.697708,27.560817999999998,30.890165000000003
35,12.853567,17.264097,28.784519,33.072983
36,19.270523,24.242496,27.483648,33.072983
37,19.270523,28.145109,28.784519,37.482712
38,22.798309,26.674146999999998,33.072983,37.482712
39,12.513449000000001,21.695877,27.373404999999998,38.750510999999996
40,7.42,11.875021,16.750362,27.560817999999998
41,17.990154,19.17359,22.065376,22.065376
42,15.775981,17.080177,21.702709,22.179903
43,8.617775,13.259929000000001,18.896112,24.468443
44,24.010986,28.784519,30.537388,35.983402000000005
45,18.708282,26.458384999999996,31.088603999999997,35.983402000000005
46,17.264097,20.670614,29.459894,33.459998999999996
47,20.218616,22.919577,31.088603999999997,36.058735
48,22.209999,25.179564000000003,35.310921,38.750510999999996
49,19.292572,22.302214000000003,27.373404999999998,38.750510999999996
50,7.128887,11.95,19.28035,28.663252000000004
51,9.57,14.136209,15.47,28.70735
52,21.431293,28.501559999999998,33.459998999999996,33.459998999999996
53,28.784519,33.459998999999996,33.459998999999996,33.459998999999996
54,22.919577,28.784519,33.459998999999996,33.459998999999996
55,22.919577,33.459998999999996,33.459998999999996,33.459998999999996
56,22.919577,33.459998999999996,33.459998999999996,33.459998999999996
57,22.919577,33.459998999999996,33.459998999999996,33.459998999999996
58,19.963217,23.966887,33.459998999999996,33.459998999999996
59,20.769833,22.232393,26.954481,33.459998999999996
60,6.363013,11.95,17.232283,33.459998999999996
61,9.210128,11.398011,13.996718,33.459998999999996
62,14.386747,18.300385000000002,23.382597,33.459998999999996
63,21.519486999999998,26.458384999999996,33.459998999999996,35.961353
64,21.585632,33.459998999999996,33.459998999999996,33.459998999999996
65,23.728487,33.459998999999996,33.459998999999996,33.459998999999996
66,14.915915,21.585632,33.459998999999996,33.459998999999996
67,17.264097,21.585632,23.018795,33.459998999999996
68,21.100561,26.954481,33.459998999999996,33.459998999999996
69,17.969998999999998,23.018795,33.459998999999996,33.459998999999996
70,6.01,10.5,14.12,26.436336999999998
71,5.617261,9.57,12.906063,23.885185
72,11.398011,14.292895000000001,16.536491,16.536491
73,14.331626000000002,16.481369,16.536491,16.536491
74,11.770619,14.369328,15.047667,16.536491
75,11.770619,14.331626000000002,16.349076999999998,25.907169
76,11.770619,14.386747,22.048655,27.340329999999998
77,11.751512,20.211267000000003,26.447360999999997,26.447360999999997
78,10.910752,17.969998999999998,22.048655,33.459998999999996
79,6.01,9.79,12.420297,23.627121
80,6.01,8.598666999999999,11.933038999999999,19.446913000000002
81,12.66906,12.66906,12.66906,15.47
82,9.57,15.47,20.70155,25.552895
83,11.337659,13.259929000000001,20.70155,29.459894
84,10.51,13.57634,16.117567,29.459894
85,9.79,10.51,16.117567,22.209999
86,10.5,10.51,13.229192999999999,16.304979
87,10.51,10.51,11.417117999999999,18.565770999999998
88,6.71,10.5,12.303149000000001,20.70155
89,6.33,6.83,11.86,15.764222
90,6.01,7.8725570000000005,11.86,15.764222
91,12.66906,12.66906,12.66906,12.66906
92,12.66906,20.70155,22.053259,25.552895
93,7.298161,20.70155,20.70155,29.459894
94,7.298161,13.57634,20.70155,22.053259
95,7.283564999999999,8.034976,17.969998999999998,20.70155
96,6.01,7.283564999999999,13.259929000000001,20.70155
97,6.01,7.42,13.94,17.969998999999998
98,6.01,11.86,13.94,18.75238
99,7.8725570000000005,11.86,17.969998999999998,18.75238
100,11.86,11.86,11.86,16.536491
