climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,8.64,10.03,14.26,18.110001
2,2.93,8.64,13.93,17.25
3,1.6,3.250037,8.64,17.25
4,1.6,4.21,8.64,17.25
5,1.6,3.22,8.64,17.25
6,1.9,5.32,8.64,19.209999
7,4.26,8.64,15.81,19.209999
8,5.53,8.64,15.76,19.209999
9,7.56,14.89,15.84,19.209999
10,7.41,10.58283,15.81,18.911804
11,10.03,13.93,17.25,18.110001
12,4.26,14.26,14.89,17.25
13,5.53,5.72,14.89,17.25
14,4.29,5.8,8.64,15.81
15,5.53,8.64,8.64,19.209999
16,8.64,8.64,8.64,19.209999
17,8.64,8.64,19.209999,19.209999
18,8.64,15.76,19.209999,19.209999
19,7.41,8.64,18.110001,19.209999
20,7.41,12.28,14.26,18.911804
21,7.07,13.93,14.89,17.25
22,8.64,14.89,14.89,15.81
23,8.64,8.64,8.64,15.81
24,8.64,8.64,14.89,15.81
25,8.64,8.64,15.76,19.209999
26,8.64,15.76,15.76,19.209999
27,15.76,15.76,15.76,19.209999
28,15.76,15.76,15.76,19.209999
29,10.58283,12.28,15.76,18.110001
30,12.28,12.28,14.26,15.84
31,6.054398,8.64,14.26,14.89
32,8.64,8.64,14.89,14.89
33,8.64,8.64,8.64,15.76
34,8.64,8.64,8.64,14.89
35,8.64,8.64,14.89,15.81
36,8.64,8.64,15.76,17.25
37,8.64,15.76,15.76,17.25
38,10.12,15.76,15.76,15.76
39,8.64,14.26,15.76,15.76
40,8.64,12.28,15.76,15.84
41,4.59,10.03,14.26,14.89
42,14.89,14.89,14.983951000000001,15.81
43,8.64,8.64,14.89,15.81
44,8.64,8.64,8.64,15.81
45,8.64,8.64,8.64,15.81
46,8.64,8.64,8.64,15.81
47,8.64,8.64,14.89,15.81
48,8.64,8.64,15.76,15.76
49,8.64,8.64,8.64,15.76
50,8.64,8.64,9.85972,15.84
51,4.59,10.03,13.93,18.110001
52,4.77,14.89,15.76,18.110001
53,10.688674,14.89,15.76,18.110001
54,10.459131,13.473119,15.76,17.25
55,8.64,8.64,15.76,15.81
56,8.64,8.64,10.03,15.81
57,8.64,8.64,8.64,8.64
58,8.64,8.64,8.64,8.64
59,8.64,8.64,8.64,8.64
60,8.64,8.64,8.64,15.84
61,10.03,18.110001,18.110001,18.110001
62,6.85,14.983951000000001,18.110001,18.110001
63,14.89,15.81,18.110001,18.110001
64,7.64,14.89,15.81,18.110001
65,8.64,8.64,8.64,15.76
66,8.64,8.64,8.64,10.03
67,8.64,8.64,8.64,8.64
68,8.64,8.64,8.64,8.64
69,8.64,8.64,8.64,8.64
70,8.64,8.64,8.64,10.045753
71,18.110001,18.110001,18.110001,18.110001
72,18.110001,18.110001,18.110001,18.110001
73,4.02,9.820406,15.81,18.110001
74,7.56,14.89,15.76,17.25
75,8.64,10.03,15.76,15.81
76,8.64,8.64,8.64,8.64
77,8.64,8.64,8.64,8.64
78,8.64,8.64,8.64,8.64
79,8.64,8.64,8.64,10.662916000000001
80,8.64,8.64,8.64,10.289721
81,9.51,9.51,11.55,18.110001
82,4.77,7.315242,13.93,18.110001
83,4.02,4.77,14.89,15.81
84,5.64,14.89,15.81,18.110001
85,8.64,8.64,10.03,17.25
86,8.64,8.64,10.550041,13.863138000000001
87,8.330225,8.64,8.64,15.353259
88,5.022876,8.64,8.64,10.662916000000001
89,8.64,8.64,8.64,13.394338000000001
90,8.64,8.64,8.64,9.80298
91,9.51,9.51,9.51,9.51
92,6.83,9.51,9.51,13.93
93,5.64,6.83,8.64,8.64
94,5.64,8.64,8.64,8.64
95,6.529739,8.64,8.64,8.64
96,8.64,8.64,8.64,8.64
97,8.64,8.64,8.64,8.64
98,8.64,8.64,8.64,8.64
99,8.64,8.64,8.64,8.64
100,8.64,8.64,8.64,8.64
