climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.71,0.78,1.42,2.658831
2,0.79,2.08,2.08,2.08
3,0.79,1.55,2.08,2.08
4,0.28615,0.28615,0.83,2.08
5,0.28615,0.61,0.83,1.8
6,0.28615,0.28615,0.83,2.08
7,0.28615,0.33274899999999996,0.83,1.55
8,0.28615,0.61,0.83,0.83
9,0.28615,0.61,0.83,0.83
10,0.28615,0.28615,0.28615,0.83
11,0.21938200000000002,0.71,1.55,4.431385
12,0.71,1.7725540000000002,2.08,4.431385
13,0.83,2.08,2.08,2.08
14,1.55,2.08,2.08,2.08
15,0.28615,0.83,0.83,2.08
16,0.28615,0.28615,0.83,2.08
17,0.273254,0.28615,0.83,2.08
18,0.28615,0.28615,0.83,2.08
19,0.28615,0.83,0.83,1.8
20,0.28615,0.28615,0.83,1.8
21,0.21938200000000002,0.21938200000000002,0.21938200000000002,0.79
22,0.61,0.83,2.08,2.72087
23,0.33274899999999996,0.83,1.55,3.08
24,0.388862,0.83,1.55,2.658831
25,0.83,0.83,2.08,2.08
26,0.61,0.83,1.8,2.08
27,0.28615,0.28615,0.83,2.08
28,0.28615,0.83,0.83,1.8
29,0.28615,0.83,0.83,1.8
30,0.28615,0.61,0.83,1.8
31,0.21938200000000002,0.21938200000000002,0.61,2.08
32,0.61,0.83,2.08,3.5451080000000004
33,0.61,0.83,1.5952979999999999,2.658831
34,0.83,0.83,2.038437,2.747458
35,0.28615,0.83,1.8,2.827223
36,0.83,0.83,1.8,2.827223
37,0.83,0.83,0.83,1.8
38,0.83,0.83,0.83,1.8
39,0.83,0.83,0.83,1.8
40,0.28615,0.28615,0.83,1.8
41,0.21938200000000002,0.33274899999999996,0.61,3.07
42,0.28615,0.28615,0.61,2.08
43,0.28615,0.28615,0.83,2.658831
44,0.83,0.83,1.8,2.481575
45,0.83,0.83,2.162516,2.2156919999999998
46,0.83,0.83,0.83,2.162516
47,0.83,0.83,0.83,1.8
48,0.28615,0.83,0.83,1.8
49,0.28615,0.83,0.83,1.8
50,0.28615,0.28615,0.83,0.83
51,0.21938200000000002,0.33274899999999996,0.61,3.07
52,0.28615,0.28615,1.9498090000000001,2.08
53,0.33274899999999996,0.83,1.8,2.454987
54,0.28615,0.28615,0.83,1.8
55,0.28615,0.83,0.83,1.7725540000000002
56,0.28615,0.83,1.418043,2.2156919999999998
57,0.83,0.83,1.7725540000000002,2.20683
58,0.83,0.83,0.83,1.8
59,0.33274899999999996,0.83,0.83,1.8
60,0.28615,0.28615,0.28615,0.28615
61,0.21938200000000002,0.33274899999999996,0.61,3.07
62,0.61,0.83,2.08,2.08
63,0.28615,0.61,0.83,2.20683
64,0.28615,0.83,2.127065,2.552478
65,0.28615,0.28615,0.28615,0.83
66,0.28615,0.28615,0.28615,0.83
67,0.28615,0.28615,0.28615,0.83
68,0.28615,0.28615,0.28615,1.8
69,0.28615,0.28615,0.28615,0.83
70,0.28615,0.28615,0.28615,0.28615
71,0.33274899999999996,0.531766,2.08,2.08
72,0.28615,0.33274899999999996,0.83,1.8
73,0.28615,0.28615,0.28615,0.83
74,0.28615,0.28615,0.28615,0.28615
75,0.28615,0.28615,0.28615,0.28615
76,0.28615,0.28615,0.28615,0.28615
77,0.28615,0.28615,0.28615,0.28615
78,0.28615,0.28615,0.28615,0.28615
79,0.28615,0.28615,0.28615,0.28615
80,0.28615,0.28615,0.28615,0.28615
81,0.33274899999999996,0.4,2.08,2.08
82,0.28615,0.33274899999999996,0.83,2.08
83,0.28615,0.28615,0.28615,0.28615
84,0.28615,0.28615,0.28615,0.28615
85,0.28615,0.28615,0.28615,0.28615
86,0.28615,0.28615,0.28615,0.28615
87,0.28615,0.28615,0.28615,0.28615
88,0.28615,0.28615,0.28615,0.28615
89,0.28615,0.28615,0.28615,0.28615
90,0.28615,0.28615,0.28615,0.28615
91,0.21938200000000002,0.4,0.4,0.4
92,0.20030499999999998,0.21938200000000002,0.33274899999999996,1.54
93,0.33274899999999996,0.61,2.08,3.07
94,0.28615,0.33274899999999996,0.33274899999999996,2.08
95,0.28615,0.28615,0.28615,0.28615
96,0.28615,0.28615,0.28615,0.28615
97,0.28615,0.28615,0.28615,0.28615
98,0.28615,0.28615,0.28615,0.28615
99,0.28615,0.28615,0.28615,0.28615
100,0.28615,0.28615,0.28615,0.28615
