climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,23.110001,23.110001,23.110001,23.110001
2,23.110001,23.110001,23.110001,23.110001
3,23.110001,23.110001,23.110001,23.110001
4,23.110001,23.110001,23.110001,23.110001
5,23.110001,23.110001,23.110001,23.110001
6,23.110001,23.110001,23.110001,23.110001
7,23.110001,23.110001,23.110001,23.110001
8,23.110001,23.110001,23.110001,23.110001
9,23.110001,23.110001,23.110001,23.110001
10,23.110001,23.110001,23.110001,23.110001
11,23.110001,23.110001,23.110001,23.110001
12,23.110001,23.110001,23.110001,23.110001
13,23.110001,23.110001,23.110001,23.110001
14,23.110001,23.110001,23.110001,23.110001
15,23.110001,23.110001,23.110001,23.110001
16,23.110001,23.110001,23.110001,23.110001
17,23.110001,23.110001,23.110001,23.110001
18,23.110001,23.110001,23.110001,23.110001
19,23.110001,23.110001,23.110001,23.110001
20,23.110001,23.110001,23.110001,23.110001
21,23.110001,23.110001,23.110001,23.110001
22,23.110001,23.110001,23.110001,23.110001
23,23.110001,23.110001,23.110001,23.110001
24,23.110001,23.110001,23.110001,23.110001
25,23.110001,23.110001,23.110001,23.110001
26,23.110001,23.110001,23.110001,23.110001
27,23.110001,23.110001,23.110001,23.110001
28,23.110001,23.110001,23.110001,23.110001
29,23.110001,23.110001,23.110001,23.110001
30,23.110001,23.110001,23.110001,23.110001
31,23.110001,23.110001,23.110001,23.110001
32,23.110001,23.110001,23.110001,23.110001
33,23.110001,23.110001,23.110001,23.110001
34,23.110001,23.110001,23.110001,23.110001
35,23.110001,23.110001,23.110001,23.110001
36,23.110001,23.110001,23.110001,23.110001
37,23.110001,23.110001,23.110001,23.110001
38,23.110001,23.110001,23.110001,23.110001
39,23.110001,23.110001,23.110001,23.110001
40,23.110001,23.110001,23.110001,23.110001
41,23.110001,23.110001,23.110001,23.110001
42,23.110001,23.110001,23.110001,23.110001
43,23.110001,23.110001,23.110001,23.110001
44,23.110001,23.110001,23.110001,23.110001
45,23.110001,23.110001,23.110001,23.110001
46,23.110001,23.110001,23.110001,23.110001
47,23.110001,23.110001,23.110001,23.110001
48,23.110001,23.110001,23.110001,23.110001
49,23.110001,23.110001,23.110001,23.110001
50,23.110001,23.110001,23.110001,23.110001
51,23.110001,23.110001,23.110001,23.110001
52,23.110001,23.110001,23.110001,23.110001
53,23.110001,23.110001,23.110001,23.110001
54,23.110001,23.110001,23.110001,23.110001
55,23.110001,23.110001,23.110001,23.110001
56,23.110001,23.110001,23.110001,23.110001
57,23.110001,23.110001,23.110001,23.110001
58,23.110001,23.110001,23.110001,23.110001
59,23.110001,23.110001,23.110001,23.110001
60,23.110001,23.110001,23.110001,23.110001
61,23.110001,23.110001,23.110001,23.110001
62,23.110001,23.110001,23.110001,23.110001
63,23.110001,23.110001,23.110001,23.110001
64,23.110001,23.110001,23.110001,23.110001
65,23.110001,23.110001,23.110001,23.110001
66,23.110001,23.110001,23.110001,23.110001
67,23.110001,23.110001,23.110001,23.110001
68,23.110001,23.110001,23.110001,23.110001
69,23.110001,23.110001,23.110001,23.110001
70,23.110001,23.110001,23.110001,23.110001
71,23.110001,23.110001,23.110001,23.110001
72,23.110001,23.110001,23.110001,23.110001
73,23.110001,23.110001,23.110001,23.110001
74,23.110001,23.110001,23.110001,23.110001
75,23.110001,23.110001,23.110001,23.110001
76,23.110001,23.110001,23.110001,23.110001
77,23.110001,23.110001,23.110001,23.110001
78,23.110001,23.110001,23.110001,23.110001
79,23.110001,23.110001,23.110001,23.110001
80,23.110001,23.110001,23.110001,23.110001
81,23.110001,23.110001,23.110001,23.110001
82,23.110001,23.110001,23.110001,23.110001
83,23.110001,23.110001,23.110001,23.110001
84,23.110001,23.110001,23.110001,23.110001
85,23.110001,23.110001,23.110001,23.110001
86,23.110001,23.110001,23.110001,23.110001
87,23.110001,23.110001,23.110001,23.110001
88,23.110001,23.110001,23.110001,23.110001
89,23.110001,23.110001,23.110001,23.110001
90,23.110001,23.110001,23.110001,23.110001
91,23.110001,23.110001,23.110001,23.110001
92,23.110001,23.110001,23.110001,23.110001
93,23.110001,23.110001,23.110001,23.110001
94,23.110001,23.110001,23.110001,23.110001
95,23.110001,23.110001,23.110001,23.110001
96,23.110001,23.110001,23.110001,23.110001
97,23.110001,23.110001,23.110001,23.110001
98,23.110001,23.110001,23.110001,23.110001
99,23.110001,23.110001,23.110001,23.110001
100,23.110001,23.110001,23.110001,23.110001
