climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.45,3.45,3.45,3.45
2,3.45,3.45,3.45,3.45
3,3.45,3.45,3.45,3.45
4,3.45,3.45,3.45,3.45
5,3.45,3.45,3.45,3.45
6,3.45,3.45,3.45,3.45
7,3.45,3.45,3.45,3.45
8,3.45,3.45,3.45,3.45
9,3.45,8.93,8.93,10.93
10,8.93,8.93,10.93,10.93
11,3.45,3.45,3.45,3.45
12,3.45,3.45,3.45,3.45
13,3.45,3.45,3.45,3.45
14,3.45,3.45,3.45,3.45
15,3.45,3.45,3.45,3.45
16,3.45,3.45,3.45,18.870001000000002
17,3.45,8.93,8.93,10.93
18,8.93,8.93,8.93,8.93
19,8.93,8.93,8.93,10.93
20,8.93,8.93,8.93,10.93
21,3.45,3.45,3.45,3.45
22,3.45,3.45,3.45,3.45
23,3.45,3.45,3.45,3.45
24,3.45,3.45,3.45,3.45
25,3.45,3.45,3.45,3.45
26,3.45,3.45,3.45,3.45
27,3.45,3.45,3.45,3.45
28,3.45,3.45,3.45,18.870001000000002
29,8.93,8.93,8.93,8.93
30,8.93,8.93,8.93,10.93
31,3.45,3.45,3.45,3.45
32,3.45,3.45,3.45,3.45
33,3.45,3.45,3.45,3.45
34,3.45,3.45,3.45,3.45
35,3.45,3.45,3.45,3.45
36,3.45,3.45,3.45,3.45
37,3.45,3.45,3.45,3.45
38,3.45,3.45,3.45,3.45
39,3.45,3.45,3.45,8.93
40,3.45,8.93,10.93,10.93
41,3.45,3.45,3.45,3.45
42,3.45,3.45,3.45,3.45
43,3.45,3.45,3.45,3.45
44,3.45,3.45,3.45,3.45
45,3.45,3.45,3.45,3.45
46,3.45,3.45,3.45,3.45
47,3.45,3.45,3.45,3.45
48,3.45,3.45,3.45,3.45
49,3.45,3.45,3.45,10.93
50,3.45,3.45,10.93,10.93
51,3.45,3.45,3.45,3.45
52,3.45,3.45,3.45,3.45
53,3.45,3.45,3.45,3.45
54,3.45,3.45,3.45,3.45
55,3.45,3.45,3.45,3.45
56,3.45,3.45,3.45,3.45
57,3.45,3.45,3.45,3.45
58,3.45,3.45,3.45,3.45
59,3.45,3.45,3.45,3.45
60,3.45,3.45,3.45,10.93
61,3.45,3.45,3.45,3.45
62,3.45,3.45,3.45,3.45
63,3.45,3.45,3.45,3.45
64,3.45,3.45,3.45,3.45
65,3.45,3.45,3.45,3.45
66,3.45,3.45,3.45,3.45
67,3.45,3.45,3.45,3.45
68,3.45,3.45,3.45,3.45
69,3.45,3.45,3.45,3.45
70,3.45,3.45,3.45,3.45
71,3.45,3.45,3.45,3.45
72,3.45,3.45,3.45,3.45
73,3.45,3.45,3.45,3.45
74,3.45,3.45,3.45,3.45
75,3.45,3.45,3.45,3.45
76,3.45,3.45,3.45,3.45
77,3.45,3.45,3.45,3.45
78,3.45,3.45,3.45,3.45
79,3.45,3.45,3.45,3.45
80,3.45,3.45,3.45,9.448022
81,3.45,3.45,3.45,3.45
82,3.45,3.45,3.45,3.45
83,3.45,3.45,3.45,12.97552
84,3.45,3.45,3.45,15.799291
85,3.45,3.45,3.45,7.312025
86,3.45,3.45,3.45,7.179079
87,3.45,3.45,3.45,4.254269
88,3.45,3.45,3.45,8.508538
89,3.45,3.45,3.45,3.45
90,3.45,3.45,3.45,3.45
91,3.45,3.45,3.45,3.45
92,3.45,3.45,3.45,3.45
93,3.45,3.45,3.45,3.45
94,3.45,3.45,3.45,3.45
95,3.45,3.45,3.45,3.45
96,3.45,3.45,3.45,3.45
97,3.45,3.45,3.45,3.45
98,3.45,3.45,3.45,3.45
99,3.45,3.45,3.45,3.45
100,3.45,3.45,3.45,3.45
