climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.36,2.01,3.17,6.19
2,0.95,1.61,6.19,8.75
3,0.95,0.95,2.4,8.75
4,0.95,0.95,1.61,8.75
5,0.98,1.54,6.19,7.81
6,0.39,1.04,2.4,7.81
7,0.39,0.39,0.39,6.19
8,0.39,0.39,0.39,6.19
9,0.39,0.39,0.39,6.19
10,0.39,0.39,1.11,6.19
11,1.61,1.69,3.15,3.15
12,0.39,0.39,1.57,1.69
13,0.39,0.39,0.39,1.61
14,0.39,0.39,0.39,1.61
15,0.39,0.39,0.39,1.61
16,0.39,0.39,0.39,1.61
17,0.39,0.39,0.39,1.61
18,0.39,0.39,0.59,3.91
19,0.39,0.59,0.8,3.91
20,0.59,1.11,1.53,6.19
21,1.11,1.69,1.69,1.69
22,0.39,1.11,1.11,1.69
23,0.39,1.11,1.11,1.69
24,0.39,0.39,1.11,1.69
25,0.9,1.11,1.11,1.69
26,1.11,1.11,1.11,1.61
27,1.11,1.11,1.11,3.91
28,0.8,1.11,1.53,3.91
29,1.11,1.53,1.53,2.02
30,1.11,1.11,1.11,1.61
31,1.11,1.69,1.69,1.69
32,1.11,1.11,1.11,1.11
33,1.11,1.11,1.11,1.11
34,1.11,1.11,1.11,1.13
35,1.11,1.11,1.11,1.61
36,1.11,1.11,1.11,1.55
37,1.11,1.11,1.11,1.55
38,1.11,1.11,1.11,1.61
39,0.8,0.8,1.11,1.53
40,0.8,0.8,1.11,1.53
41,1.11,1.11,1.69,1.69
42,1.11,1.11,1.11,1.11
43,1.11,1.11,1.11,1.11
44,1.11,1.11,1.11,1.11
45,1.11,1.11,1.11,1.55
46,1.11,1.11,1.11,1.55
47,1.11,1.11,1.11,1.55
48,1.11,1.11,1.27,1.61
49,0.8,0.8,0.8,1.53
50,0.8,0.8,0.8,1.53
51,1.11,1.11,1.69,1.69
52,1.11,1.11,1.11,1.11
53,1.11,1.11,1.11,1.11
54,1.11,1.11,1.11,1.11
55,1.11,1.11,1.11,1.55
56,1.11,1.11,1.11,1.55
57,1.11,1.11,1.11,1.55
58,0.8,0.8,0.8,1.55
59,0.8,0.8,0.8,0.8
60,0.8,0.8,0.8,1.61
61,1.11,1.11,1.11,1.69
62,1.11,1.11,1.11,1.11
63,1.11,1.11,1.11,1.11
64,1.11,1.11,1.11,1.53
65,1.11,1.11,1.11,1.11
66,1.11,1.11,1.11,1.13
67,1.11,1.11,1.27,1.61
68,0.8,1.11,1.11,1.61
69,0.8,0.8,0.8,1.53
70,0.8,0.8,0.8,1.61
71,1.11,1.11,1.69,1.69
72,1.11,1.11,1.11,1.11
73,1.11,1.11,1.11,1.11
74,0.59,1.11,1.11,1.53
75,1.11,1.11,1.11,1.11
76,1.11,1.11,1.11,1.61
77,1.11,1.11,1.11,1.55
78,1.11,1.11,1.11,1.55
79,1.11,1.11,1.11,1.61
80,0.8,1.11,1.55,1.61
81,1.11,1.69,1.69,1.69
82,1.11,1.11,1.11,1.11
83,1.11,1.11,1.11,1.11
84,1.11,1.11,1.11,1.11
85,1.11,1.11,1.11,1.29
86,1.07,1.11,1.27,1.61
87,1.11,1.11,1.29,1.61
88,1.11,1.11,1.11,1.55
89,1.11,1.11,1.53,1.61
90,0.59,0.59,1.11,1.61
91,0.55,1.11,1.11,1.69
92,1.11,1.11,1.11,1.11
93,1.11,1.11,1.11,1.11
94,1.11,1.11,1.11,1.11
95,1.11,1.11,1.11,1.11
96,1.11,1.11,1.11,1.11
97,1.11,1.11,1.11,1.29
98,1.11,1.11,1.11,1.61
99,1.11,1.11,1.29,1.61
100,1.11,1.53,1.53,1.61
