climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,22.110001,22.110001,22.110001,25.339987
2,22.110001,22.110001,22.110001,44.378502000000005
3,22.110001,22.110001,23.223352,44.378502000000005
4,20.450001,22.110001,22.110001,42.98
5,22.110001,22.110001,22.110001,42.98
6,22.110001,22.110001,22.110001,25.444326
7,22.110001,22.110001,22.110001,27.650909000000002
8,22.110001,22.110001,22.110001,32.475903
9,13.918242999999999,22.110001,22.110001,40.439999
10,8.66,20.068758,22.110001,44.950001
11,8.55,18.557657,42.98,44.378502000000005
12,8.55,15.534545999999999,25.071396,42.98
13,15.534545999999999,23.197073,25.389999,32.475903
14,12.31,22.110001,27.836486999999998,42.98
15,8.55,19.176247,25.389999,42.98
16,7.97,18.791971,22.110001,42.98
17,7.97,8.66,22.110001,44.950001
18,8.66,20.06876,37.990002000000004,44.950001
19,6.489194,12.535384,37.990002000000004,45.087376
20,3.4784050000000004,8.66,37.990002000000004,69.440002
21,8.55,19.579535999999997,26.110623999999998,42.98
22,8.55,20.719627,25.389999,27.836486999999998
23,20.413424,26.444662,27.836486999999998,32.475903
24,18.866953,25.389999,27.836486999999998,30.629414
25,8.66,21.838478,25.389999,40.439999
26,7.97,7.97,22.110001,40.439999
27,7.97,8.66,20.413424,45.087376
28,7.97,12.535384,37.990002000000004,45.087376
29,8.66,12.535384,37.990002000000004,69.440002
30,8.66,12.535384,37.990002000000004,55.106792000000006
31,13.66,23.197073,23.197073,42.98
32,7.611345,20.345388,25.389999,30.620136
33,7.611345,14.44,23.02,30.620136
34,7.6018300000000005,11.630924,23.02,28.304581
35,7.97,12.535384,23.02,37.990002000000004
36,7.97,12.535384,20.345388,37.990002000000004
37,8.66,12.535384,37.990002000000004,69.440002
38,7.97,12.535384,22.658857,44.950001
39,7.97,12.535384,14.811722,45.087376
40,8.66,12.535384,22.658857,45.087376
41,7.6018300000000005,23.197073,23.775451999999998,42.98
42,7.6018300000000005,19.18,26.929018,29.692253000000004
43,7.611345,19.18,23.02,27.836486999999998
44,7.611345,8.33,23.02,44.696621
45,7.6018300000000005,19.18,27.836486999999998,45.087376
46,7.6018300000000005,14.811722,27.836486999999998,69.440002
47,7.611345,14.811722,37.990002000000004,69.440002
48,6.103609,8.66,37.990002000000004,69.440002
49,7.342388000000001,8.66,37.990002000000004,45.087376
50,8.66,23.02,37.990002000000004,55.106792000000006
51,7.6018300000000005,7.611345,23.197073,42.98
52,7.611345,20.345387,23.02,25.535053
53,7.611345,7.611345,23.02,28.304581
54,7.611345,19.18,23.02,45.087376
55,7.6018300000000005,14.811722,23.02,69.440002
56,10.61,14.811722,23.197073,69.440002
57,7.611345,14.811722,23.02,69.440002
58,7.611345,14.811722,32.459998999999996,69.440002
59,8.66,23.02,37.990002000000004,69.440002
60,8.66,23.02,37.990002000000004,69.440002
61,7.6018300000000005,7.611345,19.18,42.98
62,7.611345,16.701893,23.02,28.304581
63,7.611345,22.658857,23.02,28.304581
64,7.611345,22.658857,23.02,23.02
65,8.66,22.658857,23.02,45.087376
66,8.66,22.658857,37.990002000000004,69.440002
67,7.611345,8.66,32.459998999999996,69.440002
68,7.611345,8.66,23.02,37.990002000000004
69,8.66,8.66,37.990002000000004,37.990002000000004
70,8.66,8.66,37.990002000000004,37.990002000000004
71,7.6018300000000005,7.611345,19.18,42.98
72,7.611345,23.02,23.02,25.535053
73,7.611345,22.658857,23.02,23.02
74,7.611345,23.02,23.02,23.02
75,7.611345,22.658857,23.02,69.440002
76,7.97,23.02,23.02,37.990002000000004
77,7.611345,8.66,23.02,37.990002000000004
78,8.66,8.66,23.197073,37.990002000000004
79,8.66,8.66,23.02,37.990002000000004
80,8.66,8.66,32.459998999999996,37.990002000000004
81,7.6018300000000005,7.611345,7.611345,42.98
82,7.6018300000000005,23.02,23.02,33.622074
83,7.611345,23.02,23.02,23.02
84,7.611345,23.02,23.02,23.02
85,7.611345,7.97,20.450001,23.02
86,7.611345,7.97,23.02,37.990002000000004
87,7.97,23.02,37.990002000000004,37.990002000000004
88,8.66,23.02,32.459998999999996,37.990002000000004
89,8.66,8.66,37.990002000000004,37.990002000000004
90,6.489194,8.66,32.459998999999996,37.990002000000004
91,7.6018300000000005,7.6018300000000005,33.54528,42.98
92,7.6018300000000005,7.6018300000000005,23.02,45.712456
93,23.02,23.02,23.02,23.02
94,23.02,23.02,23.02,23.02
95,23.02,23.02,23.02,23.02
96,7.97,10.43,23.02,23.02
97,5.215733999999999,7.97,23.02,23.02
98,7.6018300000000005,7.97,23.02,27.49
99,7.6018300000000005,23.02,32.459998999999996,37.990002000000004
100,5.846043,6.489194,8.66,40.439999
