climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.757065,0.757065,0.757065,1.8
2,0.757065,0.757065,0.757065,0.757065
3,0.757065,0.757065,0.757065,1.044469
4,0.757065,0.757065,0.757065,1.5772190000000001
5,1.044469,1.44,1.44,1.8
6,1.44,1.44,1.44,1.8
7,1.44,1.44,1.44,1.8
8,1.44,1.44,1.8,3.373957
9,1.44,1.44,1.8,1.8
10,1.44,1.44,1.8,1.8
11,0.686966,0.757065,0.757065,1.983791
12,0.757065,0.757065,0.757065,0.757065
13,0.757065,0.757065,0.757065,0.757065
14,0.757065,0.757065,0.757065,0.757065
15,0.757065,0.757065,0.757065,1.71
16,1.044469,1.5772190000000001,1.5772190000000001,2.04
17,1.3108440000000001,1.44,1.44,2.8
18,1.44,1.44,1.8,2.8
19,1.44,1.44,1.44,1.8
20,0.63,1.44,1.44,1.8
21,0.686966,0.757065,0.757065,0.98839
22,0.757065,0.757065,0.757065,0.757065
23,0.757065,0.757065,0.757065,1.0
24,0.757065,0.757065,0.757065,0.757065
25,0.757065,0.757065,0.757065,0.757065
26,0.757065,0.757065,0.757065,0.757065
27,0.502698,0.757065,0.757065,1.983791
28,1.0,1.5772190000000001,2.04,2.8
29,0.04,1.0,2.04,2.8
30,1.44,1.44,1.8,2.04
31,0.757065,0.757065,0.757065,0.757065
32,0.757065,0.757065,0.757065,0.757065
33,0.757065,0.757065,0.757065,0.757065
34,0.757065,0.757065,0.757065,0.757065
35,0.757065,0.757065,0.757065,0.757065
36,0.757065,0.757065,0.757065,0.757065
37,0.757065,1.5772190000000001,2.8,2.8
38,2.8,2.8,2.8,2.8
39,2.8,2.8,2.8,2.8
40,1.44,1.72,2.04,2.8
41,0.757065,0.757065,0.757065,0.757065
42,0.757065,0.757065,0.757065,1.5772190000000001
43,0.757065,0.757065,0.757065,1.5772190000000001
44,0.757065,0.757065,0.757065,0.757065
45,0.757065,0.757065,0.757065,0.757065
46,0.757065,0.757065,0.757065,0.757065
47,0.757065,0.757065,0.757065,0.757065
48,0.757065,2.04,2.8,2.8
49,2.8,2.8,2.8,2.8
50,1.44,2.04,2.8,2.8
51,0.686966,0.686966,0.757065,0.757065
52,0.757065,0.757065,0.757065,0.757065
53,0.757065,0.757065,0.757065,0.757065
54,0.686966,0.757065,0.757065,1.983791
55,0.686966,0.757065,2.8,2.8
56,0.757065,2.8,2.8,2.8
57,2.8,2.8,2.8,2.8
58,2.04,2.8,2.8,2.8
59,2.04,2.04,2.04,2.8
60,1.44,1.72,2.04,2.04
61,0.686966,0.686966,0.686966,0.686966
62,0.686966,0.757065,0.757065,0.757065
63,0.757065,0.757065,0.757065,0.757065
64,0.757065,0.757065,0.757065,0.757065
65,0.757065,0.757065,0.757065,0.757065
66,0.757065,0.757065,0.757065,0.757065
67,0.757065,1.983791,2.04,2.04
68,0.04,0.757065,2.04,2.8
69,2.04,2.04,2.8,2.8
70,2.04,2.04,2.04,2.04
71,0.757065,0.757065,0.757065,0.757065
72,0.757065,0.757065,0.757065,0.757065
73,0.757065,0.757065,0.757065,0.757065
74,0.757065,0.757065,0.757065,0.757065
75,0.757065,0.757065,0.757065,0.757065
76,,,,
77,0.757065,0.757065,0.757065,0.757065
78,0.757065,0.757065,0.757065,0.757065
79,,,,
80,0.757065,0.757065,0.757065,0.757065
81,0.757065,0.757065,0.757065,0.757065
82,0.757065,0.757065,0.757065,0.757065
83,0.757065,0.757065,0.757065,0.757065
84,0.757065,0.757065,0.757065,0.757065
85,0.757065,0.757065,0.757065,0.757065
86,,,,
87,0.757065,0.757065,0.757065,0.757065
88,,,,
89,0.757065,0.757065,0.757065,0.757065
90,0.757065,0.757065,0.757065,0.757065
91,0.757065,0.757065,0.757065,0.757065
92,0.757065,0.757065,0.757065,0.757065
93,,,,
94,0.757065,0.757065,0.757065,0.757065
95,0.757065,0.757065,0.757065,0.757065
96,0.757065,0.757065,0.757065,0.757065
97,0.757065,0.757065,0.757065,0.757065
98,0.757065,0.757065,0.757065,0.757065
99,0.757065,0.757065,0.757065,0.757065
100,0.757065,0.757065,0.757065,0.757065
