climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.31,6.489741,8.034522,13.99
2,5.440199,5.440199,6.489741,11.038713000000001
3,5.440199,5.440199,6.489741,8.034522
4,5.440199,5.440199,6.489741,6.489741
5,6.422057,6.489741,6.489741,6.489741
6,6.489741,6.489741,6.489741,6.489741
7,5.440199,6.489741,6.489741,8.842095
8,4.539197,6.489741,6.489741,9.04
9,4.539197,6.489741,8.542566,9.44
10,4.169444,6.170297,9.04,11.89
11,5.347005,5.347005,5.92,8.034522
12,5.347005,5.409134,5.440199,6.489741
13,5.440199,6.489741,6.489741,6.489741
14,5.440199,6.489741,6.489741,6.489741
15,5.440199,6.489741,6.489741,6.489741
16,5.440199,5.440199,6.489741,6.489741
17,5.409134,5.440199,6.489741,6.489741
18,5.440199,6.489741,6.489741,8.842095
19,4.461437999999999,5.347005,5.440199,9.04
20,4.073594,5.440199,9.04,12.48
21,5.92,5.92,5.92,8.034522
22,5.347005,5.347005,5.92,5.92
23,5.347005,5.347005,5.347005,5.92
24,3.318828,5.347005,5.347005,5.92
25,5.347005,5.347005,5.440199,5.92
26,5.347005,5.347005,5.347005,5.924112
27,5.347005,5.347005,5.347005,8.842095
28,5.347005,5.347005,5.92,8.842095
29,3.755307,5.32,5.92,9.584928
30,4.073594,6.53,10.430365,12.48
31,5.92,5.92,5.92,8.034522
32,5.440199,5.92,5.92,5.92
33,3.318828,5.440199,5.92,5.92
34,5.347005,5.347005,5.92,5.92
35,5.347005,5.347005,5.347005,5.92
36,5.347005,5.347005,5.92,6.798452
37,5.347005,5.92,5.92,5.92
38,4.461437999999999,5.347005,5.92,5.92
39,3.755307,4.461437999999999,5.698677,9.388266999999999
40,4.664407,6.618728999999999,9.48215,11.98
41,2.31,5.92,5.92,8.034522
42,4.539197,5.440199,5.92,5.92
43,5.347005,5.92,5.92,8.842095
44,5.92,5.92,5.92,9.04
45,5.347005,5.347005,5.92,6.53
46,5.347005,5.347005,5.92,5.92
47,5.347005,5.347005,5.92,7.998987
48,5.347005,5.347005,5.92,5.92
49,4.121241,5.347005,5.347005,7.891292999999999
50,5.1852089999999995,7.15,9.48215,11.98
51,3.318828,5.92,5.92,11.298036
52,5.347005,5.347005,5.92,5.92
53,5.347005,5.92,5.92,8.815795
54,5.347005,5.347005,5.92,8.815795
55,5.347005,5.347005,5.92,5.924112
56,5.347005,5.347005,5.92,8.034522
57,5.347005,5.92,5.92,5.92
58,4.539197,5.347005,5.92,9.268075
59,4.461437999999999,5.3483339999999995,7.998987,10.430365
60,3.9163419999999998,5.356321,9.119955000000001,11.98
61,4.461437999999999,5.347005,6.726835,13.99
62,5.347005,5.347005,5.347005,9.268075
63,5.347005,5.347005,5.347005,11.298036
64,5.347005,5.347005,7.891292999999999,11.844638
65,4.121241,6.036058000000001,6.61,9.44
66,3.786047,6.53,6.61,7.998987
67,4.461437999999999,4.664407,6.61,9.48215
68,4.461437999999999,5.316789,5.316789,9.48215
69,4.461437999999999,5.1955800000000005,9.119955000000001,12.48
70,5.1800239999999995,9.04,9.812569,14.907210999999998
71,4.461437999999999,6.61,9.04,13.99
72,5.347005,5.347005,6.53,9.91
73,1.5979780000000001,3.755307,6.61,8.815795
74,1.5979780000000001,3.388621,3.786047,8.006994
75,1.609312,3.755307,6.61,8.006994
76,3.0108479999999997,4.539197,7.998987,8.006994
77,3.2715110000000003,5.1852089999999995,7.998987,8.601441000000001
78,4.539197,6.036058000000001,7.998987,10.180512
79,5.1800239999999995,6.036058000000001,6.53,11.89
80,4.828407,6.170297,9.119955000000001,13.778332999999998
81,3.318828,5.347005,8.006994,12.831336
82,3.388621,4.472829,4.472829,8.006994
83,3.755307,4.9526,7.998987,8.006994
84,3.479286,5.1852089999999995,7.998987,8.006994
85,4.472829,6.036058000000001,7.998987,8.601441000000001
86,4.9526,6.036058000000001,8.006994,10.824618
87,4.9526,6.036058000000001,8.006994,11.89
88,6.036058000000001,6.036058000000001,6.0421,11.880011
89,6.036058000000001,6.036058000000001,6.036058000000001,11.98
90,6.036058000000001,6.036058000000001,6.036058000000001,11.89
91,3.755307,3.755307,9.04,13.99
92,2.1041939999999997,3.498175,3.985502,9.04
93,4.472829,4.472829,7.8955839999999995,11.298036
94,4.9526,7.998987,7.998987,10.711155999999999
95,6.036058000000001,7.998987,7.998987,10.711155999999999
96,6.036058000000001,7.037282,7.998987,11.89
97,4.9526,7.037282,8.530585,11.89
98,6.036058000000001,6.0421,10.377836,11.89
99,6.036058000000001,6.0421,10.377837,13.778332999999998
100,6.036058000000001,6.036058000000001,8.542566,11.89
