climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.337008,3.03,3.03,10.86
2,2.337008,3.71,3.71,6.32
3,3.03,3.71,5.22,6.32
4,2.08164,3.71,5.22,6.32
5,1.214935,3.03,3.93,6.32
6,1.8,3.71,5.22,6.32
7,3.03,3.71,5.22,6.32
8,3.71,6.32,6.32,9.8
9,3.14,6.32,6.32,12.06
10,2.97,3.14,3.14,11.2
11,3.03,3.03,4.232925,10.86
12,1.89,3.03,3.93,9.05
13,1.89,3.2953989999999997,5.22,10.767014999999999
14,1.89,3.71,5.22,6.98
15,1.89,3.03,5.22,6.98
16,3.03,5.22,5.22,11.2
17,3.14,5.22,6.32,12.06
18,3.03,3.14,5.63,11.2
19,3.03,3.14,6.32,11.2
20,2.97,3.14,3.14,11.49
21,3.03,5.22,5.22,10.86
22,3.14,5.22,5.22,9.05
23,3.14,3.14,5.22,6.98
24,3.14,5.22,5.22,5.22
25,3.14,5.22,5.22,5.22
26,3.03,3.14,4.83,5.22
27,3.03,3.03,3.14,6.98
28,3.03,3.03,3.14,6.98
29,3.03,3.14,3.14,11.2
30,2.97,3.03,3.14,13.79
31,5.214323,6.42,9.05,10.86
32,3.03,3.03,4.83,9.05
33,3.03,3.14,5.22,5.22
34,3.03,3.03,3.14,4.83
35,3.03,3.03,3.14,4.83
36,3.03,3.03,3.14,3.14
37,3.03,3.03,3.14,3.922825
38,3.03,3.03,3.14,11.2
39,3.03,3.03,10.86,12.49
40,3.03,3.14,11.49,14.44
41,3.03,3.03,6.42,9.65
42,3.03,3.03,3.03,9.05
43,3.03,3.03,3.03,3.03
44,3.03,3.03,3.03,3.03
45,3.03,3.03,3.03,3.03
46,3.03,3.03,3.03,3.33
47,3.03,3.03,3.03,10.048568
48,3.03,3.03,3.03,12.49
49,3.03,3.03,3.03,14.44
50,3.03,3.03,6.46,14.44
51,3.03,6.42,9.05,14.44
52,3.03,3.03,3.03,9.05
53,3.03,3.03,3.03,9.05
54,3.03,3.03,3.03,3.03
55,3.03,3.03,3.03,3.03
56,3.03,3.03,3.03,12.49
57,3.03,3.03,3.03,3.03
58,3.03,3.03,3.03,3.03
59,3.03,3.03,3.03,3.03
60,3.03,3.03,3.03,6.48
61,6.42,6.99,13.79,13.79
62,3.33,13.79,13.79,13.79
63,3.03,3.03,3.03,3.03
64,3.03,3.03,3.03,3.03
65,3.03,3.03,3.03,3.03
66,3.03,3.03,3.03,3.03
67,3.03,3.03,3.03,3.03
68,3.03,3.03,3.03,3.03
69,3.03,3.03,3.03,3.03
70,3.03,3.03,3.03,3.03
71,6.99,13.79,13.79,13.79
72,3.03,7.44,13.79,13.79
73,3.03,3.03,3.03,3.03
74,3.03,3.03,3.03,3.03
75,3.03,3.03,3.03,3.03
76,3.03,3.03,3.03,3.03
77,3.03,3.03,3.03,3.03
78,3.03,3.03,3.03,3.03
79,3.03,3.03,3.03,3.03
80,3.03,3.03,3.03,3.03
81,6.99,10.170794,13.79,13.79
82,3.03,3.03,6.99,12.49
83,3.03,3.03,3.03,3.03
84,3.03,3.03,3.03,3.03
85,3.03,3.03,3.03,3.03
86,3.03,3.03,3.03,3.03
87,3.03,3.03,3.03,3.03
88,3.03,3.03,3.03,3.03
89,3.03,3.03,3.03,3.03
90,3.03,3.03,3.03,3.03
91,3.03,3.03,3.03,7.457994
92,3.03,3.03,3.03,5.57
93,3.03,3.03,3.03,3.03
94,3.03,3.03,3.03,3.03
95,3.03,3.03,3.03,3.03
96,3.03,3.03,3.03,3.03
97,3.03,3.03,3.03,3.03
98,3.03,3.03,3.03,3.03
99,3.03,3.03,3.03,3.03
100,3.03,3.03,3.03,3.03
