climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.44,0.44,0.44,0.44
2,0.44,0.44,0.44,0.44
3,0.44,0.44,0.44,0.57
4,0.44,0.44,0.57,0.57
5,0.57,0.57,0.57,0.57
6,0.57,0.57,0.57,0.57
7,0.57,0.57,0.57,0.57
8,0.57,0.57,0.57,0.57
9,0.57,0.57,0.57,0.57
10,0.57,0.57,0.57,0.7
11,0.44,0.44,0.44,0.57
12,0.44,0.57,0.57,0.57
13,0.57,0.57,0.57,0.57
14,0.57,0.57,0.57,0.57
15,0.57,0.57,0.57,0.57
16,0.57,0.57,0.57,0.57
17,0.57,0.57,0.57,0.57
18,0.57,0.57,0.57,0.57
19,0.57,0.57,0.57,0.57
20,0.57,0.57,0.57,0.7
21,0.44,0.44,0.44,0.57
22,0.44,0.57,0.57,0.57
23,0.57,0.57,0.57,0.7
24,0.57,0.57,0.57,0.7
25,0.57,0.57,0.57,0.7
26,0.57,0.57,0.57,0.7
27,0.57,0.57,0.57,0.7
28,0.57,0.57,0.57,0.7
29,0.57,0.57,0.57,0.7
30,0.57,0.57,0.7,0.7
31,0.44,0.44,0.44,0.44
32,0.57,0.57,0.57,0.57
33,0.57,0.57,0.57,0.7
34,0.57,0.57,0.57,0.7
35,0.57,0.57,0.57,0.7
36,0.57,0.57,0.57,0.57
37,0.57,0.57,0.57,0.57
38,0.56,0.57,0.57,0.7
39,0.56,0.57,0.57,0.7
40,0.56,0.7,1.49,1.49
41,0.44,0.44,0.44,0.44
42,0.44,0.44,0.44,0.44
43,0.44,0.44,0.44,0.65
44,0.44,0.57,0.57,0.7
45,0.56,0.57,0.57,0.7
46,0.56,0.57,0.57,0.7
47,0.44,0.57,0.57,0.92
48,0.43,0.43,0.56,0.92
49,0.43,0.43,0.56,1.49
50,0.43,0.44,0.92,1.49
51,0.44,0.44,0.44,0.44
52,0.44,0.44,0.44,0.44
53,0.44,0.44,0.44,0.44
54,0.44,0.44,0.44,0.62
55,0.44,0.44,0.62,0.62
56,0.44,0.44,0.62,0.62
57,0.43,0.43,0.56,0.92
58,0.43,0.43,0.43,0.62
59,0.43,0.43,0.44,0.7
60,0.43,0.44,0.44,1.49
61,0.44,0.44,0.44,0.44
62,0.44,0.44,0.44,0.44
63,0.44,0.44,0.44,0.44
64,0.44,0.44,0.44,0.56
65,0.44,0.62,0.62,0.62
66,0.44,0.62,0.62,0.62
67,0.44,0.56,0.56,0.65
68,0.43,0.43,0.44,0.64
69,0.43,0.43,0.43,0.62
70,0.43,0.43,0.44,0.62
71,0.44,0.44,0.44,0.44
72,0.44,0.44,0.44,0.44
73,0.44,0.44,0.44,0.44
74,0.44,0.44,0.44,0.56
75,0.44,0.44,0.56,0.65
76,0.44,0.44,0.56,0.62
77,0.44,0.44,0.56,0.73
78,0.43,0.43,0.44,0.73
79,0.43,0.43,0.44,0.44
80,0.43,0.43,0.43,0.44
81,0.44,0.44,0.44,0.44
82,0.44,0.44,0.44,0.44
83,0.44,0.44,0.44,0.44
84,0.44,0.44,0.44,0.44
85,0.44,0.44,0.44,0.44
86,0.44,0.44,0.44,0.44
87,0.44,0.44,0.44,0.44
88,0.43,0.43,0.44,0.44
89,0.43,0.43,0.44,0.44
90,0.43,0.44,0.44,0.44
91,0.44,0.44,0.44,0.5
92,0.44,0.44,0.44,0.5
93,0.44,0.44,0.44,0.5
94,0.44,0.44,0.44,0.44
95,0.44,0.44,0.44,0.44
96,0.44,0.44,0.44,0.44
97,0.44,0.44,0.44,0.44
98,0.44,0.44,0.44,0.44
99,0.44,0.44,0.44,0.44
100,0.44,0.44,0.44,0.44
