climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,9.90294,11.875182,16.790001,44.09499
2,9.014342999999998,10.651679,12.531561,34.506824
3,10.093905,11.641276,14.340181,35.313854
4,10.093905,10.147882000000001,11.641276,27.584345000000003
5,10.093905,10.246408,12.123225,26.608282
6,10.165875,11.173467,11.335402,19.046083
7,9.967956,11.173467,11.335402,16.790001
8,9.752044,11.065511,11.335402,16.22909
9,8.924379,11.173467,13.35,20.075326999999998
10,11.139219,13.272065,27.751095,43.104679
11,10.05792,10.651679,16.790001,41.718296
12,8.181461,10.147882000000001,18.737738,35.029911
13,10.05792,10.957555000000001,11.083503,26.608282
14,9.967956,10.957555000000001,10.957555000000001,11.173467
15,9.338212,9.967956,10.957555000000001,20.768279999999997
16,9.284233,10.387777,11.317409,16.18228
17,9.77865,11.065511,11.929160000000001,16.18228
18,8.924379,10.093905,11.317409,22.167841
19,8.924379,9.77865,17.445154000000002,22.167841
20,14.282298999999998,21.639446,35.385578,43.104679
21,9.455100999999999,10.368148,17.895706,40.666664000000004
22,8.06073,10.165875,19.739161,27.026169
23,8.25865,9.572117,17.140455,18.954369
24,9.338212,12.395616,17.925127,20.768279999999997
25,8.834415,10.975149,17.140455,22.167841
26,8.591515,10.387777,12.395616,20.717329
27,9.77865,10.387777,12.395616,19.133089000000002
28,9.77865,11.929160000000001,15.937975,22.167841
29,13.899360999999999,15.937975,18.363319,39.548618
30,15.234829000000001,30.831970000000002,39.244904,43.104679
31,8.25865,10.45,17.569195,38.952503
32,9.572117,17.140455,18.954369,20.003992
33,15.937975,17.140455,18.954369,20.177231
34,7.646897999999999,12.395616,17.140455,20.717329
35,2.1453130000000002,9.077316999999999,14.202867999999999,19.942848
36,3.739947,12.395616,16.347076,19.942848
37,12.395616,14.032773,14.202867999999999,19.7218
38,11.268742,14.032773,14.032773,42.84256
39,14.032773,14.032773,18.363319,45.0172
40,33.227238,39.373154,45.827362,47.733639000000004
41,8.618504,12.31598,37.748428000000004,57.124729
42,6.8192330000000005,7.035146000000001,12.012903999999999,25.435509
43,9.504014999999999,17.02836,20.003992,20.206301
44,13.131769,17.02836,20.003992,38.695816
45,13.139778,14.202867999999999,17.02836,42.84256
46,13.139778,14.202867999999999,14.202867999999999,35.385578
47,13.139778,13.139778,14.411648999999999,36.165672
48,11.268742,14.202867999999999,16.526138,43.104679
49,15.234829000000001,18.006651,43.104679,48.885128
50,14.527579999999999,31.879998999999998,43.327296999999994,50.783379
51,12.2831,25.594351,51.929660999999996,69.313164
52,7.842053,10.418873,20.449120999999998,37.748428000000004
53,6.973863000000001,8.852408,10.358003,21.258793
54,7.207742999999999,9.475391,12.012903999999999,24.517223
55,6.8192330000000005,9.461491,13.705157,30.053514
56,8.126713,12.549314,15.420337,43.419144
57,12.351355,18.248247,43.419144,43.439335
58,10.393754,17.226139,35.534851,45.923306
59,8.206452,11.49,20.231153,44.242218
60,8.206452,10.661659,13.918883,31.879998999999998
61,12.075836,14.24,22.549324,65.07508100000001
62,12.416879,17.444132,23.849512,36.069958
63,11.831078999999999,16.942080999999998,20.685570000000002,28.081245000000003
64,10.615214,18.727592,23.566738,34.989964
65,15.369612,23.830507,30.018932,35.03054
66,11.49,23.576883,27.874392999999998,33.011696
67,10.439162,19.021797,27.198633,33.011696
68,8.968143,10.710328,13.868158,22.459999
69,9.647855999999999,11.352208000000001,14.131927,27.310919000000002
70,9.201477,11.382644,13.563809,31.879998999999998
71,12.593145,16.790001,23.236679000000002,35.027874
72,17.297153,21.060934,26.993928999999998,29.245911
73,17.33132,20.168177,22.400068,27.634867
74,16.891356,18.524694,20.360931,21.639196
75,13.533375,16.873596,20.360931,25.341867
76,11.098583999999999,13.391345000000001,16.505848,22.430504
77,9.110172,11.575397,13.862232999999998,19.031942
78,8.765244000000001,11.930471,12.731923,21.537746
79,8.743003999999999,11.352208000000001,13.303365,19.529045
80,9.871044,12.790146,16.231934,24.82
81,13.050014,19.429192999999998,22.591406,37.294247
82,7.974899000000001,12.187605,21.433992,27.795403000000004
83,11.098583999999999,12.752213000000001,19.82325,21.497168
84,12.752213000000001,15.318888000000001,18.443535,22.521809
85,7.50895,12.15366,14.625126999999999,20.147586999999998
86,7.086236,11.55,17.86166,28.194291999999997
87,7.50895,12.924677,16.495703,21.497168
88,8.055098,12.701488000000001,16.860922,25.646456
89,9.718869999999999,13.159654000000002,15.917439000000002,21.973979999999997
90,10.195683,13.026127,15.552221,19.884119000000002
91,13.704414000000002,15.872964000000001,19.921446,25.625429
92,12.549548,19.921446,21.730736,21.730736
93,12.549548,21.730736,21.730736,21.730736
94,9.431409,21.730736,21.730736,21.730736
95,9.431409,21.730736,21.730736,22.856731
96,9.431409,13.3812,22.856731,22.856731
97,9.431409,21.730736,22.856731,22.856731
98,9.431409,16.816029,22.856731,22.856731
99,9.431409,16.816029,22.856731,22.856731
100,5.711453,9.861668,16.816029,22.856731
