climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,5.56,6.48,9.61,9.61
2,7.14,9.61,9.61,9.61
3,5.56,9.61,9.61,9.61
4,2.000985,9.61,9.61,9.61
5,0.7733869999999999,6.64,9.61,9.61
6,0.5277890000000001,0.77,6.75,9.61
7,0.5277890000000001,0.77,2.835752,9.61
8,0.5277890000000001,0.77,1.3626340000000001,9.61
9,1.3626340000000001,6.64,9.61,9.61
10,5.86,6.64,9.04,13.6
11,6.48,6.48,8.21,9.61
12,8.21,9.61,9.61,9.61
13,9.61,9.61,9.61,9.61
14,7.14,9.61,9.61,9.61
15,6.2,7.14,9.61,9.61
16,6.2,6.75,9.61,9.61
17,6.2,6.75,9.61,9.61
18,6.64,7.14,9.61,17.690001000000002
19,6.64,6.75,9.61,9.61
20,5.86,6.64,9.04,14.22
21,6.48,9.61,9.61,9.61
22,9.61,9.61,9.61,9.61
23,9.61,9.61,9.61,9.61
24,6.44,7.14,9.61,9.61
25,4.63,6.75,9.61,9.61
26,6.64,6.75,9.61,9.61
27,6.75,6.75,9.07195,17.690001000000002
28,6.64,6.75,7.35,17.690001000000002
29,6.64,7.14,7.14,9.61
30,6.64,6.64,9.61,14.22
31,6.48,6.48,6.48,8.21
32,6.48,9.61,9.61,9.61
33,6.48,9.61,9.61,9.61
34,6.48,6.75,9.61,9.61
35,6.75,9.34,9.61,17.690001000000002
36,6.75,7.14,9.61,17.690001000000002
37,6.64,7.14,9.61,17.690001000000002
38,6.64,7.14,9.07195,9.61
39,6.64,7.14,9.07195,9.61
40,7.14,7.14,9.61,14.22
41,6.48,6.48,6.61,9.13
42,6.48,6.48,7.14,9.61
43,6.48,7.14,7.14,9.61
44,7.14,7.14,7.14,9.61
45,7.14,7.14,9.61,9.61
46,7.14,9.13,9.61,9.61
47,7.14,9.61,9.61,9.61
48,7.14,9.61,9.61,9.61
49,7.14,9.44,9.61,9.61
50,7.14,7.14,9.44,9.61
51,6.48,6.61,8.21,9.04
52,6.48,8.21,8.21,9.13
53,6.39,6.48,7.35,12.56
54,7.14,7.14,9.13,9.61
55,7.14,7.14,9.61,9.61
56,7.14,7.35,9.61,9.61
57,7.14,7.14,7.35,9.61
58,7.14,7.14,7.35,9.61
59,7.14,7.14,7.14,7.35
60,7.14,7.14,7.14,9.0
61,8.21,8.21,8.21,8.21
62,8.21,8.21,8.21,8.21
63,8.21,8.21,8.21,9.13
64,6.48,9.13,9.61,12.56
65,9.0,9.61,9.61,9.61
66,7.14,9.0,9.61,9.61
67,7.14,7.14,7.14,7.93
68,7.14,7.14,7.14,7.93
69,7.14,7.14,7.14,7.14
70,7.14,7.14,7.14,7.14
71,6.48,8.21,8.21,8.21
72,6.56,9.13,9.13,12.27
73,6.56,9.13,9.61,12.56
74,8.21,9.13,9.61,12.56
75,7.35,9.61,9.61,12.56
76,7.14,7.35,7.93,9.61
77,7.14,7.14,7.93,7.93
78,7.14,7.93,7.93,7.93
79,7.14,7.14,7.14,7.14
80,7.14,7.14,7.14,7.14
81,6.48,8.21,9.13,12.27
82,9.13,9.13,9.13,12.27
83,6.56,9.13,9.13,12.27
84,9.13,9.13,9.61,12.56
85,8.21,9.13,9.13,12.56
86,9.04,9.13,9.61,9.61
87,7.14,8.21,9.61,9.61
88,7.14,7.93,7.93,8.21
89,7.14,7.14,7.93,7.93
90,7.14,7.14,7.14,7.14
91,6.48,6.56,9.13,12.27
92,6.56,9.13,9.13,9.61
93,6.56,8.21,8.21,9.61
94,6.39,6.56,8.21,8.21
95,3.1,6.39,7.14,7.14
96,3.1,6.56,7.14,7.93
97,3.1,7.14,7.14,7.14
98,6.39,7.14,7.14,7.14
99,7.14,7.14,7.14,7.14
100,6.56,7.14,7.14,7.14
