climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.62,0.62,0.62,0.97
2,0.62,0.97,0.97,0.97
3,0.97,0.97,0.97,0.97
4,0.97,0.97,0.97,0.97
5,0.97,0.97,0.97,0.97
6,0.97,0.97,0.97,0.97
7,0.97,0.97,0.97,0.97
8,0.97,0.97,0.97,0.97
9,0.97,0.97,0.97,0.97
10,0.97,0.97,0.97,0.97
11,0.62,0.62,0.62,0.62
12,0.62,0.62,0.62,0.62
13,0.62,0.62,0.62,0.97
14,0.62,0.97,0.97,0.97
15,0.62,0.97,0.97,0.97
16,0.97,0.97,0.97,0.97
17,0.97,0.97,0.97,0.97
18,0.97,0.97,0.97,0.97
19,0.97,0.97,0.97,0.97
20,0.97,0.97,0.97,0.97
21,0.62,0.97,0.97,0.97
22,0.62,0.97,0.97,0.97
23,0.97,0.97,0.97,0.97
24,0.62,0.62,0.97,0.97
25,0.97,0.97,0.97,0.97
26,0.97,0.97,0.97,0.97
27,0.97,0.97,0.97,0.97
28,0.97,0.97,0.97,0.97
29,0.97,0.97,0.97,0.97
30,0.97,0.97,0.97,0.97
31,0.97,0.97,0.97,0.97
32,0.97,0.97,0.97,0.97
33,0.62,0.62,0.97,0.97
34,0.62,0.62,0.62,0.97
35,0.62,0.62,0.97,0.97
36,0.62,0.97,0.97,0.97
37,0.62,0.97,0.97,0.97
38,0.97,0.97,0.97,0.97
39,0.97,0.97,0.97,0.97
40,0.62,0.97,0.97,0.97
41,0.62,0.97,0.97,0.97
42,0.62,0.62,0.62,0.97
43,0.62,0.62,0.62,0.62
44,0.62,0.62,0.62,0.97
45,0.62,0.62,0.62,0.97
46,0.62,0.62,0.62,0.97
47,0.62,0.62,0.97,0.97
48,0.62,0.62,0.97,0.97
49,0.62,0.97,0.97,0.97
50,0.62,0.97,0.97,0.97
51,0.97,0.97,0.97,0.97
52,0.97,0.97,0.97,0.97
53,0.62,0.62,0.97,0.97
54,0.62,0.62,0.62,0.97
55,0.62,0.62,0.62,0.62
56,0.62,0.62,0.62,0.62
57,0.62,0.62,0.62,0.62
58,0.62,0.62,0.62,0.62
59,0.62,0.97,0.97,0.97
60,0.62,0.97,0.97,0.97
61,0.62,0.97,0.97,0.97
62,0.62,0.62,0.62,0.62
63,0.62,0.62,0.62,0.62
64,0.62,0.62,0.62,0.62
65,0.62,0.62,0.62,0.62
66,0.62,0.62,0.62,0.62
67,0.62,0.62,0.62,0.62
68,0.62,0.62,0.62,0.97
69,0.62,0.62,0.62,0.62
70,0.62,0.62,0.62,0.97
71,0.62,0.62,0.62,0.97
72,0.62,0.62,0.62,0.62
73,0.62,0.62,0.62,0.62
74,0.62,0.62,0.62,0.62
75,0.62,0.62,0.62,0.62
76,0.62,0.62,0.62,0.62
77,0.62,0.62,0.62,0.62
78,0.62,0.62,0.62,0.97
79,0.62,0.62,0.62,0.62
80,0.62,0.62,0.62,0.97
81,0.62,0.62,0.62,0.97
82,0.62,0.62,0.62,0.62
83,0.62,0.62,0.62,0.62
84,0.62,0.62,0.62,0.62
85,0.62,0.62,0.62,0.62
86,0.62,0.62,0.62,0.97
87,0.62,0.62,0.62,0.97
88,0.62,0.62,0.62,0.62
89,0.62,0.62,0.62,0.97
90,0.62,0.62,0.62,0.97
91,0.62,0.62,0.62,0.97
92,0.62,0.62,0.62,0.97
93,0.62,0.62,0.62,0.97
94,0.62,0.62,0.62,0.97
95,0.62,0.62,0.62,0.97
96,0.62,0.62,0.62,0.97
97,0.62,0.62,0.62,0.97
98,0.62,0.62,0.97,0.97
99,0.62,0.97,0.97,0.97
100,0.97,0.97,0.97,0.97
