climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.72,1.72,1.72,1.72
2,1.72,1.72,1.72,1.72
3,1.72,1.72,1.72,1.72
4,1.72,1.72,1.72,1.72
5,1.72,1.72,1.72,1.72
6,1.72,1.72,1.72,1.72
7,1.72,1.72,1.72,1.72
8,1.72,1.72,1.72,1.72
9,1.72,1.72,1.72,1.72
10,1.72,1.72,1.72,1.72
11,1.72,1.72,1.72,1.72
12,1.72,1.72,1.72,1.72
13,1.72,1.72,1.72,1.72
14,1.72,1.72,1.72,1.72
15,1.72,1.72,1.72,1.72
16,1.72,1.72,1.72,1.72
17,1.72,1.72,1.72,1.72
18,1.72,1.72,1.72,1.72
19,1.72,1.72,1.72,1.72
20,1.72,1.72,1.72,1.72
21,1.72,1.72,1.72,1.72
22,1.72,1.72,1.72,1.72
23,1.72,1.72,1.72,1.72
24,1.72,1.72,1.72,1.72
25,1.72,1.72,1.72,1.72
26,1.72,1.72,1.72,1.72
27,1.72,1.72,1.72,1.72
28,1.72,1.72,1.72,1.72
29,1.72,1.72,1.72,1.72
30,1.72,1.72,1.72,1.72
31,1.72,1.72,1.72,1.72
32,1.72,1.72,1.72,1.72
33,1.72,1.72,1.72,1.72
34,1.72,1.72,1.72,1.72
35,1.72,1.72,1.72,1.72
36,1.72,1.72,1.72,1.72
37,1.72,1.72,1.72,1.72
38,1.72,1.72,1.72,1.72
39,1.72,1.72,1.72,1.72
40,1.72,1.72,1.72,1.72
41,1.72,1.72,1.72,1.72
42,1.72,1.72,1.72,1.72
43,1.72,1.72,1.72,1.72
44,1.72,1.72,1.72,1.72
45,1.72,1.72,1.72,1.72
46,1.72,1.72,1.72,1.72
47,1.72,1.72,1.72,1.72
48,1.72,1.72,1.72,1.72
49,1.72,1.72,1.72,1.72
50,1.72,1.72,1.72,1.72
51,1.72,1.72,1.72,1.72
52,1.72,1.72,1.72,1.72
53,1.72,1.72,1.72,1.72
54,1.72,1.72,1.72,1.72
55,1.72,1.72,1.72,1.72
56,1.72,1.72,1.72,1.72
57,1.72,1.72,1.72,1.72
58,1.72,1.72,1.72,1.72
59,1.72,1.72,1.72,1.72
60,1.72,1.72,1.72,1.72
61,1.72,1.72,1.72,1.72
62,1.72,1.72,1.72,1.72
63,1.72,1.72,1.72,1.72
64,1.72,1.72,1.72,1.72
65,1.72,1.72,1.72,1.72
66,1.72,1.72,1.72,1.72
67,1.72,1.72,1.72,1.72
68,1.72,1.72,1.72,1.72
69,1.72,1.72,1.72,1.72
70,1.72,1.72,1.72,1.72
71,1.72,1.72,1.72,1.72
72,1.72,1.72,1.72,1.72
73,1.72,1.72,1.72,1.72
74,1.72,1.72,1.72,1.72
75,1.72,1.72,1.72,1.72
76,1.72,1.72,1.72,1.72
77,1.72,1.72,1.72,1.72
78,1.72,1.72,1.72,1.72
79,1.72,1.72,1.72,1.72
80,1.72,1.72,1.72,1.72
81,1.72,1.72,1.72,1.72
82,1.72,1.72,1.72,1.72
83,1.72,1.72,1.72,1.72
84,1.72,1.72,1.72,1.72
85,1.72,1.72,1.72,1.72
86,1.72,1.72,1.72,1.72
87,1.72,1.72,1.72,1.72
88,1.72,1.72,1.72,1.72
89,1.72,1.72,1.72,1.72
90,1.72,1.72,1.72,1.72
91,1.72,1.72,1.72,1.72
92,1.72,1.72,1.72,2.500004
93,1.72,1.72,1.72,2.500004
94,1.72,1.72,1.72,2.500004
95,1.72,1.72,1.72,2.500004
96,1.72,1.72,1.72,1.72
97,1.72,1.72,1.72,1.72
98,1.72,1.72,1.72,1.72
99,1.72,1.72,1.72,2.97
100,1.72,1.72,1.72,1.72
