climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.2304979999999999,1.2983209999999998,1.385521,1.845028
2,1.278943,1.346766,1.385521,1.404899
3,1.327388,1.385521,1.598678,1.598678
4,1.346766,1.404899,1.598678,1.598678
5,1.346766,1.404899,1.598678,1.744013
6,1.278943,1.346766,1.598678,1.744013
7,1.346766,1.39521,1.744013,1.8699689999999998
8,1.278943,1.39521,1.647123,1.8699689999999998
9,1.278943,1.433966,1.744013,1.8699689999999998
10,1.34,1.375832,1.817235,2.509441
11,1.201431,1.269254,1.317699,1.327388
12,1.2401870000000002,1.2983209999999998,1.317699,1.327388
13,1.2401870000000002,1.2983209999999998,1.327388,1.346766
14,1.2401870000000002,1.327388,1.346766,1.404899
15,1.2304979999999999,1.346766,1.346766,1.598678
16,1.278943,1.3080100000000001,1.346766,1.404899
17,1.249876,1.3080100000000001,1.39521,1.647123
18,1.433966,1.501789,1.540545,1.766657
19,1.414588,1.433966,1.511478,1.7343240000000002
20,1.39,2.019135,2.929375,3.222312
21,1.152986,1.201431,1.278943,1.421757
22,1.2304979999999999,1.298668,1.415665,1.556062
23,1.474164,1.5209629999999998,1.556062,1.766657
24,1.4727219999999999,1.540545,1.7343240000000002,1.766657
25,1.415665,1.540545,1.7343240000000002,2.3064310000000003
26,2.167866,3.039726,3.5058,3.5058
27,1.464243,2.167866,3.039726,3.5058
28,1.756837,2.466469,3.039726,3.5058
29,2.5135389999999997,2.930663,3.222312,3.656994
30,2.930663,3.135605,3.354607,3.656994
31,0.911661,1.041898,1.439065,3.136547
32,1.410903,2.3535009999999996,3.146716,3.562498
33,2.061093,2.384979,3.3640559999999997,3.562498
34,2.061093,2.588851,3.135605,3.5058
35,2.061093,2.930663,3.135605,3.5006760000000003
36,2.929375,3.135605,3.371022,3.5006760000000003
37,2.772615,3.135605,3.371022,3.490703
38,3.091765,3.135605,3.371022,3.4308620000000003
39,3.111712,3.111712,3.1656150000000003,3.439653
40,2.930663,3.127816,3.1656150000000003,3.4018550000000003
41,1.060418,1.0984450000000001,1.291519,1.8558810000000001
42,1.0984450000000001,1.276325,1.649672,2.214033
43,1.0984450000000001,1.638128,2.279152,3.5006760000000003
44,1.565869,2.409389,3.091765,3.16158
45,1.565869,2.452801,3.091765,3.16158
46,1.5628469999999999,2.603067,3.031925,3.16158
47,1.495755,2.094649,3.031925,3.16158
48,1.486875,2.094649,2.767541,3.031925
49,1.16,1.649672,2.441948,2.6629080000000003
50,0.987632,1.161282,1.410903,1.823321
51,0.8024100000000001,0.8024100000000001,1.0984450000000001,1.355528
52,1.004961,1.495755,1.495755,2.1380619999999997
53,1.367491,1.7039369999999998,1.975265,2.6698630000000003
54,1.345785,1.660525,2.083796,3.299343
55,1.40005,1.910146,2.094649,2.333417
56,1.74735,2.051237,2.257446,2.821807
57,1.617112,1.942706,2.303571,2.886926
58,1.454316,1.649672,1.953559,2.333417
59,1.107017,1.334932,1.476022,2.040384
60,0.987632,1.172135,1.40005,1.877587
61,1.004961,1.355528,1.495755,1.495755
62,1.495755,1.495755,1.495755,3.3427559999999996
63,1.693084,1.9644119999999998,2.311711,2.51792
64,1.486875,1.6388189999999998,1.74735,2.2465919999999997
65,1.454316,1.6388189999999998,1.758203,2.3008580000000003
66,1.410903,1.508581,1.7039369999999998,2.2465919999999997
67,1.1504290000000001,1.367491,1.519434,2.257446
68,1.08531,1.313226,1.454316,2.083796
69,1.1178700000000001,1.3023719999999999,1.584553,2.290005
70,0.8682479999999999,1.1504290000000001,1.5628469999999999,2.637304
71,0.817991,1.096223,1.357093,1.7294669999999999
72,0.763458,0.941536,1.127882,1.495755
73,0.727158,0.88269,1.5628469999999999,1.779909
74,0.694599,1.161282,1.454316,1.910146
75,0.578653,0.696345,1.029806,1.4977280000000002
76,0.662039,0.987632,1.324079,1.5628469999999999
77,0.685554,0.8356889999999999,1.356638,1.758203
78,0.694599,0.8356889999999999,1.182988,1.617112
79,0.7054520000000001,0.8356889999999999,1.08531,1.389197
80,0.727158,0.8682479999999999,1.074457,1.356638
81,1.0592290000000002,1.0592290000000002,1.0592290000000002,1.231647
82,1.0592290000000002,1.225959,1.294613,1.422112
83,0.912114,1.225959,1.422112,1.608458
84,1.225959,1.3338430000000001,1.4024969999999999,1.608458
85,0.941536,1.3338430000000001,1.471151,1.608458
86,0.941536,0.941536,1.0788440000000001,1.471151
87,0.941536,0.990575,1.0788440000000001,1.157305
88,0.804229,0.990575,1.0592290000000002,1.186728
89,0.519807,0.6374989999999999,0.804229,1.147498
90,0.559037,0.6571140000000001,0.784614,0.853267
91,0.823844,1.01019,1.0592290000000002,1.231647
92,1.01019,1.088652,1.088652,1.157305
93,0.814037,1.0788440000000001,1.088652,1.1671129999999998
94,0.686537,1.0788440000000001,1.0788440000000001,1.1769209999999999
95,1.029806,1.0592290000000002,1.1769209999999999,1.186728
96,0.97096,1.0592290000000002,1.118075,1.186728
97,0.97096,1.0592290000000002,1.0592290000000002,1.186728
98,0.676729,0.804229,0.97096,1.186728
99,0.686537,0.784614,0.823844,1.000383
100,0.71596,0.798791,0.823844,0.961152
