climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.3430600000000001,2.37,6.11,8.0
2,1.317956,3.602413,4.66,8.0
3,1.317956,3.602413,6.11,7.506074000000001
4,1.732171,3.6651730000000002,4.117044,7.506074000000001
5,1.07,1.4047290000000001,3.6651730000000002,7.506074000000001
6,1.079469,1.581547,3.978972,7.506074000000001
7,1.581547,2.096178,4.380635,9.075069000000001
8,2.79345,3.978972,4.380635,7.506074000000001
9,4.66,4.89,5.799007,7.506074000000001
10,4.66,4.89,4.89,5.06
11,3.288614,8.0,8.0,8.409815
12,3.288614,4.117044,8.409815,8.409815
13,1.3430600000000001,3.489446,5.033338,8.409815
14,0.8676729999999999,3.338822,3.6651730000000002,7.506074000000001
15,0.8676729999999999,3.6651730000000002,6.388949,9.075069000000001
16,2.668388,3.828349,4.66933,9.075069000000001
17,3.828349,4.66933,5.06,9.075069000000001
18,3.04,3.978972,5.06,9.075069000000001
19,3.33,4.89,5.06,7.506074000000001
20,4.66,4.89,4.89,5.41
21,8.0,8.409815,8.409815,9.501836
22,3.33,3.33,5.033338,8.409815
23,0.8676729999999999,3.33,3.4,6.388949
24,0.8676729999999999,3.33,4.66,7.506074000000001
25,2.485289,3.33,3.828349,6.388949
26,1.13,3.33,3.4,5.06
27,3.33,3.33,3.4,6.11
28,0.8676729999999999,3.33,3.4,5.06
29,3.33,5.06,5.06,5.41
30,4.66,4.89,5.06,5.41
31,5.033338,7.945392999999999,8.409815,9.501836
32,0.8676729999999999,3.33,3.33,7.945392999999999
33,2.485289,3.33,3.33,7.945392999999999
34,2.485289,3.33,3.33,7.945392999999999
35,2.485289,3.33,3.33,7.945392999999999
36,3.33,3.33,3.4,5.06
37,3.33,3.33,3.4,5.06
38,3.33,3.4,3.4,5.06
39,3.33,5.06,5.06,5.41
40,4.66,4.89,5.06,8.0
41,7.945392999999999,8.0,13.882470999999999,13.882470999999999
42,2.485289,3.33,3.4,7.945392999999999
43,2.485289,3.33,3.33,5.06
44,3.33,3.33,3.33,5.06
45,3.33,3.33,3.4,5.06
46,3.33,3.33,3.4,5.06
47,3.33,3.33,3.4,5.06
48,3.33,3.4,5.06,5.43
49,3.33,5.06,5.06,8.0
50,4.89,5.06,5.06,8.0
51,8.0,13.882470999999999,15.263186,15.263186
52,3.33,3.4,5.06,15.263186
53,1.7322650000000002,3.33,3.4,5.41
54,3.33,3.4,5.06,5.799007
55,3.75,5.41,5.41,8.0
56,4.89,5.06,5.41,8.0
57,4.89,5.06,5.43,8.0
58,4.89,5.06,5.41,8.0
59,4.66,4.89,4.89,8.0
60,4.66,4.66,4.66,4.66
61,3.4,13.882470999999999,15.263186,15.263186
62,3.4,4.200724,8.0,15.263186
63,3.4,3.4,5.799007,15.263186
64,3.4,5.41,6.77,15.263186
65,4.89,5.799007,6.77,8.0
66,4.89,5.41,6.77,6.77
67,4.89,5.06,5.43,6.77
68,4.89,4.89,5.06,8.0
69,4.89,4.89,5.41,8.0
70,4.66,4.66,4.89,8.0
71,3.4,5.799007,7.506074000000001,15.263186
72,3.75,5.799007,15.263186,15.263186
73,6.77,6.77,6.77,15.263186
74,4.89,6.77,12.072973,15.263186
75,4.89,6.77,15.263186,15.263186
76,3.04,4.89,15.263186,15.263186
77,4.89,4.89,5.43,6.77
78,4.89,4.89,4.89,6.77
79,4.89,4.89,4.89,6.77
80,4.89,4.89,8.0,8.0
81,2.836744,3.4,7.506074000000001,8.0
82,4.89,4.89,6.77,15.263186
83,4.89,4.89,6.77,15.263186
84,4.89,4.89,15.263186,15.263186
85,4.89,4.89,8.334503,15.263186
86,4.0,4.89,4.89,15.263186
87,1.40582,4.89,4.89,5.43
88,4.89,4.89,4.89,5.43
89,4.89,4.89,4.89,6.77
90,4.89,4.89,8.0,8.0
91,7.506074000000001,7.506074000000001,7.506074000000001,7.506074000000001
92,3.4,4.0,7.506074000000001,8.0
93,3.04,3.487692,4.89,15.263186
94,3.04,4.89,4.89,8.0
95,4.89,4.89,4.89,4.89
96,4.89,4.89,4.89,4.89
97,1.40582,4.89,4.89,5.43
98,4.89,4.89,4.89,8.0
99,3.82,5.43,5.43,8.18
100,8.0,8.0,8.0,8.0
