climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,5.37,5.37,5.37,16.77
2,5.37,5.37,5.37,7.83
3,5.37,5.37,7.83,7.83
4,7.83,7.83,7.83,7.83
5,7.83,7.83,7.83,7.83
6,7.83,7.83,7.83,7.83
7,7.83,7.83,7.83,7.83
8,7.83,7.83,7.83,7.83
9,7.83,7.83,7.83,13.85
10,7.83,7.83,7.83,15.26
11,3.53,7.83,7.83,16.77
12,5.37,7.83,7.83,7.83
13,7.83,7.83,7.83,7.83
14,7.83,7.83,7.83,7.83
15,7.83,7.83,7.83,7.83
16,7.83,7.83,7.83,7.83
17,7.83,7.83,7.83,7.83
18,7.83,7.83,7.83,7.83
19,7.83,7.83,7.83,7.83
20,7.83,7.83,7.83,10.63
21,7.73,8.51,8.51,16.77
22,7.73,7.83,7.83,7.83
23,7.83,7.83,7.83,7.83
24,7.83,7.83,7.83,7.83
25,7.83,7.83,7.83,7.83
26,7.83,7.83,7.83,7.83
27,7.83,7.83,7.83,7.83
28,7.83,7.83,7.83,7.83
29,7.83,7.83,7.83,7.83
30,5.25,7.83,7.83,7.83
31,7.73,8.51,8.51,16.77
32,7.73,7.73,7.83,8.51
33,7.83,7.83,7.83,7.83
34,7.83,7.83,7.83,7.83
35,7.83,7.83,7.83,7.83
36,7.83,7.83,7.83,7.83
37,7.83,7.83,7.83,7.83
38,7.83,7.83,7.83,7.83
39,7.83,7.83,7.83,7.83
40,4.81,7.83,7.83,7.83
41,8.51,8.51,8.51,16.77
42,7.73,7.83,8.51,16.77
43,7.83,7.83,7.83,8.51
44,6.91,7.83,7.83,7.83
45,7.83,7.83,7.83,7.83
46,7.83,7.83,7.83,7.83
47,7.83,7.83,7.83,7.83
48,7.83,7.83,7.83,7.83
49,7.58,7.83,7.83,7.83
50,4.11,4.81,5.37,18.66
51,5.37,7.83,8.51,16.77
52,7.83,8.51,8.51,16.77
53,7.83,7.83,7.83,8.51
54,7.83,7.83,7.83,7.83
55,7.83,7.83,7.83,7.83
56,7.83,7.83,7.83,7.83
57,7.83,7.83,7.83,7.83
58,7.58,7.83,7.83,7.83
59,1.91,4.68,7.58,10.63
60,4.67,5.25,5.37,17.68
61,7.83,7.83,16.77,16.77
62,7.83,7.83,7.83,16.77
63,7.83,7.83,7.83,7.83
64,7.83,7.83,7.83,7.83
65,3.53,7.58,7.83,16.77
66,3.53,4.81,7.83,7.83
67,3.53,4.81,7.58,7.83
68,1.91,4.11,4.81,7.99
69,4.11,4.81,7.99,10.63
70,4.81,5.25,5.37,14.69
71,7.83,16.77,16.77,16.77
72,7.83,7.83,7.83,7.83
73,7.83,7.83,7.83,7.83
74,2.46,7.83,7.83,7.83
75,3.53,7.83,7.83,7.83
76,3.53,5.25,7.83,7.99
77,3.53,4.11,5.37,7.99
78,1.91,4.11,5.5,8.57
79,4.67,5.25,5.37,14.69
80,4.67,5.25,5.25,14.69
81,7.83,7.83,16.77,16.77
82,2.46,7.57,7.83,7.83
83,2.46,7.58,7.83,7.83
84,3.16,5.37,7.83,17.68
85,4.11,6.2,10.63,14.69
86,5.25,6.2,8.57,14.69
87,5.25,5.25,6.2,14.69
88,5.25,5.25,5.5,14.69
89,5.25,5.25,5.37,14.69
90,5.25,5.25,5.5,14.69
91,7.83,16.77,16.77,16.77
92,2.46,7.83,7.83,7.83
93,2.46,2.46,7.83,7.83
94,7.83,7.83,7.83,12.68
95,6.2,6.2,12.18,17.68
96,4.67,5.25,6.2,12.68
97,5.25,5.25,5.5,14.69
98,5.25,5.25,5.25,10.63
99,5.25,5.25,5.25,10.63
100,5.25,5.25,5.25,10.63
