climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.169234,2.0071849999999998,2.4187689999999997,3.107324
2,0.317795,0.317795,2.136285,3.107324
3,0.317795,1.8318,2.524701,3.107324
4,0.317795,0.317795,2.295182,3.072014
5,0.317795,0.317795,0.317795,2.524701
6,0.317795,0.317795,1.6772490000000002,2.11
7,1.712559,1.8538009999999998,2.048009,3.266221
8,1.8538009999999998,2.048009,2.048009,2.5600110000000003
9,1.712559,2.048009,2.048009,2.4011139999999997
10,1.712559,2.048009,2.166932,3.5847330000000004
11,0.317795,1.287131,2.136285,2.4187689999999997
12,0.317795,0.317795,2.250775,2.312838
13,0.317795,0.86,3.8841550000000002,3.972431
14,0.317795,0.317795,3.266221,3.972431
15,0.317795,0.317795,0.317795,3.972431
16,0.317795,0.317795,0.317795,3.972431
17,0.317795,0.317795,2.048009,3.266221
18,1.902316,1.9773880000000001,2.330493,2.5600110000000003
19,1.56797,1.902316,2.166932,2.4011139999999997
20,1.902316,2.061587,2.377442,5.36613
21,0.317795,0.317795,1.72,3.301532
22,0.317795,0.317795,2.312838,3.972431
23,0.317795,0.317795,2.5600110000000003,3.972431
24,0.317795,0.317795,2.5600110000000003,3.972431
25,0.317795,0.317795,0.317795,3.972431
26,0.317795,0.317795,0.317795,2.5600110000000003
27,1.56797,2.300712,2.5600110000000003,3.8311889999999997
28,1.56797,2.065664,2.4011139999999997,3.9547760000000003
29,1.56797,1.902316,1.902316,3.9547760000000003
30,1.902316,2.211074,5.36613,5.59
31,0.317795,0.317795,1.72,3.301532
32,0.317795,0.317795,0.317795,1.72
33,0.317795,0.317795,0.317795,3.8841550000000002
34,0.317795,0.317795,3.5487050000000004,3.972431
35,0.317795,0.317795,3.53105,3.972431
36,0.317795,2.4011139999999997,2.665943,3.972431
37,0.317795,2.22167,2.45408,3.9547760000000003
38,1.56797,1.56797,2.4011139999999997,3.9547760000000003
39,1.902316,2.155958,3.8311889999999997,5.048729
40,2.155958,2.211074,4.7815,6.3085260000000005
41,0.317795,0.317795,1.72,3.301532
42,0.317795,0.317795,0.317795,3.301532
43,0.317795,0.317795,3.53105,3.5487050000000004
44,2.665943,2.665943,3.5487050000000004,4.025397
45,2.082193,2.440848,3.5487050000000004,5.61182
46,2.22167,2.45408,3.9547760000000003,5.61182
47,1.948433,2.086783,2.771874,5.048729
48,1.948433,1.987556,2.22167,4.617738
49,1.948447,2.155958,2.231632,5.048729
50,2.231632,3.6760309999999996,5.8695059999999994,6.451683999999999
51,0.878343,2.665943,3.301532,3.5487050000000004
52,2.082193,2.082193,2.665943,3.601671
53,2.082193,2.082193,2.440848,3.601671
54,2.082193,2.301371,2.663242,5.61182
55,1.9880740000000001,2.231632,3.9511800000000004,5.61182
56,1.9880740000000001,2.052196,2.231632,5.61182
57,1.948433,2.052195,2.440848,5.61182
58,1.856268,2.052195,2.231632,5.61182
59,1.856268,2.22167,2.500624,6.213087000000001
60,2.231632,4.6669730000000005,6.213087000000001,6.462308999999999
61,2.082193,2.301371,3.301532,3.53105
62,2.082193,2.082193,2.301371,3.601671
63,2.082193,2.082193,2.5205490000000004,3.601671
64,2.082193,2.086783,2.5205490000000004,2.663242
65,2.082193,2.082193,2.5205490000000004,4.025397
66,2.082193,2.132006,3.9511800000000004,4.113673
67,1.955122,2.082193,2.500624,5.993576999999999
68,1.740907,1.948433,2.440848,6.213087000000001
69,1.6585590000000001,1.9770900000000002,2.231632,6.213087000000001
70,2.075945,2.500624,5.468661,6.499404
71,3.124979,3.301532,3.53105,3.53105
72,2.082193,2.5205490000000004,2.5205490000000004,6.136735
73,2.440848,2.5205490000000004,2.5205490000000004,4.113673
74,2.132006,2.5205490000000004,2.5205490000000004,6.136735
75,2.132006,2.5205490000000004,3.9511800000000004,5.993576999999999
76,2.132006,2.5205490000000004,3.9511800000000004,6.136735
77,2.132006,2.132006,2.500624,6.136735
78,1.955122,1.955122,2.181819,5.048729
79,1.6585590000000001,1.724462,2.231632,5.8695059999999994
80,2.287471,3.148066,5.649996,6.499404
81,1.72,3.124979,3.301532,3.301532
82,2.5205490000000004,2.895461,4.113673,6.136735
83,2.132006,2.5205490000000004,2.5205490000000004,5.411398
84,2.132006,2.132006,2.5205490000000004,3.9511800000000004
85,2.132006,2.5205490000000004,3.9511800000000004,4.396157
86,2.132006,2.500624,3.9511800000000004,5.411398
87,2.132006,2.5205490000000004,3.9511800000000004,3.9511800000000004
88,1.955122,2.132006,3.9511800000000004,5.048729
89,1.724462,1.955122,2.440848,5.373222
90,2.3871860000000003,2.440848,3.710593,6.27035
91,1.511127,1.72,2.37058,3.124979
92,1.6622400000000002,1.72,2.37058,3.124979
93,1.6622400000000002,1.72,1.765525,3.124979
94,1.31806,1.675902,1.72,3.124979
95,1.31806,1.72,2.132006,3.9511800000000004
96,1.6497110000000001,1.844746,3.9511800000000004,3.9511800000000004
97,1.6599580000000003,1.72,2.12338,3.9511800000000004
98,1.72,1.8351380000000002,3.710593,5.029642
99,1.627792,1.72,3.6760309999999996,5.029642
100,1.19,1.72,2.446666,5.1384300000000005
