climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,15.2,15.2,15.2,15.2
2,15.2,15.2,15.2,15.2
3,15.2,15.2,15.2,29.559998999999998
4,15.2,15.2,15.2,29.559998999999998
5,15.2,15.2,15.2,29.559998999999998
6,15.2,15.2,15.2,29.559998999999998
7,15.2,15.2,15.2,29.559998999999998
8,15.2,15.2,15.2,15.2
9,15.2,15.2,15.2,36.16
10,15.2,15.2,36.16,36.16
11,15.2,15.2,15.2,29.23
12,15.2,15.2,15.2,15.2
13,15.2,15.2,15.2,15.2
14,36.16,36.16,36.16,36.16
15,36.16,36.16,36.16,36.16
16,36.16,36.16,36.16,36.16
17,36.16,36.16,36.16,36.16
18,15.2,36.16,36.16,36.16
19,15.2,36.16,36.16,36.16
20,36.16,36.16,36.16,36.16
21,36.16,36.16,36.16,36.16
22,36.16,36.16,36.16,36.16
23,36.16,36.16,36.16,36.16
24,36.16,36.16,36.16,36.16
25,36.16,36.16,36.16,36.16
26,36.16,36.16,36.16,36.16
27,36.16,36.16,36.16,36.16
28,36.16,36.16,36.16,36.16
29,36.16,36.16,36.16,36.16
30,36.16,36.16,36.16,36.16
31,36.16,36.16,36.16,36.16
32,36.16,36.16,36.16,36.16
33,36.16,36.16,36.16,36.16
34,36.16,36.16,36.16,36.16
35,36.16,36.16,36.16,36.16
36,36.16,36.16,36.16,36.16
37,36.16,36.16,36.16,36.16
38,36.16,36.16,36.16,36.16
39,36.16,36.16,36.16,36.16
40,36.16,36.16,36.16,36.16
41,36.16,36.16,36.16,36.16
42,36.16,36.16,36.16,36.16
43,36.16,36.16,36.16,36.16
44,36.16,36.16,36.16,36.16
45,36.16,36.16,36.16,36.16
46,36.16,36.16,36.16,36.16
47,36.16,36.16,36.16,36.16
48,36.16,36.16,36.16,36.16
49,36.16,36.16,36.16,36.16
50,36.16,36.16,36.16,36.16
51,36.16,36.16,36.16,36.16
52,36.16,36.16,36.16,36.16
53,36.16,36.16,36.16,36.16
54,36.16,36.16,36.16,36.16
55,36.16,36.16,36.16,36.16
56,36.16,36.16,36.16,36.16
57,36.16,36.16,36.16,36.16
58,36.16,36.16,36.16,36.16
59,36.16,36.16,36.16,36.16
60,36.16,36.16,36.16,36.16
61,36.16,36.16,36.16,36.16
62,36.16,36.16,36.16,36.16
63,36.16,36.16,36.16,36.16
64,36.16,36.16,36.16,36.16
65,36.16,36.16,36.16,36.16
66,36.16,36.16,36.16,36.16
67,36.16,36.16,36.16,36.16
68,36.16,36.16,36.16,36.16
69,36.16,36.16,36.16,36.16
70,36.16,36.16,36.16,36.16
71,29.23,29.23,36.16,36.16
72,36.16,36.16,36.16,36.16
73,36.16,36.16,36.16,36.16
74,36.16,36.16,36.16,36.16
75,36.16,36.16,36.16,36.16
76,36.16,36.16,36.16,36.16
77,36.16,36.16,36.16,36.16
78,36.16,36.16,36.16,36.16
79,36.16,36.16,36.16,36.16
80,36.16,36.16,36.16,36.16
81,29.23,29.23,36.16,36.16
82,36.16,36.16,36.16,36.16
83,36.16,36.16,36.16,36.16
84,36.16,36.16,36.16,36.16
85,36.16,36.16,36.16,36.16
86,36.16,36.16,36.16,36.16
87,36.16,36.16,36.16,36.16
88,36.16,36.16,36.16,36.16
89,36.16,36.16,36.16,36.16
90,36.16,36.16,36.16,36.16
91,29.23,29.23,29.23,41.173615000000005
92,29.23,29.23,29.23,29.23
93,29.23,29.23,29.23,29.23
94,29.23,29.23,29.23,29.23
95,29.23,29.23,29.23,29.23
96,29.23,29.23,29.23,29.23
97,29.23,29.23,29.85087,36.16
98,29.23,36.16,36.16,36.16
99,29.23,36.16,36.16,36.16
100,29.23,36.16,36.16,36.16
