climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.61,0.61,0.66,0.789274
2,0.47,0.66,0.8548309999999999,1.262022
3,0.62,1.057078,1.272808,1.4885389999999998
4,0.7011229999999999,0.992359,1.1541569999999999,1.63955
5,0.71191,1.0247190000000002,1.283595,1.553258
6,0.71191,0.9276399999999999,1.121797,1.553258
7,0.8629209999999999,1.067865,1.17573,2.326291
8,0.819775,1.067865,1.1541569999999999,1.9199990000000002
9,0.55,0.67955,1.121797,1.833707
10,0.57,0.57,0.8629209999999999,1.499325
11,0.16755699999999998,0.45,0.503689,0.66
12,0.39,0.47,0.55,2.944718
13,0.39,0.585133,1.380673,1.973932
14,0.61,1.164943,1.445393,1.9523580000000003
15,0.39,0.692707,1.035505,1.542471
16,0.298523,0.45624499999999996,0.841348,1.218876
17,0.298523,0.585133,0.89528,1.682696
18,0.29,0.503689,0.668764,1.046292
19,0.361005,0.585133,0.668764,1.046292
20,0.33,0.45962200000000003,0.64185,0.884494
21,0.16,0.4,0.48397299999999993,0.66
22,0.16755699999999998,0.22787800000000002,0.45,0.595102
23,0.307469,0.396735,0.55,0.712083
24,0.201069,0.39,0.48126899999999995,0.615359
25,0.274794,0.48126899999999995,0.48126899999999995,0.61
26,0.348746,0.48126899999999995,0.48126899999999995,0.535592
27,0.41152,0.48126899999999995,0.48126899999999995,0.61
28,0.34825,0.469161,0.519366,0.949213
29,0.29736999999999997,0.437371,0.585133,0.8309850000000001
30,0.33,0.41,0.525674,0.758037
31,0.16,0.16,0.512442,0.57
32,0.16,0.16755699999999998,0.257878,0.505837
33,0.16,0.22787800000000002,0.436408,0.712083
34,0.16,0.297551,0.45962200000000003,0.7914329999999999
35,0.158694,0.257878,0.39,0.61
36,0.158694,0.218204,0.361004,0.722696
37,0.158694,0.33,0.469161,0.722696
38,0.274794,0.39,0.48824399999999996,0.9175459999999999
39,0.33,0.45962200000000003,0.750799,1.159917
40,0.41,0.43370699999999995,0.551372,0.950818
41,0.039673,0.128939,0.357061,0.5266770000000001
42,0.089265,0.22787800000000002,0.436408,0.505837
43,0.16,0.228123,0.505837,0.614939
44,0.13885699999999998,0.22787800000000002,0.45962200000000003,0.7637149999999999
45,0.218204,0.33,0.45962200000000003,0.7914329999999999
46,0.247959,0.33,0.49591899999999994,0.7914329999999999
47,0.274794,0.361005,0.469161,0.7914329999999999
48,0.274794,0.469161,0.48824399999999996,0.527451
49,0.274794,0.274794,0.5,1.07
50,0.33,0.72,0.784008,0.950818
51,0.128939,0.16,0.16,0.4
52,0.039673,0.16,0.42649,0.55
53,0.16861199999999998,0.45962200000000003,0.505837,0.614939
54,0.218204,0.33,0.45962200000000003,0.7914329999999999
55,0.33,0.33,0.42649,0.7914329999999999
56,0.247959,0.33,0.469161,0.7914329999999999
57,0.274794,0.349438,0.469161,0.6203890000000001
58,0.274794,0.274794,0.595102,0.8628979999999999
59,0.386816,0.605021,0.872817,1.021592
60,0.33,0.348697,0.605021,0.932327
61,0.16,0.16,0.16,0.512442
62,0.16,0.22787800000000002,0.47608199999999995,0.55
63,0.16,0.33,0.47608199999999995,0.714123
64,0.218204,0.33,0.33,0.644694
65,0.218204,0.33,0.361005,0.61
66,0.274794,0.274794,0.46884499999999996,0.7618729999999999
67,0.274794,0.45962200000000003,0.8628979999999999,0.8628979999999999
68,0.33,0.33,0.348697,0.806501
69,0.33,0.33,0.33,0.33
70,0.33,0.33,0.33,0.33
71,0.16,0.16,0.16,0.512442
72,0.16,0.16,0.22787800000000002,0.486
73,0.16,0.16,0.49591899999999994,0.55
74,0.16,0.16,0.42649,0.55
75,0.16,0.218204,0.42649,0.7914329999999999
76,0.218204,0.285929,0.42649,0.54551
77,0.218204,0.33,0.469161,0.713166
78,0.257878,0.274794,0.407677,0.6203890000000001
79,0.33,0.33,0.535592,0.6203890000000001
80,0.33,0.33,0.33,0.46285699999999996
81,0.16,0.16,0.35,0.55
82,0.16,0.16,0.22787800000000002,0.486
83,0.16,0.16,0.16,0.486
84,0.16,0.16,0.22787800000000002,0.55
85,0.16,0.16,0.16861199999999998,0.54551
86,0.16,0.16,0.274794,0.680266
87,0.16,0.218204,0.42649,0.54551
88,0.16,0.16,0.469161,0.52068
89,0.16,0.247959,0.407677,0.6203890000000001
90,0.40934,0.475629,0.6,0.6203890000000001
91,0.16,0.16,0.16,0.789274
92,0.16,0.16,0.16,0.4
93,0.16,0.16,0.369969,0.55
94,0.16,0.16,0.42649,0.55
95,0.16,0.16,0.208286,0.45962200000000003
96,0.16,0.16,0.178531,0.714123
97,0.16,0.16,0.228123,0.45962200000000003
98,0.16,0.228123,0.396735,0.505837
99,0.16,0.347143,0.44632700000000003,0.47608199999999995
100,0.357061,0.44632700000000003,0.475629,0.6203890000000001
