climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.84,0.84,0.88,0.88
2,0.84,0.84,0.84,0.88
3,0.84,0.84,0.88,3.5
4,0.751013,0.84,0.88,3.5
5,0.71,0.84,0.94,3.5
6,0.71,0.84,0.88,3.5
7,0.5,0.84,0.94,3.5
8,0.5,0.84,1.072876,3.5
9,0.5,0.84,1.24,3.5
10,0.5,0.94,1.21,3.5
11,0.84,0.88,0.9119450000000001,0.94
12,0.751013,0.9119450000000001,0.9119450000000001,0.94
13,0.71,0.751013,0.907653,1.072876
14,0.751013,0.751013,0.898534,0.94
15,0.751013,0.751013,0.885123,0.94
16,0.5,0.751013,0.84,1.15
17,0.5,0.5,0.751013,1.21
18,0.5,0.5,0.751013,1.21
19,0.5,0.5,0.94,1.21
20,0.54,0.84,0.94,1.24
21,0.858301,0.9119450000000001,0.9119450000000001,0.9119450000000001
22,0.858301,0.9119450000000001,0.9119450000000001,0.9119450000000001
23,0.751013,0.751013,0.84,0.9119450000000001
24,0.751013,0.858301,0.9119450000000001,1.072876
25,0.858301,0.901216,0.901216,1.072876
26,0.751013,0.858301,0.9119450000000001,0.94
27,0.751013,0.901216,0.9119450000000001,1.24
28,0.5,0.5,0.5,1.21
29,0.5,0.71,0.858301,1.21
30,0.54,0.84,0.94,1.24
31,0.858301,0.858301,0.9119450000000001,0.9119450000000001
32,0.751013,0.858301,0.9119450000000001,0.9119450000000001
33,0.858301,0.858301,0.890487,0.9119450000000001
34,0.751013,0.890487,0.9655889999999999,0.9655889999999999
35,0.901216,0.9655889999999999,0.9655889999999999,0.9655889999999999
36,0.858301,0.9655889999999999,0.9655889999999999,0.9655889999999999
37,0.84,0.94,1.072876,1.072876
38,0.5,0.858301,0.9119450000000001,1.21
39,0.5,0.5,0.84,1.21
40,0.54,0.751013,0.84,1.21
41,0.901216,0.901216,0.901216,0.9119450000000001
42,0.858301,0.901216,0.9119450000000001,0.9119450000000001
43,0.890487,0.9119450000000001,0.9119450000000001,0.9119450000000001
44,0.751013,0.84,0.890487,0.9119450000000001
45,0.94,0.9655889999999999,0.9655889999999999,0.9655889999999999
46,0.9655889999999999,0.9655889999999999,0.9655889999999999,0.9655889999999999
47,0.94,0.9655889999999999,0.9655889999999999,1.072876
48,0.84,0.94,1.072876,1.072876
49,0.5,0.5,0.858301,1.21
50,0.54,0.751013,0.84,1.21
51,0.9119450000000001,0.9119450000000001,0.9119450000000001,0.9119450000000001
52,0.9119450000000001,0.9119450000000001,0.9119450000000001,0.9655889999999999
53,0.9441309999999999,0.9655889999999999,0.9655889999999999,0.9655889999999999
54,0.94,0.94,0.9655889999999999,0.9655889999999999
55,0.9655889999999999,0.9655889999999999,0.9655889999999999,0.9655889999999999
56,0.9655889999999999,0.9655889999999999,0.9655889999999999,0.9655889999999999
57,0.94,0.9655889999999999,0.9655889999999999,1.0371139999999999
58,0.84,0.858301,0.94,1.072876
59,0.5,0.858301,0.9119450000000001,1.21
60,0.5,0.54,0.84,1.21
61,0.9119450000000001,0.9119450000000001,0.9119450000000001,0.9119450000000001
62,0.9119450000000001,0.9119450000000001,0.9119450000000001,0.9119450000000001
63,0.8749899999999999,0.9119450000000001,0.9119450000000001,0.94
64,0.94,0.9655889999999999,0.9655889999999999,0.9655889999999999
65,0.94,0.9655889999999999,0.9655889999999999,0.9655889999999999
66,0.858301,0.9655889999999999,0.9655889999999999,1.072876
67,0.84,0.901216,1.072876,1.072876
68,0.751013,0.858301,0.896618,1.072876
69,0.5,0.5,0.858301,0.9655889999999999
70,0.5,0.54,0.84,1.21
71,0.9119450000000001,0.9119450000000001,0.9119450000000001,0.9119450000000001
72,0.9119450000000001,0.9119450000000001,0.94,0.9655889999999999
73,0.94,0.9655889999999999,0.9655889999999999,0.9655889999999999
74,0.858301,0.901216,0.9655889999999999,1.072876
75,0.751013,0.901216,0.94,1.072876
76,0.901216,0.901216,0.901216,0.9655889999999999
77,0.901216,0.901216,0.901216,1.072876
78,0.5,0.858301,0.901216,1.21
79,0.5,0.5,0.84,1.21
80,0.54,0.54,0.84,1.21
81,0.8475719999999999,0.9119450000000001,0.94,0.94
82,0.643726,0.643726,0.8475719999999999,0.94
83,0.643726,0.643726,0.84,0.94
84,0.643726,0.84,0.94,1.3625530000000001
85,0.643726,0.84,1.072876,1.3625530000000001
86,0.5,0.54,0.84,1.24
87,0.5,0.84,0.84,1.24
88,0.48,0.54,0.84,1.21
89,0.48,0.54,1.21,1.21
90,0.54,0.54,0.84,1.21
91,0.94,0.94,0.94,0.94
92,0.94,0.94,0.94,0.94
93,0.643726,0.643726,0.94,0.94
94,0.643726,0.84,1.24,1.3625530000000001
95,0.5,0.71,1.24,1.3625530000000001
96,0.54,0.84,1.21,1.24
97,0.54,0.84,1.24,1.24
98,0.84,0.84,1.24,1.24
99,0.84,1.21,1.24,1.24
100,0.84,0.84,1.21,1.24
