climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.02553,2.43912,3.806376,4.449707
2,2.40177,3.1178310000000002,3.8177529999999997,4.449707
3,2.948153,3.5738410000000003,3.860172,4.28
4,3.064807,3.552631,3.945011,4.28
5,3.372348,3.807148,4.1280410000000005,4.561737
6,3.3713370000000005,3.945011,4.2737620000000005,4.634327
7,3.764728,4.2737620000000005,4.475255000000001,4.804005999999999
8,4.104083999999999,4.379811,4.561737,4.804005999999999
9,4.135899,4.570698,4.90695,6.07659
10,1.878543,4.7509809999999995,5.3766680000000004,6.140219
11,0.569272,0.725226,1.8346419999999999,3.540885
12,1.111564,2.0452779999999997,2.7495119999999997,4.570698
13,1.998723,2.7495119999999997,3.3087190000000004,7.230524000000001
14,1.998723,2.7495119999999997,5.546028,7.003953999999999
15,1.998723,4.104083999999999,4.90695,6.540964
16,1.998723,4.178319,4.561737,6.137079
17,1.40044,4.44344,4.90695,5.44752
18,1.40044,3.4674989999999997,4.44344,4.90695
19,1.082598,1.8805209999999999,3.969893,4.90695
20,0.8958889999999999,1.212461,1.8805209999999999,4.496464
21,0.569272,0.8431190000000001,1.0559379999999998,3.191675
22,0.647045,1.6450919999999998,2.492265,3.6798889999999997
23,1.6450919999999998,1.6746439999999998,2.492265,3.3788410000000004
24,1.6746439999999998,1.6746439999999998,2.886299,3.4253730000000004
25,0.8431190000000001,1.6746439999999998,2.610475,2.886299
26,0.709896,0.977849,1.73375,3.388692
27,0.656849,0.966208,1.40044,2.522452
28,0.8431190000000001,1.2023709999999999,1.40044,2.522452
29,0.8559040000000001,1.245313,1.410391,2.350651
30,0.8431190000000001,0.8958889999999999,1.567101,2.4142080000000004
31,0.372541,0.599233,0.78,1.176445
32,0.2647,0.372541,0.8431190000000001,1.176445
33,0.2647,0.647045,1.048997,1.176445
34,0.647045,0.784297,0.966191,1.113146
35,0.68626,0.852923,0.966191,1.73375
36,0.627437,0.966191,1.106765,1.73375
37,0.7941010000000001,1.073546,1.159429,2.3248
38,0.852923,1.084281,1.245313,2.3248
39,0.966191,1.245313,1.245313,2.462712
40,0.880307,1.2023709999999999,1.245313,3.861533
41,0.364779,0.569272,0.78,1.176445
42,0.364779,0.382345,0.813708,1.2254639999999999
43,0.41175600000000007,0.784297,1.073546,1.2254639999999999
44,0.666938,0.852923,0.8725299999999999,1.1272229999999999
45,0.656849,0.8431190000000001,1.073546,1.1272229999999999
46,0.68626,1.02939,1.084281,1.411734
47,0.774493,1.073546,1.1568379999999998,1.411734
48,0.8235120000000001,1.084281,1.284286,1.284286
49,0.8431190000000001,1.084281,1.159429,1.4411459999999998
50,0.880307,1.1272229999999999,1.2023709999999999,1.9103869999999998
51,0.364779,0.599233,0.966191,1.0559379999999998
52,0.364779,0.8823340000000001,1.073546,1.1272229999999999
53,0.382345,0.852923,1.073546,1.159429
54,0.43513599999999997,0.852923,1.073546,1.159429
55,0.627437,0.778101,1.073546,1.159429
56,0.68626,1.073546,1.073546,1.411734
57,0.774493,1.019586,1.1568379999999998,1.499968
58,1.019586,1.159429,1.284286,2.2
59,0.820567,1.019586,1.1998520000000001,1.499968
60,0.7705489999999999,1.041339,1.2023709999999999,1.9103869999999998
61,0.364779,0.94,0.966191,1.0559379999999998
62,0.188202,0.188202,0.966191,1.073546
63,0.364779,0.710358,1.073546,1.073546
64,0.710358,0.8725299999999999,1.073546,1.159429
65,0.382345,0.852923,1.073546,1.159429
66,0.539204,0.7941010000000001,1.382323,1.548986
67,0.710358,0.8431190000000001,1.019586,1.548986
68,1.019586,1.159429,1.313697,1.499968
69,0.759785,1.108218,1.2023709999999999,1.411734
70,0.880307,1.1272229999999999,1.29409,2.2
71,0.173146,0.203258,0.48794,1.0559379999999998
72,0.173146,0.188202,0.364779,1.0559379999999998
73,0.19573,0.710358,0.710358,1.073546
74,0.554847,0.710358,0.8208260000000001,1.159429
75,0.710358,0.710358,0.8823340000000001,1.159429
76,0.710358,0.7941010000000001,0.970534,1.499968
77,0.7175590000000001,0.7941010000000001,1.382323,1.548986
78,0.7941010000000001,1.113276,1.1998520000000001,1.499968
79,0.804146,1.117623,1.2023709999999999,1.313697
80,1.041339,1.2023709999999999,1.297009,2.2
81,0.135506,0.203258,0.364779,0.94
82,0.173146,0.19573,0.710358,0.710358
83,0.19573,0.346292,0.710358,0.8003060000000001
84,0.620808,0.710358,1.159429,1.159429
85,0.536914,0.710358,0.862727,1.159429
86,0.539204,0.710358,0.8725299999999999,1.159429
87,0.539204,0.728255,1.026721,1.159429
88,0.728255,0.8823340000000001,1.074475,1.159429
89,0.745082,0.9670280000000001,1.159429,1.2023709999999999
90,0.7156710000000001,0.9358290000000001,1.2023709999999999,1.947259
91,0.49917100000000003,0.710358,0.9951,1.28674
92,0.49639300000000003,0.710358,0.710358,0.710358
93,0.271011,0.49917100000000003,0.710358,0.710358
94,0.30112300000000003,0.49917100000000003,0.536914,0.94395
95,0.398988,0.49917100000000003,0.668562,1.159429
96,0.49917100000000003,0.536914,0.94395,1.159429
97,0.49917100000000003,0.49917100000000003,0.8357030000000001,1.159429
98,0.49917100000000003,0.49917100000000003,0.710358,1.159429
99,0.49917100000000003,0.49917100000000003,0.8357030000000001,1.159429
100,0.539204,0.8357030000000001,1.13723,1.159429
