climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.620504,0.9589610000000001,2.95,6.76
2,0.620504,1.720489,2.95,8.27
3,1.579466,1.960229,2.95,8.27
4,1.720489,1.960229,3.5679,8.27
5,0.747426,1.889718,4.13,5.4
6,0.802904,2.087151,4.13,4.315325
7,1.001268,2.087151,4.13,4.315325
8,0.802904,1.889718,2.21,4.315325
9,2.087151,2.21,3.5679,7.27
10,2.89,2.92,4.26,7.27
11,1.5653629999999998,2.3974029999999997,4.005073,8.27
12,1.649977,2.3974029999999997,4.005073,4.13
13,1.649977,4.13,4.13,4.26
14,2.2140720000000003,4.13,4.13,4.315325
15,0.747426,1.680121,4.13,4.315325
16,0.802904,1.819206,2.2140720000000003,4.26
17,2.21,2.2140720000000003,4.13,6.66
18,2.21,2.95,4.13,7.27
19,2.16,4.13,4.26,7.27
20,1.94,2.89,7.27,7.46
21,4.005073,4.005073,4.13,8.27
22,4.13,4.13,4.13,4.13
23,4.13,4.13,4.13,7.27
24,3.779435,4.13,4.26,7.27
25,1.94,4.13,4.13,6.66
26,2.21,4.13,4.13,7.27
27,4.13,4.13,6.66,7.27
28,4.13,4.13,6.66,7.27
29,7.27,7.46,7.46,7.46
30,7.27,7.46,7.46,7.46
31,3.779435,4.13,4.26,8.27
32,4.13,4.13,4.13,4.13
33,4.13,4.13,4.13,4.13
34,4.13,4.13,4.13,7.27
35,4.13,4.13,4.26,7.27
36,2.21,4.13,6.66,7.27
37,4.13,6.66,6.66,7.27
38,4.13,4.26,7.27,7.27
39,7.46,7.46,7.46,7.46
40,7.27,7.46,7.46,7.46
41,3.779435,4.13,6.614012,8.27
42,4.13,4.13,4.13,6.66
43,4.13,4.13,4.13,6.66
44,4.13,4.13,4.13,7.27
45,4.13,4.13,4.26,7.27
46,4.13,4.13,6.66,7.27
47,4.13,4.13,6.66,7.27
48,4.13,6.66,7.27,7.27
49,7.46,7.46,7.46,7.46
50,6.76,7.46,7.46,7.46
51,6.614012,6.66,7.46,8.27
52,3.779435,6.66,7.262721000000001,7.27
53,3.38,4.13,6.707462,7.27
54,1.289395,4.13,6.66,7.27
55,4.13,4.13,6.66,7.27
56,3.16,3.38,6.66,7.27
57,3.16,3.16,6.06,7.27
58,2.89,4.13,6.06,7.27
59,4.13,7.27,7.46,7.46
60,2.92,6.76,7.46,7.46
61,6.614012,7.262721000000001,7.46,8.27
62,6.66,6.66,7.262721000000001,8.27
63,2.749962,6.66,6.66,7.46
64,2.749962,3.16,6.66,7.262721000000001
65,3.16,3.16,6.707462,7.262721000000001
66,3.16,3.97,3.97,7.27
67,2.89,3.97,3.97,6.06
68,2.75,3.68,3.97,7.27
69,2.89,2.89,3.97,7.27
70,2.89,7.46,7.46,7.46
71,5.71,6.66,8.27,8.27
72,2.749962,6.66,7.262721000000001,8.27
73,2.749962,3.16,6.707462,7.262721000000001
74,3.97,3.97,3.97,7.262721000000001
75,3.97,3.97,3.97,7.262721000000001
76,3.97,3.97,3.97,7.262721000000001
77,2.75,3.97,7.262721000000001,7.262721000000001
78,2.749962,2.89,3.38,3.97
79,2.89,2.89,2.89,3.97
80,2.89,2.92,3.43,7.46
81,3.5679,5.71,8.27,8.27
82,1.3538270000000001,3.5679,6.66,8.27
83,2.89,3.97,3.97,7.262721000000001
84,2.89,2.89,3.97,7.262721000000001
85,2.89,2.89,7.262721000000001,7.262721000000001
86,2.89,2.89,7.262721000000001,7.262721000000001
87,0.6628109999999999,2.89,2.89,7.262721000000001
88,0.6628109999999999,2.89,2.89,3.97
89,2.89,2.89,2.89,3.97
90,2.89,2.89,3.43,7.46
91,3.69,5.71,5.71,7.46
92,3.5679,3.5679,5.71,8.27
93,3.6866410000000003,5.71,6.66,8.27
94,3.38,5.71,8.27,8.27
95,2.75,2.89,8.27,8.27
96,2.75,2.89,3.6866410000000003,8.27
97,2.89,2.89,5.23,8.27
98,2.89,2.89,8.27,8.27
99,2.89,2.89,8.27,8.27
100,2.89,3.68,5.23,8.27
