climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.94,1.1335879999999998,1.527462,2.046223
2,1.4418790000000001,1.89366,2.08465,2.987678
3,1.816239,2.117273,2.247721,2.4304900000000003
4,2.05583,2.157411,2.26779,2.622624
5,1.936653,2.207583,2.40167,2.68987
6,2.016928,2.26779,2.538721,2.824364
7,1.815663,2.137342,2.408273,2.824364
8,2.37285,2.6491,2.8698580000000002,3.150824
9,2.377595,2.639066,3.040444,3.200996
10,2.346034,2.377595,2.377595,2.819449
11,1.037521,1.527462,2.147377,2.588893
12,2.137342,2.428342,2.518652,2.6691689999999997
13,2.6189970000000002,2.719341,2.8698580000000002,3.12072
14,2.749445,2.8698580000000002,2.9702029999999997,3.2913059999999996
15,2.899962,2.990272,3.0605130000000003,3.241134
16,2.9702029999999997,3.070548,3.150824,3.241134
17,2.438376,2.960169,3.130754,3.231099
18,2.438376,3.050479,3.251168,3.451858
19,2.568824,2.82972,3.251168,3.451858
20,2.217618,2.438376,2.799617,3.110686
21,1.402575,1.916584,2.157411,3.140789
22,2.297894,2.478514,2.889927,3.2913059999999996
23,2.518652,2.859824,3.110686,3.21103
24,2.849789,3.03041,3.090617,3.170892
25,2.578859,2.849789,3.140789,3.381616
26,2.538721,3.03041,3.21103,3.381616
27,2.6189970000000002,2.950134,3.200996,3.401685
28,2.548755,2.819686,3.100651,3.180927
29,2.659135,2.849789,3.130754,3.3314440000000003
30,2.227652,2.709307,3.090944,3.3214089999999996
31,1.709989,2.584197,2.990272,3.3013410000000003
32,2.3681349999999997,2.5086169999999997,2.6491,2.990272
33,2.057066,2.498583,2.689238,3.5020300000000004
34,2.4885490000000003,3.03041,3.200996,3.2712369999999997
35,2.899962,3.100651,3.2712369999999997,3.381616
36,2.779548,2.9401,3.160858,3.2712369999999997
37,2.418307,2.779548,3.050479,3.2712369999999997
38,2.398238,2.578859,2.899962,3.261203
39,2.3781689999999998,2.598927,2.82972,3.0605130000000003
40,1.6657220000000001,2.08717,2.438376,3.0605130000000003
41,1.546676,1.813741,2.052627,2.859824
42,1.866411,2.338276,2.6098939999999997,3.371939
43,1.936653,2.564984,2.6098939999999997,2.6130169999999997
44,1.956722,2.4885490000000003,2.6098939999999997,2.82972
45,2.207583,2.498583,2.6098939999999997,2.689238
46,1.7359630000000001,2.047032,2.147377,2.6098939999999997
47,1.7359630000000001,1.9466869999999998,2.197549,2.5086169999999997
48,1.685791,2.17748,2.338031,2.5086169999999997
49,2.107239,2.167446,2.317962,2.438376
50,1.7359630000000001,2.26779,2.338031,2.46848
51,1.902123,2.338276,2.338276,2.6098939999999997
52,2.11347,2.338276,2.338276,2.6098939999999997
53,2.2959970000000003,2.338276,2.338276,2.503609
54,2.338276,2.338276,2.503609,2.503609
55,2.503609,2.503609,2.503609,2.6098939999999997
56,2.6098939999999997,2.6098939999999997,2.6098939999999997,2.6098939999999997
57,1.7292020000000001,2.34403,2.6098939999999997,2.6098939999999997
58,1.725929,1.986825,2.147377,2.247721
59,1.9466869999999998,1.976791,2.1875150000000003,2.3581
60,1.623529,1.986825,2.430171,2.880202
61,2.338276,2.338276,2.338276,2.338276
62,2.338276,2.338276,2.338276,2.503609
63,2.503609,2.503609,2.503609,2.503609
64,2.125706,2.125706,2.503609,2.503609
65,1.412182,2.125706,2.125706,2.6514439999999997
66,1.489035,2.0269630000000003,2.227652,2.659135
67,1.8764459999999998,2.107239,2.398238,2.8081970000000003
68,1.7292020000000001,1.9667560000000002,2.430171,3.0422130000000003
69,1.9789759999999998,2.673187,2.754193,3.0422130000000003
70,2.520177,2.700189,2.880202,3.015211
71,2.46,2.503609,2.503609,2.503609
72,2.1615029999999997,2.430171,2.56068,2.8081970000000003
73,2.070145,2.412169,2.583181,2.799196
74,1.926618,2.4841740000000003,2.718191,3.114218
75,2.1615029999999997,2.5921819999999998,2.718191,3.018144
76,2.430171,2.700189,2.844199,3.114218
77,2.5265009999999997,2.676725,2.817198,2.970208
78,2.1850810000000003,2.700189,2.895233,3.015211
79,2.160151,2.268159,2.700189,2.970208
80,2.160151,2.322163,2.57418,2.970208
81,1.1630280000000002,1.6429150000000001,1.9083689999999998,2.125706
82,1.257692,1.782125,2.268159,2.700189
83,1.782125,2.331163,2.56518,2.8081970000000003
84,2.340164,2.430171,2.5921819999999998,2.8081970000000003
85,2.2501580000000003,2.430171,2.538178,2.718191
86,2.412169,2.700189,2.700189,2.880202
87,2.322163,2.700189,2.700189,2.880202
88,2.036616,2.646186,2.70919,2.8622009999999998
89,2.340164,2.56518,2.691189,2.880202
90,2.5291770000000002,2.583181,2.5921819999999998,2.700189
91,0.607708,0.952457,1.047773,2.252712
92,0.649619,0.9115620000000001,0.995384,1.257327
93,0.733441,0.9115620000000001,0.9534729999999999,1.24685
94,0.733441,0.9115620000000001,1.026817,1.257327
95,0.733441,0.9115620000000001,1.1630280000000002,1.9083689999999998
96,0.9115620000000001,1.037295,1.1630280000000002,2.331163
97,0.754396,1.005862,1.330671,2.124149
98,0.9115620000000001,1.005862,1.163497,2.178153
99,0.98,1.9083689999999998,2.340164,2.8081970000000003
100,2.754193,2.754193,2.8081970000000003,3.1322200000000002
