climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.09,1.09,1.09,4.18
2,1.09,1.09,1.3,4.18
3,1.09,1.09,1.3,3.03
4,1.09,1.09,1.3,3.03
5,1.09,1.3,1.3,3.03
6,0.96,1.3,1.3,3.03
7,1.3,1.3,1.3,3.03
8,1.3,1.3,1.3,1.3
9,1.3,1.3,1.3,3.03
10,1.3,1.3,1.3,1.3
11,1.3,1.3,1.3,4.18
12,1.3,1.3,1.3,1.3
13,1.3,1.3,1.3,1.3
14,1.3,1.3,1.3,1.3
15,1.3,1.3,1.3,1.3
16,1.3,1.3,1.3,1.3
17,1.3,1.3,1.3,1.3
18,1.3,1.3,1.3,1.3
19,1.3,1.3,1.3,2.0
20,1.3,1.3,1.3,2.0
21,1.3,1.3,1.3,4.18
22,1.3,1.3,1.3,1.3
23,1.3,1.3,1.3,1.3
24,1.3,1.3,1.3,1.3
25,1.3,1.3,1.3,1.3
26,1.3,1.3,1.3,1.3
27,1.3,1.3,1.3,1.3
28,1.3,1.3,1.3,1.3
29,1.3,1.3,1.3,1.3
30,1.3,1.3,2.0,2.0
31,1.3,1.3,1.3,1.3
32,1.3,1.3,1.3,1.3
33,1.3,1.3,1.3,1.3
34,1.3,1.3,1.3,1.3
35,1.3,1.3,1.3,1.3
36,1.3,1.3,1.3,1.3
37,1.3,1.3,1.3,1.3
38,1.3,1.3,1.3,1.3
39,1.3,1.3,1.3,1.3
40,1.3,1.3,2.0,2.0
41,1.3,1.3,1.3,4.18
42,1.3,1.3,1.3,1.3
43,1.3,1.3,1.3,1.3
44,1.3,1.3,1.3,1.3
45,1.3,1.3,1.3,1.3
46,1.3,1.3,1.3,1.3
47,1.3,1.3,1.3,1.3
48,1.3,1.3,1.3,1.3
49,1.3,1.3,1.3,1.3
50,1.3,2.0,2.0,2.0
51,1.3,1.3,1.3,1.3
52,1.3,1.3,1.3,1.3
53,1.3,1.3,1.3,1.3
54,1.3,1.3,1.3,1.3
55,1.3,1.3,1.3,1.3
56,1.3,1.3,1.3,1.3
57,1.3,1.3,1.3,1.3
58,1.3,1.3,1.3,1.3
59,1.3,1.3,1.3,1.3
60,1.3,1.5,2.0,2.0
61,1.3,1.3,1.3,1.3
62,1.3,1.3,1.3,1.3
63,1.3,1.3,1.3,1.3
64,1.3,1.3,1.3,1.3
65,1.3,1.3,1.3,1.3
66,1.3,1.3,1.3,1.3
67,1.3,1.3,1.3,1.3
68,1.3,1.3,1.3,1.3
69,1.3,1.3,1.3,1.3
70,1.3,1.3,1.3,2.0
71,1.3,1.3,1.3,4.18
72,1.3,1.3,1.3,1.3
73,1.3,1.3,1.3,1.3
74,1.3,1.3,1.3,1.3
75,1.3,1.3,1.3,1.3
76,1.3,1.3,1.3,1.3
77,1.3,1.3,1.3,1.3
78,1.3,1.3,1.3,1.3
79,1.3,1.3,1.3,1.3
80,1.3,1.3,1.3,1.3
81,1.3,1.3,1.3,4.18
82,1.3,1.3,1.3,1.3
83,1.3,1.3,1.3,1.3
84,1.3,1.3,1.3,1.3
85,1.3,1.3,1.3,1.3
86,1.3,1.3,1.3,1.3
87,1.3,1.3,1.3,1.3
88,1.3,1.3,1.3,1.3
89,1.3,1.3,1.3,1.3
90,1.3,1.3,1.3,1.3
91,1.3,1.3,1.59,1.86
92,1.3,1.3,1.3,1.33
93,1.3,1.3,1.3,1.3
94,1.3,1.3,1.3,1.3
95,1.3,1.3,1.3,1.3
96,1.3,1.3,1.3,1.3
97,1.3,1.3,1.3,1.3
98,1.3,1.3,1.3,1.3
99,1.3,1.3,1.3,1.3
100,1.3,1.3,1.3,1.33
