climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,14.33,14.33,14.33,14.33
2,14.33,14.33,14.33,14.33
3,14.33,14.33,14.33,14.33
4,14.33,14.33,14.33,14.33
5,14.33,14.33,14.33,16.440001000000002
6,14.33,14.33,14.33,16.440001000000002
7,14.33,14.33,14.33,16.440001000000002
8,14.33,14.33,16.440001000000002,22.780001000000002
9,13.06,14.33,18.280001000000002,22.780001000000002
10,12.73,12.73,14.33,16.440001000000002
11,9.63,14.33,14.33,17.09
12,9.63,14.33,14.33,17.85
13,14.33,14.33,14.33,17.709999
14,14.33,14.33,14.33,14.33
15,14.33,14.33,14.33,18.24
16,14.33,14.33,14.33,18.24
17,14.33,14.33,17.09,18.280001000000002
18,14.33,14.33,18.24,18.280001000000002
19,14.33,14.33,15.92,17.09
20,12.73,14.33,15.92,15.92
21,14.33,14.33,14.33,17.09
22,14.33,14.33,14.33,14.33
23,14.33,14.33,14.33,14.33
24,14.33,14.33,14.33,14.33
25,14.33,14.33,14.33,14.33
26,14.33,14.33,14.33,14.33
27,14.33,14.33,14.33,18.24
28,13.06,14.33,14.33,18.24
29,14.33,14.33,15.92,17.09
30,12.73,14.33,15.92,15.92
31,14.33,17.09,17.09,17.85
32,14.33,14.33,14.33,14.33
33,14.33,14.33,14.33,14.33
34,14.33,14.33,14.33,14.33
35,14.33,14.33,14.33,14.33
36,14.33,14.33,14.33,14.33
37,14.33,14.33,14.33,14.33
38,14.33,14.33,14.33,14.33
39,14.33,14.33,14.33,14.33
40,12.73,14.33,14.33,15.92
41,14.33,14.33,17.09,17.85
42,14.33,14.33,14.33,14.33
43,14.33,14.33,14.33,14.33
44,14.33,14.33,14.33,14.33
45,14.33,14.33,14.33,14.33
46,14.33,14.33,14.33,14.33
47,14.33,14.33,14.33,14.33
48,14.33,14.33,14.33,14.33
49,14.33,14.33,14.33,14.33
50,12.73,14.33,14.33,14.33
51,10.768137,14.33,14.33,17.85
52,14.33,14.33,14.33,14.33
53,14.33,14.33,14.33,14.33
54,14.33,14.33,14.33,14.33
55,14.33,14.33,14.33,14.33
56,14.33,14.33,14.33,14.33
57,14.33,14.33,14.33,14.33
58,14.33,14.33,14.33,14.33
59,14.33,14.33,14.33,14.33
60,14.33,14.33,14.33,14.33
61,11.76,14.33,14.33,17.85
62,14.33,14.33,14.33,14.33
63,14.33,14.33,14.33,14.33
64,14.33,14.33,14.33,14.33
65,14.33,14.33,14.33,14.33
66,14.33,14.33,14.33,14.33
67,14.33,14.33,14.33,14.33
68,14.33,14.33,14.33,14.33
69,14.33,14.33,14.33,14.33
70,14.33,14.33,14.33,14.33
71,11.76,14.33,14.33,17.85
72,14.33,14.33,14.33,14.33
73,14.33,14.33,14.33,14.33
74,14.33,14.33,14.33,14.33
75,14.33,14.33,14.33,14.33
76,14.33,14.33,14.33,14.33
77,14.33,14.33,14.33,14.33
78,14.33,14.33,14.33,14.33
79,14.33,14.33,14.33,14.33
80,14.33,14.33,14.33,14.33
81,14.33,14.33,14.33,17.09
82,14.33,14.33,14.33,14.33
83,14.33,14.33,14.33,14.33
84,14.33,14.33,14.33,14.33
85,14.33,14.33,14.33,14.33
86,14.33,14.33,14.33,14.33
87,14.33,14.33,14.33,14.33
88,14.33,14.33,14.33,14.33
89,14.33,14.33,14.33,14.33
90,14.33,14.33,14.33,14.33
91,14.33,14.33,14.33,14.33
92,14.33,14.33,14.33,14.33
93,14.33,14.33,14.33,14.33
94,14.33,14.33,14.33,14.33
95,7.58,14.33,14.33,14.33
96,2.38,14.33,14.33,14.33
97,2.38,2.38,4.78,14.33
98,2.38,2.38,2.38,4.78
99,2.38,2.38,2.38,4.78
100,2.38,2.38,2.38,2.38
