climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,5.06,5.06,5.06,5.06
2,5.06,5.06,5.06,8.18
3,4.27,5.06,8.18,15.84
4,5.31,5.31,5.31,15.84
5,5.31,5.31,5.31,8.18
6,5.31,5.31,5.31,5.31
7,5.31,5.31,5.31,15.84
8,5.31,5.31,5.31,15.84
9,5.31,5.31,5.31,8.18
10,4.41,4.41,5.31,8.18
11,5.06,5.06,5.06,5.06
12,5.06,5.06,5.06,5.06
13,5.06,5.06,5.06,5.06
14,5.06,5.06,5.06,5.06
15,5.06,5.06,5.06,5.06
16,4.27,5.06,5.06,5.06
17,4.27,5.06,5.06,8.18
18,4.27,5.06,5.06,8.18
19,4.27,5.06,8.18,8.18
20,4.27,5.31,8.18,10.22
21,5.06,5.06,5.06,5.06
22,5.06,5.06,5.06,5.06
23,5.06,5.06,5.06,5.06
24,5.06,5.06,5.06,5.06
25,5.06,5.06,5.06,5.06
26,5.06,5.06,5.06,5.06
27,5.06,5.06,5.06,5.06
28,5.06,5.06,5.06,5.06
29,4.27,5.06,5.06,8.18
30,4.27,4.41,8.18,10.22
31,5.06,5.06,5.06,5.06
32,5.06,5.06,5.06,5.06
33,5.06,5.06,5.06,15.84
34,5.06,5.06,5.06,5.06
35,5.06,5.06,5.06,5.06
36,5.06,5.06,5.06,5.06
37,5.06,5.06,5.06,5.06
38,4.27,5.06,5.06,8.18
39,4.27,5.06,8.18,8.18
40,4.0,5.06,8.18,10.22
41,5.06,5.06,5.06,5.06
42,5.06,5.06,5.06,5.06
43,5.06,5.06,5.06,5.06
44,5.06,5.06,5.06,8.18
45,5.06,5.06,5.06,8.18
46,5.06,5.06,8.18,8.18
47,4.27,5.06,8.18,8.18
48,2.3,4.27,8.18,8.18
49,4.27,4.27,8.18,10.22
50,4.0,4.41,8.18,10.22
51,5.06,5.06,5.06,5.06
52,5.06,5.06,5.06,5.06
53,5.06,5.06,5.06,5.06
54,5.06,5.06,5.06,5.06
55,2.3,5.06,5.06,5.06
56,2.3,4.0,5.06,8.18
57,4.0,5.06,8.18,8.18
58,4.0,8.18,8.18,8.18
59,5.06,8.18,8.18,8.18
60,4.41,8.18,8.18,8.18
61,5.06,5.06,5.06,5.06
62,5.06,5.06,5.06,5.06
63,5.06,5.06,5.06,5.06
64,2.3,5.06,5.06,5.17
65,2.66,2.66,4.27,5.17
66,2.66,2.66,4.27,5.06
67,2.66,5.06,8.18,8.18
68,8.18,8.18,8.18,8.18
69,8.18,8.18,8.18,8.18
70,5.06,8.18,8.18,8.18
71,5.06,5.06,5.06,5.06
72,5.06,5.06,5.06,5.06
73,5.06,5.06,5.06,5.06
74,5.06,5.06,5.06,5.17
75,2.3,5.06,5.06,5.17
76,2.66,2.66,5.06,5.17
77,2.3,2.66,5.06,5.17
78,2.3,5.06,8.18,8.18
79,8.18,8.18,8.18,8.18
80,8.18,8.18,8.18,8.18
81,5.06,5.06,5.06,7.78
82,5.06,5.06,5.06,5.06
83,5.06,5.06,5.06,5.06
84,5.06,5.06,5.06,5.06
85,5.06,5.06,5.06,5.06
86,5.06,5.06,5.06,5.06
87,5.06,5.06,5.06,5.17
88,2.3,4.27,4.27,8.18
89,8.18,8.18,8.18,8.18
90,7.92,8.18,8.18,8.18
91,5.06,5.06,5.06,5.06
92,5.06,5.06,5.06,5.06
93,5.06,5.06,5.06,5.06
94,5.06,5.06,5.06,5.06
95,5.06,5.06,5.06,5.06
96,5.06,5.06,5.06,5.06
97,5.06,5.06,5.06,5.06
98,5.06,5.06,5.06,8.18
99,6.6,7.92,8.18,8.18
100,7.92,8.18,8.18,8.18
