climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,2.89,7.27,7.84,10.52
2,7.84,7.84,7.84,7.84
3,7.84,7.84,7.84,7.84
4,7.84,7.84,7.84,7.84
5,7.84,7.84,7.84,7.84
6,7.84,7.84,7.84,7.84
7,7.84,7.84,7.84,7.84
8,7.84,7.84,7.84,7.84
9,7.84,7.84,7.84,10.52
10,7.84,7.84,7.84,10.52
11,7.84,7.84,7.84,7.84
12,7.84,7.84,7.84,7.84
13,7.84,7.84,7.84,7.84
14,7.84,7.84,7.84,7.84
15,7.84,7.84,7.84,7.84
16,7.84,7.84,7.84,7.84
17,7.84,7.84,7.84,7.84
18,7.84,7.84,7.84,7.84
19,7.84,7.84,7.84,7.84
20,7.84,7.84,7.84,7.84
21,7.84,7.84,7.84,10.52
22,7.84,7.84,7.84,7.84
23,7.84,7.84,7.84,7.84
24,7.84,7.84,7.84,7.84
25,7.84,7.84,7.84,7.84
26,7.84,7.84,7.84,7.84
27,7.84,7.84,7.84,7.84
28,7.84,7.84,7.84,7.84
29,7.84,7.84,7.84,10.52
30,7.84,7.84,7.84,10.52
31,7.27,7.84,10.52,10.52
32,10.52,10.52,10.52,10.52
33,10.52,10.52,10.52,10.52
34,10.52,10.52,10.52,10.52
35,7.84,10.52,10.52,10.52
36,7.84,7.84,7.84,10.52
37,7.84,7.84,7.84,10.52
38,7.84,7.84,7.84,7.84
39,7.84,7.84,7.84,10.52
40,7.84,7.84,7.84,10.52
41,7.27,7.84,7.84,10.52
42,10.52,10.52,10.52,10.52
43,10.52,10.52,10.52,10.52
44,10.52,10.52,10.52,10.52
45,10.52,10.52,10.52,10.52
46,10.52,10.52,10.52,10.52
47,7.84,7.84,10.52,10.52
48,7.84,7.84,7.84,10.52
49,7.84,7.84,7.84,10.52
50,7.84,7.84,7.84,7.84
51,7.27,10.52,10.52,10.52
52,10.52,10.52,10.52,10.52
53,10.52,10.52,10.52,10.52
54,10.52,10.52,10.52,10.52
55,7.84,7.84,7.84,7.84
56,7.84,7.84,7.84,7.84
57,7.84,7.84,7.84,7.84
58,7.84,7.84,7.84,7.84
59,7.84,7.84,7.84,7.84
60,7.84,7.84,7.84,7.84
61,7.27,7.27,10.52,12.85
62,10.52,10.52,10.52,10.52
63,10.52,10.52,10.52,10.52
64,10.52,10.52,10.52,10.52
65,10.52,10.52,10.52,10.52
66,7.84,7.84,7.84,10.52
67,7.84,7.84,7.84,7.84
68,7.84,7.84,7.84,7.84
69,7.84,7.84,7.84,7.84
70,7.84,7.84,7.84,7.84
71,5.0,7.84,7.84,8.58
72,7.84,7.84,7.84,7.84
73,7.27,7.84,8.58,12.85
74,7.27,8.58,10.52,10.52
75,7.27,8.58,10.52,12.85
76,7.84,8.58,8.58,12.85
77,7.84,7.84,7.84,7.84
78,7.84,7.84,7.84,7.84
79,7.84,7.84,7.84,8.81
80,7.84,7.84,7.84,8.81
81,5.0,7.84,7.84,8.58
82,5.0,5.0,5.0,8.81
83,5.0,5.0,7.27,8.81
84,5.0,5.0,7.27,8.81
85,5.0,8.58,8.58,8.81
86,8.58,8.58,8.58,8.81
87,7.84,7.84,7.84,8.81
88,7.84,7.84,7.84,7.84
89,7.84,7.84,7.84,7.84
90,7.84,7.84,7.84,12.85
91,5.0,8.58,8.81,8.81
92,7.84,7.84,8.58,8.81
93,7.84,7.84,7.84,8.81
94,7.84,7.84,7.84,7.84
95,7.84,7.84,7.84,7.84
96,7.84,7.84,7.84,8.81
97,7.84,7.84,7.84,8.81
98,7.84,7.84,7.84,7.84
99,7.84,7.84,7.84,7.84
100,7.84,7.84,7.84,12.85
