climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,64.260002,72.881371,84.449997,112.509621
2,64.260002,69.206772,70.780434,99.139999
3,64.260002,64.260002,69.206772,96.839996
4,55.486553,66.688843,78.359398,106.882851
5,64.201775,66.688843,77.815567,106.882851
6,66.688843,76.215828,85.742805,89.84893000000001
7,62.6894,66.688843,79.59790799999999,94.72674599999999
8,65.926682,69.72359499999999,73.130943,85.742805
9,64.400642,71.581902,76.30435899999999,85.742805
10,40.18676,64.400642,76.30435899999999,96.839996
11,52.943236999999996,81.059998,85.546829,117.18
12,61.027641,69.206772,71.393272,97.71225
13,66.688843,73.357727,80.97931700000001,95.26978299999999
14,71.41422299999999,72.80516800000001,76.215828,85.742805
15,71.452332,77.761703,85.399834,90.506294
16,66.21249399999999,72.43360899999999,82.560799,86.381111
17,66.688843,76.215828,82.00823199999999,95.26978299999999
18,66.011215,71.452332,80.026619,95.26978299999999
19,66.011215,66.688843,76.215828,93.821686
20,55.826809,66.011215,80.80783100000001,86.980003
21,46.161373,85.546829,96.849632,104.089996
22,57.161868999999996,74.499718,85.742805,97.71225
23,60.97266,76.158661,80.97931700000001,90.925484
24,67.746338,76.215828,85.323616,104.796761
25,73.019958,77.911629,83.723083,95.26978299999999
26,72.414558,80.97931700000001,85.742805,86.104828
27,66.011215,72.414558,76.911293,85.742805
28,66.011215,66.688843,76.215828,85.742805
29,66.011215,66.011215,71.452332,83.83740999999999
30,47.156498,66.011215,71.557129,86.980003
31,43.858315000000005,73.822586,96.849632,104.089996
32,42.871403,42.871403,87.359482,104.459236
33,47.634892,73.691177,78.121223,88.46814
34,65.803635,71.452332,81.870903,95.26978299999999
35,73.472054,82.020576,85.742805,85.814438
36,81.870903,85.742805,85.814438,104.796761
37,66.011215,82.941872,85.814438,95.26978299999999
38,66.011215,81.870903,85.814438,95.26978299999999
39,55.618336,66.011215,78.67379,86.980003
40,48.912651000000004,66.011215,79.445839,91.155327
41,43.858315000000005,43.858315000000005,55.714077,129.712875
42,43.858315000000005,67.83000200000001,71.08242,117.341209
43,63.658820999999996,66.23850300000001,69.06551400000001,96.839996
44,61.401371,66.23850300000001,66.23850300000001,87.359489
45,61.925357999999996,65.113899,66.23850300000001,86.980003
46,60.14085,65.113899,68.013092,81.870903
47,54.759556,65.113899,75.26313,87.359489
48,47.634892,61.925357999999996,76.215828,87.653305
49,47.634892,56.209171,69.146805,85.742805
50,47.634892,61.43,80.655403,102.917305
51,43.858315000000005,43.858315000000005,46.161373,98.209999
52,62.493244,69.06551400000001,92.85771899999999,117.341209
53,64.22659300000001,67.136131,69.06551400000001,87.359482
54,64.22659300000001,67.136131,67.136131,75.097824
55,49.540287,61.925357999999996,66.23850300000001,88.14451600000001
56,48.81221,58.510681000000005,64.783447,88.14298199999999
57,33.009997999999996,55.68368100000001,64.783447,76.215828
58,33.009997999999996,54.5522,69.137276,83.83740999999999
59,42.8013,57.161868999999996,69.146805,85.742805
60,47.634892,60.21364200000001,75.529999,102.14349399999999
61,43.858315000000005,50.762221999999994,86.66720600000001,109.365761
62,67.136131,67.590103,102.917305,120.560272
63,63.236107,64.22659300000001,67.590103,93.99960300000001
64,52.59874,55.68368100000001,60.553551,67.83000200000001
65,52.59874,55.68368100000001,55.68368100000001,61.925357999999996
66,48.81221,55.68368100000001,57.117817,67.83000200000001
67,33.009997999999996,44.463242,56.33368299999999,69.42729200000001
68,33.009997999999996,33.009997999999996,47.634892,65.580833
69,33.009997999999996,45.669998,63.344875,86.980003
70,47.634892,64.16468,74.75819399999999,86.980003
71,43.858315000000005,43.858315000000005,43.858315000000005,55.714077
72,72.222672,92.85771899999999,103.175247,120.560272
73,47.574104,53.155888,63.370231999999994,81.00631700000001
74,33.009997999999996,50.782856,52.59874,67.83000200000001
75,33.009997999999996,38.767281,53.155888,81.00631700000001
76,33.009997999999996,33.009997999999996,56.209171,81.00631700000001
77,33.009997999999996,33.009997999999996,43.123638,69.509575
78,33.009997999999996,47.634892,66.978874,80.709999
79,45.146305,59.443169,74.75819399999999,80.709999
80,40.93,61.01453000000001,75.723778,86.980003
81,55.714077,55.714077,72.532196,96.984726
82,46.769341,76.349678,96.984726,120.560272
83,41.858196,65.370003,73.254425,77.587784
84,33.009997999999996,38.767281,65.370003,81.00631700000001
85,33.009997999999996,45.685997,66.702774,91.910004
86,48.881889,65.370003,92.067879,120.483124
87,46.398312,59.443169,74.986847,81.00631700000001
88,50.155293,64.16468,75.723778,80.850311
89,61.43,67.68,79.445839,79.445839
90,67.68,67.68,74.029999,102.14349399999999
91,55.714077,55.714077,55.714077,81.389999
92,14.132385999999999,69.21018199999999,95.95298000000001,110.876915
93,10.688955,66.351997,77.587784,102.741913
94,30.536436,66.702774,75.947296,95.95298000000001
95,30.536436,66.702774,75.723778,94.312492
96,30.536436,65.370003,75.723778,95.385513
97,38.767281,65.370003,75.947296,120.483124
98,39.142719,65.370003,75.947296,96.839996
99,57.43,67.68,75.723778,86.980003
100,66.84288000000001,72.348907,79.445839,102.14349399999999
