climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,12.58,12.58,12.58,12.58
2,12.58,12.58,12.58,12.58
3,2.68,2.68,12.58,12.58
4,2.68,2.68,2.68,12.58
5,2.68,2.68,2.68,12.58
6,2.68,2.68,2.68,12.58
7,2.68,2.68,2.68,12.58
8,2.68,2.68,2.68,12.58
9,2.68,2.68,2.68,12.58
10,2.68,2.68,2.68,12.58
11,2.68,12.58,12.58,12.58
12,2.68,2.68,12.58,12.58
13,2.68,2.68,12.58,19.42
14,2.68,2.68,12.58,19.42
15,2.68,2.68,12.58,19.42
16,2.68,2.68,19.42,19.42
17,2.68,2.68,19.42,19.42
18,2.68,2.68,12.58,19.42
19,2.68,2.68,2.68,19.42
20,2.68,2.68,19.42,19.42
21,2.68,12.58,12.58,12.58
22,2.68,12.58,19.42,19.42
23,2.68,19.42,19.42,19.42
24,12.58,19.42,19.42,19.42
25,2.68,19.42,19.42,19.42
26,2.68,19.42,19.42,19.42
27,2.68,12.58,19.42,19.42
28,2.68,2.68,19.42,19.42
29,2.68,2.68,19.42,19.42
30,2.68,2.68,12.58,19.42
31,12.58,12.58,12.58,19.42
32,19.42,19.42,19.42,19.42
33,19.42,19.42,19.42,19.42
34,19.42,19.42,19.42,19.42
35,2.68,19.42,19.42,19.42
36,2.68,19.42,19.42,19.42
37,2.68,2.68,19.42,19.42
38,2.68,2.68,19.42,19.42
39,2.68,2.68,19.42,19.42
40,2.68,2.68,2.68,19.42
41,12.58,12.58,12.58,12.58
42,2.68,19.42,19.42,19.42
43,2.68,19.42,19.42,19.42
44,2.68,19.42,19.42,19.42
45,2.68,19.42,19.42,19.42
46,2.68,2.68,19.42,19.42
47,2.68,2.68,19.42,19.42
48,2.68,2.68,2.68,19.42
49,2.68,2.68,2.68,2.68
50,2.68,2.68,2.68,12.58
51,12.58,12.58,12.58,12.58
52,2.68,2.68,2.68,19.42
53,2.68,2.68,2.68,2.68
54,2.68,2.68,2.68,2.68
55,2.68,2.68,2.68,2.68
56,2.68,2.68,2.68,12.58
57,2.68,2.68,2.68,2.68
58,2.68,2.68,2.68,2.68
59,2.68,2.68,2.68,2.68
60,2.68,2.68,2.68,12.58
61,12.58,12.58,12.58,12.58
62,2.68,2.68,2.68,2.68
63,2.68,2.68,2.68,2.68
64,2.68,2.68,2.68,2.68
65,2.68,2.68,2.68,2.68
66,2.68,2.68,2.68,2.68
67,2.68,2.68,2.68,2.68
68,2.68,2.68,2.68,2.68
69,2.68,2.68,2.68,2.68
70,2.68,2.68,2.68,12.58
71,2.68,12.58,12.58,12.58
72,2.68,2.68,2.68,12.58
73,2.68,2.68,2.68,12.58
74,2.68,2.68,2.68,12.58
75,2.68,2.68,2.68,12.58
76,2.68,2.68,2.68,12.58
77,2.68,2.68,2.68,12.58
78,2.68,2.68,2.68,12.58
79,2.68,2.68,2.68,12.58
80,2.68,2.68,2.68,2.68
81,12.58,12.58,12.58,12.58
82,2.68,2.68,12.58,12.58
83,2.68,2.68,12.58,12.58
84,2.68,2.68,12.58,12.58
85,2.68,2.68,2.68,12.58
86,2.68,2.68,2.68,12.58
87,2.68,2.68,2.68,12.58
88,2.68,2.68,2.68,12.58
89,2.68,2.68,2.68,12.58
90,2.68,2.68,2.68,12.58
91,12.58,12.58,12.58,12.58
92,12.58,12.58,12.58,12.58
93,2.68,2.68,2.68,12.58
94,2.68,2.68,2.68,12.58
95,2.68,2.68,2.68,12.58
96,2.68,2.68,2.68,12.58
97,2.68,2.68,2.68,12.58
98,2.68,2.68,2.68,12.58
99,2.68,2.68,12.58,12.58
100,2.68,12.58,12.58,12.58
