climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.392424,0.43595200000000006,1.1711340000000001,2.1724080000000003
2,0.411238,0.462643,1.189014,1.7611709999999998
3,0.43595200000000006,0.988067,1.5254729999999999,1.752231
4,0.988067,1.459148,1.580743,1.713393
5,0.956575,1.459148,1.558635,2.0204590000000002
6,0.43595200000000006,1.305233,1.591798,1.735502
7,0.43595200000000006,0.720655,1.348606,1.868152
8,0.685067,0.685067,0.7295520000000001,1.348606
9,0.685067,0.827419,1.183298,1.889341
10,0.947548,1.6112360000000001,2.293437,2.739247
11,0.462643,0.685067,1.421452,2.020429
12,0.7295520000000001,1.385692,1.558635,1.6360139999999999
13,0.462643,0.7295520000000001,1.558635,1.658123
14,0.7295520000000001,0.907492,1.658123,1.735502
15,0.462643,0.7295520000000001,0.907492,1.658123
16,0.685067,0.7295520000000001,0.907492,1.2609110000000001
17,0.827419,1.148996,1.2609110000000001,1.4073129999999998
18,0.907492,1.183298,1.2609110000000001,1.4073129999999998
19,0.947548,1.074386,1.2003549999999998,1.75761
20,1.138268,2.22128,2.370694,2.669521
21,0.43595200000000006,0.462643,1.1164690000000002,2.530006
22,0.43595200000000006,0.631685,1.063854,1.647069
23,0.631685,0.907492,1.514419,1.7797180000000001
24,0.907492,1.066925,1.148996,1.591798
25,0.907492,1.066925,1.156607,1.2832940000000002
26,1.141535,1.156607,1.2609110000000001,1.2832940000000002
27,1.148996,1.2609110000000001,1.2609110000000001,1.395209
28,1.141535,1.2609110000000001,1.309766,1.75761
29,1.087192,1.2609110000000001,2.22128,2.370694
30,2.22128,2.310928,2.3208889999999998,2.5101459999999998
31,0.43595200000000006,0.631685,1.278413,3.057464
32,0.631685,0.8939950000000001,1.1696520000000001,2.1455889999999997
33,0.9848540000000001,1.156607,1.186301,1.5254729999999999
34,0.9848540000000001,1.148996,1.156607,1.5254729999999999
35,1.066925,1.141535,1.186301,1.492972
36,1.141535,1.186301,1.2832940000000002,1.309766
37,1.186301,1.2609110000000001,1.2832940000000002,1.309766
38,1.186301,1.186301,1.309766,1.930993
39,0.9768399999999999,1.1642370000000002,1.6073,2.0314490000000003
40,1.36174,1.6355709999999999,2.310928,2.490224
41,0.631685,0.631685,1.1353739999999999,4.335876
42,0.47004399999999996,0.8281719999999999,1.156607,2.306508
43,0.8281719999999999,0.9848540000000001,1.156607,1.414931
44,0.9848540000000001,1.141535,1.156607,1.337552
45,0.898595,1.141535,1.186301,1.309766
46,0.9331020000000001,1.186301,1.359661,1.584652
47,1.156607,1.2832940000000002,1.506844,1.953316
48,1.193916,1.540329,1.651947,2.0314490000000003
49,0.941658,1.031109,1.574765,1.930993
50,2.201359,2.201359,2.310928,2.310928
51,0.631685,1.156607,1.156607,3.584921
52,0.722133,0.898595,1.156607,1.2727899999999999
53,0.8281719999999999,1.141535,1.156607,1.2727899999999999
54,0.8281719999999999,1.156607,1.2727899999999999,1.396965
55,1.138577,1.231399,1.2832940000000002,1.584652
56,1.156607,1.283138,1.396965,2.0314490000000003
57,1.024441,1.156607,1.396965,2.0314490000000003
58,0.9106139999999999,0.962354,1.107085,1.6112360000000001
59,1.024441,1.574765,1.8305360000000002,2.6785919999999996
60,1.7488540000000001,1.8280900000000002,2.201359,2.310928
61,0.753332,0.916478,1.231399,1.82375
62,1.156607,1.156607,1.231399,1.574765
63,1.115323,1.156607,1.574765,1.574765
64,0.9106139999999999,1.107085,1.574765,1.810418
65,1.107085,1.574765,1.574765,1.810418
66,1.573431,1.574765,1.574765,1.810418
67,1.574765,1.574765,1.7488540000000001,2.201359
68,1.7488540000000001,1.7488540000000001,1.7488540000000001,2.201359
69,1.7488540000000001,1.7488540000000001,1.7488540000000001,1.7488540000000001
70,1.7488540000000001,1.7488540000000001,1.7488540000000001,2.228902
71,0.753332,0.753332,1.308457,2.1455889999999997
72,0.753332,1.115323,1.475092,1.8173009999999998
73,1.115323,1.586658,1.7488540000000001,1.810418
74,1.4035819999999999,1.586658,1.7488540000000001,1.810418
75,1.586658,1.7488540000000001,1.7488540000000001,1.810418
76,1.586658,1.7488540000000001,1.7488540000000001,1.810418
77,1.235765,1.7488540000000001,1.7488540000000001,1.810418
78,1.7488540000000001,1.7488540000000001,1.7488540000000001,1.779898
79,1.7488540000000001,1.7488540000000001,1.7488540000000001,2.228902
80,1.7488540000000001,1.7488540000000001,1.7488540000000001,2.140919
81,1.115323,1.11764,1.308457,1.8173009999999998
82,1.115323,1.1979540000000002,1.310994,1.779898
83,1.115323,1.144899,1.779898,1.779898
84,1.115323,1.779898,1.779898,1.779898
85,1.115323,1.779898,1.779898,1.779898
86,1.7488540000000001,1.7488540000000001,1.779898,1.779898
87,1.7488540000000001,1.7488540000000001,1.779898,1.779898
88,1.6355709999999999,1.779898,1.779898,1.779898
89,1.284014,1.6355709999999999,1.779898,1.779898
90,1.019155,1.284014,1.6039780000000001,1.7488540000000001
91,0.463667,0.561281,0.939536,1.391002
92,0.329448,0.463667,0.91,1.391002
93,0.329448,0.353851,0.561281,0.939536
94,0.329448,0.43926400000000004,0.463667,0.939536
95,0.244035,0.43926400000000004,0.61,1.220177
96,0.244035,0.463667,0.732106,1.5936299999999999
97,0.244035,0.46325,0.939951,1.5936299999999999
98,0.244035,0.5090180000000001,1.5936299999999999,1.5936299999999999
99,0.61,1.5936299999999999,1.5936299999999999,1.5936299999999999
100,0.61,0.939951,1.5936299999999999,1.5936299999999999
