climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,50.07,50.07,50.07,50.07
2,50.07,50.07,50.07,50.07
3,50.07,50.07,50.07,50.07
4,50.07,50.07,50.07,50.07
5,50.07,50.07,50.07,50.07
6,50.07,50.07,50.07,50.07
7,50.07,50.07,50.07,50.07
8,50.07,50.07,50.07,50.07
9,50.07,50.07,50.07,50.07
10,50.07,50.07,50.07,50.07
11,50.07,50.07,50.07,50.07
12,50.07,50.07,50.07,50.07
13,50.07,50.07,50.07,50.07
14,50.07,50.07,50.07,50.07
15,50.07,50.07,50.07,50.07
16,50.07,50.07,50.07,50.07
17,50.07,50.07,50.07,50.07
18,50.07,50.07,50.07,50.07
19,50.07,50.07,50.07,50.07
20,50.07,50.07,50.07,50.07
21,50.07,50.07,50.07,50.07
22,50.07,50.07,50.07,50.07
23,50.07,50.07,50.07,50.07
24,50.07,50.07,50.07,50.07
25,50.07,50.07,50.07,50.07
26,50.07,50.07,50.07,50.07
27,50.07,50.07,50.07,50.07
28,50.07,50.07,50.07,50.07
29,50.07,50.07,50.07,50.07
30,50.07,50.07,50.07,50.07
31,50.07,50.07,50.07,50.07
32,50.07,50.07,50.07,50.07
33,50.07,50.07,50.07,50.07
34,50.07,50.07,50.07,50.07
35,50.07,50.07,50.07,50.07
36,50.07,50.07,50.07,50.07
37,50.07,50.07,50.07,50.07
38,50.07,50.07,50.07,50.07
39,50.07,50.07,50.07,50.07
40,50.07,50.07,50.07,50.07
41,50.07,50.07,50.07,50.07
42,50.07,50.07,50.07,50.07
43,50.07,50.07,50.07,50.07
44,50.07,50.07,50.07,50.07
45,50.07,50.07,50.07,50.07
46,50.07,50.07,50.07,50.07
47,50.07,50.07,50.07,50.07
48,50.07,50.07,50.07,50.07
49,50.07,50.07,50.07,50.07
50,50.07,50.07,50.07,50.07
51,40.0,40.0,40.0,40.0
52,40.0,40.0,40.0,50.07
53,50.07,50.07,50.07,50.07
54,50.07,50.07,50.07,50.07
55,40.0,50.07,50.07,50.07
56,40.0,50.07,50.07,50.07
57,40.0,40.0,40.0,50.07
58,40.0,40.0,40.0,40.0
59,40.0,40.0,40.0,40.0
60,40.0,40.0,40.0,40.0
61,40.0,40.0,40.0,40.0
62,40.0,40.0,40.0,40.0
63,40.0,40.0,40.0,40.0
64,40.0,40.0,40.0,40.0
65,40.0,40.0,40.0,40.0
66,40.0,40.0,40.0,40.0
67,40.0,40.0,40.0,40.0
68,40.0,40.0,40.0,40.0
69,40.0,40.0,40.0,40.0
70,40.0,40.0,40.0,40.0
71,40.0,40.0,40.0,40.0
72,40.0,40.0,40.0,40.0
73,40.0,40.0,40.0,40.0
74,40.0,40.0,40.0,40.0
75,40.0,40.0,40.0,40.0
76,40.0,40.0,40.0,40.0
77,40.0,40.0,40.0,40.0
78,40.0,40.0,40.0,40.0
79,19.969998999999998,40.0,40.0,40.0
80,40.0,40.0,40.0,40.0
81,40.0,40.0,40.0,40.0
82,40.0,40.0,40.0,40.0
83,40.0,40.0,40.0,40.0
84,40.0,40.0,40.0,40.0
85,40.0,40.0,40.0,40.0
86,40.0,40.0,40.0,40.0
87,40.0,40.0,40.0,40.0
88,40.0,40.0,40.0,40.0
89,40.0,40.0,40.0,40.0
90,40.0,40.0,40.0,40.0
91,40.0,40.0,40.0,40.0
92,40.0,40.0,40.0,40.0
93,40.0,40.0,40.0,40.0
94,40.0,40.0,40.0,40.0
95,40.0,40.0,40.0,40.0
96,40.0,40.0,40.0,40.0
97,40.0,40.0,40.0,40.0
98,40.0,40.0,40.0,40.0
99,40.0,40.0,40.0,40.0
100,40.0,40.0,40.0,40.0
