climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,13.807599,14.395156,15.873841,27.624990000000004
2,12.005756,13.768429000000001,14.600801,18.204487
3,13.180871,14.326609,15.805294,19.692966000000002
4,12.495388,14.502875,16.451607,24.22695
5,12.769581,14.463705,21.181444,27.820843
6,11.800112,14.316815,20.398035,37.535126
7,11.016702,14.228682000000001,20.398035,32.433167
8,11.016702,16.402645,23.766697,29.6031
9,11.956793,16.402645,25.705637,39.493652000000004
10,11.604258999999999,15.207944,19.340431,31.003445000000003
11,13.10253,16.020733,21.573151,29.994804
12,13.562783999999999,14.385364000000001,16.588704999999997,27.81105
13,12.534558,15.364626000000001,20.129998999999998,43.988464
14,14.062207,21.49481,27.380175,43.988464
15,17.851952,25.783978,39.356552,46.8577
16,11.055872,14.365779000000002,19.124994,44.135353
17,10.321425,12.514973,14.385364000000001,20.202181
18,10.815575,12.514973,16.383059,22.62096
19,11.447577,15.354834,17.440662,20.68
20,12.107142999999999,14.297231,16.12845,18.36117
21,21.769001,24.652929,29.730406,35.772453000000006
22,22.474072,26.567387,30.415888,42.597912
23,25.793770000000002,34.332939,42.686046999999995,49.110008
24,23.463125,38.063927,41.109432,48.659546
25,15.413589000000002,34.646301,39.748259999999995,44.135353
26,12.456217,16.12845,27.341005,52.351364000000004
27,10.957945,14.199304000000001,16.12845,22.160706
28,11.447577,14.551838,17.215431,24.285706
29,11.809904,16.667046,18.302414000000002,25.421568
30,12.260365,15.67799,18.703910999999998,25.126205
31,24.236744,27.977526,31.228676,43.234432
32,26.626144,31.052408000000003,37.721188,51.401482
33,26.31278,30.327755,34.068539,42.686046999999995
34,23.894001,27.243078000000004,31.718307,44.830627
35,22.023609,25.225798,27.762087,30.053562
36,16.657253,22.023609,27.331211,34.607132
37,14.199304000000001,16.12845,21.553564,28.339853
38,10.695789999999999,14.297231,16.842896,18.987896
39,11.320273,15.080639999999999,17.36232,20.329487
40,11.300688000000001,15.580064000000002,18.841007,24.266121
41,28.300682000000002,30.180864,34.626717,38.083511
42,25.225798,27.762087,28.300682000000002,29.466003000000004
43,24.589277,27.683746000000003,28.496534000000004,34.607132
44,18.674532,22.170498000000002,27.683746000000003,34.381901
45,15.854257999999998,18.605984,22.150914999999998,28.232134000000002
46,15.55,18.468889,22.699301000000002,30.709667
47,14.228682000000001,17.381907,19.859442,26.430290000000003
48,11.192969,16.685387,17.381907,22.650337
49,10.722922,14.708521,16.559326000000002,26.361742
50,13.124792999999999,16.853104000000002,20.838352,27.125567999999998
51,15.423382,19.546076,27.536858000000002,29.573722999999998
52,17.567966000000002,19.546076,27.957939,31.277639
53,18.54723,21.445845000000002,25.637089000000003,35.361164
54,16.87269,18.635363,21.455637,25.617501999999998
55,10.0,13.376723000000002,19.213127,22.385939
56,10.850226,16.569118,17.381907,24.843887
57,11.849074,15.873841,21.191236,27.243078000000004
58,15.580064000000002,18.762667,23.81566,28.212546999999997
59,15.227529999999998,19.428564,23.130177,30.778215000000003
60,16.030525,19.538492,21.837549,27.624990000000004
61,1.86,4.104316000000001,7.104553999999999,9.22
62,3.0468610000000003,5.445266999999999,7.104553999999999,10.467277000000001
63,5.91,18.968313000000002,25.637089000000003,29.426832
64,4.545512,6.78832,16.674887,23.149760999999998
65,4.545512,6.006151999999999,6.788042999999999,27.781672999999998
66,5.364498,6.403447,20.182598000000002,29.857708000000002
67,6.08,15.286284,19.800684,28.320266999999998
68,6.610021000000001,14.874994000000001,19.017275,26.342157
69,10.967738,16.123998999999998,20.17,25.196419
70,10.908983000000001,16.882482999999997,21.073726999999998,26.391121000000002
71,1.86,1.86,4.2039349999999995,9.22
72,2.180455,2.198505,4.104316000000001,21.543772
73,4.104316000000001,4.2039349999999995,6.78832,29.857708000000002
74,4.104316000000001,4.154126,5.364498,24.55665
75,4.104316000000001,4.124239,4.522717,14.512668
76,4.104316000000001,4.154126,6.7152460000000005,16.559326000000002
77,6.551353,12.612899,25.813356,40.451366
78,7.495038,14.904373000000001,20.17,35.625565
79,6.6,13.592160999999999,19.614626,26.361742
80,7.495038,14.914164999999999,19.830063,23.061628
81,1.86,3.446256,6.542045,15.560479
82,2.180455,4.095098999999999,5.6,15.560479
83,4.014659,4.144164,5.6,14.522460999999998
84,4.114278,4.144164,5.6,15.49995
85,4.134201999999999,4.154126,5.6,14.522460999999998
86,4.134201999999999,4.154126,6.6,15.93
87,5.22,5.6,9.484705,16.755178
88,5.22,6.78,11.570172,17.05875
89,6.6,9.064822,11.800112,18.057598000000002
90,4.496544999999999,6.6,9.981285,13.699879999999999
91,5.6,5.6,5.6,10.58
92,2.180455,5.6,5.6,11.988403
93,2.11,5.6,5.6,7.934255
94,3.0,5.6,5.6,7.934255
95,4.71,5.6,6.6,7.934255
96,5.6,6.6,6.6,8.246596
97,5.6,6.6,7.330227000000001,11.570172
98,4.535897,6.09,6.812632000000001,11.570172
99,4.38,5.6,6.6,11.570172
100,4.38,5.6,8.246596,11.570172
