climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,8.53,8.53,8.53,8.53
2,8.53,8.53,8.53,8.53
3,8.53,8.53,8.53,16.790001
4,8.53,8.53,8.53,18.549999
5,8.53,8.53,8.53,8.53
6,8.53,8.53,8.53,8.53
7,8.53,8.53,8.53,8.53
8,8.53,8.53,8.53,8.53
9,8.53,8.53,8.53,8.53
10,8.53,11.28,21.879998999999998,21.879998999999998
11,8.53,8.53,8.53,16.790001
12,8.53,8.53,8.53,16.790001
13,8.53,8.53,8.53,8.53
14,8.53,8.53,8.53,16.790001
15,8.53,8.53,8.53,16.790001
16,8.53,8.53,8.53,17.43
17,8.53,8.53,8.53,8.53
18,8.53,8.53,8.53,17.43
19,8.53,8.53,8.53,18.549999
20,8.53,8.53,21.879998999999998,25.07
21,8.53,8.53,8.53,16.790001
22,8.53,16.790001,18.549999,18.549999
23,8.53,8.53,17.43,18.549999
24,8.53,8.53,17.43,17.43
25,8.53,8.53,17.43,18.549999
26,8.53,8.53,8.53,18.549999
27,8.53,8.53,8.53,17.43
28,8.53,8.53,8.53,18.549999
29,8.53,8.53,17.68,25.07
30,8.53,21.879998999999998,23.450001,23.450001
31,8.53,8.53,8.53,16.790001
32,16.790001,17.43,17.43,18.549999
33,14.568204999999999,17.43,17.43,17.43
34,8.53,8.53,8.53,18.549999
35,8.53,8.53,8.53,17.719998999999998
36,8.53,8.53,8.53,17.719998999999998
37,8.53,8.53,15.24,17.68
38,8.53,10.34,15.24,25.07
39,8.53,21.879998999999998,23.450001,25.07
40,21.879998999999998,23.450001,23.450001,23.450001
41,9.16,17.43,17.43,17.43
42,8.53,17.43,17.43,17.43
43,8.53,8.53,8.53,17.43
44,8.53,8.53,8.53,17.43
45,8.53,8.53,8.53,17.43
46,8.53,8.53,8.53,18.549999
47,8.53,8.53,15.24,18.549999
48,8.53,8.53,15.24,17.43
49,8.53,8.53,13.57,23.450001
50,8.53,21.879998999999998,23.450001,23.450001
51,16.790001,17.43,17.43,17.719998999999998
52,8.53,8.53,17.43,17.719998999999998
53,8.53,8.53,17.43,18.549999
54,8.53,8.53,8.53,17.43
55,8.53,8.53,8.53,15.24
56,8.53,8.53,8.53,15.24
57,8.53,8.53,8.53,15.24
58,8.53,8.53,8.53,8.53
59,8.53,8.53,8.53,21.879998999999998
60,8.53,8.53,21.879998999999998,21.879998999999998
61,16.790001,17.43,17.43,22.76
62,17.35,17.43,17.43,18.879998999999998
63,8.53,8.53,16.790001,18.549999
64,8.53,8.53,8.53,9.16
65,8.53,8.53,8.53,18.879998999999998
66,8.53,8.53,8.53,8.53
67,8.53,8.53,8.53,8.53
68,8.53,8.53,8.53,15.07
69,8.53,8.53,8.53,8.53
70,8.53,8.53,8.53,21.879998999999998
71,16.790001,17.43,17.719998999999998,22.76
72,16.790001,17.43,17.719998999999998,22.081072
73,9.16,17.43,17.719998999999998,21.780001000000002
74,8.53,8.53,8.53,12.033988
75,8.53,8.53,8.53,15.07
76,8.53,8.53,9.593492999999999,15.918514000000002
77,8.53,8.53,8.53,8.53
78,8.53,8.53,8.53,22.830238
79,8.53,8.53,8.53,11.415119
80,8.53,8.53,8.53,14.498334
81,10.691616,16.99139,17.801361,19.925285000000002
82,10.691616,16.790001,17.68,21.780001000000002
83,16.790001,18.549999,20.743738,22.76
84,8.53,9.601401,18.879998999999998,25.07
85,9.593496,9.594786000000001,14.30275,23.12513
86,9.593492999999999,9.594559,20.927719,24.808858999999998
87,8.53,9.626812,22.830238,33.294098
88,8.53,8.53,12.701664,23.7815
89,8.53,8.53,8.53,17.931760999999998
90,8.53,8.53,8.53,29.886269
91,9.56,9.56,9.56,16.790001
92,9.56,9.56,16.790001,16.790001
93,9.56,9.56,12.36638,18.645603
94,8.53,11.415119,18.030001000000002,18.32
95,11.956121000000001,18.030001000000002,18.030001000000002,19.312363
96,11.415119,18.030001000000002,18.030001000000002,23.27733
97,10.0,14.976004000000001,18.030001000000002,22.830238
98,8.53,10.61,18.030001000000002,18.32
99,8.53,8.53,18.030001000000002,18.32
100,8.53,8.53,10.732902000000001,18.030001000000002
