climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,17.610001,17.610001,17.610001,17.610001
2,2.597211,6.44,17.610001,17.610001
3,3.9102959999999998,6.808660000000001,17.610001,17.610001
4,2.597211,4.23,6.808660000000001,17.610001
5,3.9102959999999998,5.204144,17.610001,17.610001
6,2.822663,5.204144,17.610001,17.610001
7,4.303243,12.26,17.610001,17.610001
8,4.407546,7.360858,7.360858,17.610001
9,4.407546,4.407546,4.407546,7.360858
10,5.490213,6.35,7.360858,12.26
11,3.803114,5.204144,6.44,6.44
12,2.892386,6.335847,6.871735,6.871735
13,2.892386,2.892386,6.44,11.17
14,5.434309,6.335847,6.871735,8.328211999999999
15,5.12,7.360858,8.328211999999999,17.610001
16,4.407546,5.89,7.360858,8.328211999999999
17,4.407546,4.407546,6.39193,7.360858
18,4.407546,4.407546,5.89,7.360858
19,5.490213,6.355614,7.360858,7.360858
20,5.490213,6.35,6.44,7.360858
21,6.355614,6.44,6.871735,6.871735
22,2.077868,6.355614,6.871735,6.871735
23,2.9046950000000002,3.39795,6.44,6.871735
24,3.39795,6.433503,6.871735,6.871735
25,2.892386,3.39795,6.871735,6.871735
26,3.39795,6.871735,8.328211999999999,8.328211999999999
27,6.355614,6.44,8.328211999999999,8.328211999999999
28,6.355614,6.355614,8.328211999999999,8.328211999999999
29,4.407546,6.355614,6.433503,8.328211999999999
30,5.12,6.35,6.44,9.1154
31,0.756942,3.42005,6.871735,6.871735
32,0.756942,0.756942,3.262387,6.871735
33,0.756942,2.079559,6.44,6.871735
34,3.39795,3.39795,6.44,6.871735
35,3.39795,3.39795,6.871735,6.871735
36,0.773517,3.39795,6.871735,6.871735
37,2.892386,3.39795,6.355614,6.871735
38,0.74671,6.355614,6.871735,6.871735
39,5.12,6.355614,6.355614,6.871735
40,5.490213,5.89,6.355614,9.1154
41,2.9046950000000002,3.42005,6.355614,6.871735
42,0.756942,1.117334,6.871735,6.871735
43,0.6740649999999999,0.779042,6.355614,6.871735
44,0.756942,3.39795,6.871735,6.871735
45,3.39795,3.39795,6.871735,6.871735
46,0.773517,6.355614,6.871735,6.871735
47,6.355614,6.871735,6.871735,6.871735
48,6.355614,6.355614,6.871735,6.871735
49,6.355614,6.355614,6.355614,6.871735
50,5.797717,6.35,6.355614,6.355614
51,0.458585,3.42005,3.42005,6.871735
52,0.458585,0.756942,6.355614,6.871735
53,1.331434,6.871735,6.871735,6.871735
54,0.458585,3.39795,6.871735,6.871735
55,6.355614,6.871735,6.871735,6.871735
56,6.35,6.355614,6.355614,6.871735
57,6.355614,6.355614,6.355614,6.44
58,6.355614,6.355614,6.355614,6.355614
59,6.355614,6.355614,6.355614,6.355614
60,5.797717,6.355614,6.355614,6.355614
61,0.458585,0.458585,3.42005,6.871735
62,0.458585,0.922695,6.355614,6.871735
63,1.117334,6.871735,6.871735,6.871735
64,0.8287680000000001,6.871735,6.871735,6.871735
65,6.355614,6.871735,6.871735,6.871735
66,6.355614,6.355614,6.44,6.871735
67,6.355614,6.355614,6.355614,6.871735
68,6.355614,6.355614,6.355614,6.355614
69,6.355614,6.355614,6.355614,6.355614
70,6.35,6.355614,6.355614,6.355614
71,0.458585,6.871735,6.871735,6.871735
72,0.458585,0.458585,0.458585,3.42005
73,0.458585,0.92822,6.355614,6.871735
74,6.871735,6.871735,6.871735,6.871735
75,6.871735,6.871735,6.871735,6.871735
76,6.355614,6.355614,6.871735,6.871735
77,6.355614,6.355614,6.355614,6.871735
78,6.355614,6.355614,6.355614,6.871735
79,6.355614,6.355614,6.355614,6.355614
80,6.355614,6.355614,6.355614,6.355614
81,6.871735,6.871735,6.871735,6.871735
82,0.458585,1.150787,6.871735,6.871735
83,0.458585,0.458585,0.458585,0.933746
84,0.458585,0.881257,3.42005,6.871735
85,6.355614,6.871735,6.871735,6.871735
86,6.871735,6.871735,6.871735,6.871735
87,6.355614,6.355614,6.871735,6.871735
88,6.355614,6.355614,6.355614,6.355614
89,6.355614,6.355614,6.355614,6.355614
90,6.355614,6.355614,6.355614,6.355614
91,0.458585,2.9170130000000003,6.355614,6.871735
92,0.464679,6.355614,6.871735,6.871735
93,6.355614,6.355614,6.871735,6.871735
94,6.355614,6.355614,6.355614,6.355614
95,6.355614,6.355614,6.355614,6.355614
96,6.355614,6.355614,6.355614,6.355614
97,6.355614,6.355614,6.355614,6.355614
98,6.355614,6.355614,6.355614,6.355614
99,6.355614,6.355614,6.355614,6.355614
100,6.355614,6.355614,6.355614,6.355614
