climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.495276,1.85,2.211763,2.990553
2,1.253421,1.858712,2.024853,2.647885
3,1.516044,1.734105,2.024853,2.765654
4,1.495276,1.765257,2.087157,2.647885
5,1.584711,1.786025,2.09754,2.544047
6,1.377559,1.754873,1.972934,2.492127
7,1.4,1.8379439999999998,2.036064,2.822811
8,1.387134,1.8243939999999998,2.14946,2.773909
9,1.539044,2.637501,2.6451599999999997,2.6451599999999997
10,1.539044,1.539044,2.035237,2.53
11,0.803078,1.244253,1.75,2.395175
12,1.083358,1.27,1.615784,2.544047
13,1.1691690000000001,1.273983,1.56,3.5928169999999997
14,0.823937,1.50566,2.056005,2.651426
15,1.2460639999999998,1.993702,2.274066,2.671589
16,1.516044,1.713338,2.0767729999999998,2.883118
17,1.630267,1.786025,2.180611,2.744496
18,1.6925700000000001,2.13234,2.264974,2.560849
19,1.77525,2.173151,2.3,2.428216
20,1.744489,2.045621,2.3,2.53
21,0.782219,1.475163,1.99,2.73
22,0.823937,0.865655,1.50566,2.647885
23,0.823937,0.959521,1.786025,3.6038980000000005
24,1.516044,1.8794790000000001,2.469484,2.883118
25,1.6510340000000001,1.786025,2.180611,2.388289
26,1.734105,2.128692,2.2325310000000003,2.564814
27,1.877276,2.111935,2.520039,2.68328
28,1.6406509999999999,1.931399,2.367,2.550647
29,1.702954,2.224164,2.428216,2.846522
30,1.734105,1.9690990000000002,2.152746,2.53
31,0.823937,1.99,2.036064,2.953246
32,1.567963,1.713338,2.004086,2.533663
33,1.578347,1.775641,2.211763,2.616734
34,1.588731,2.035237,2.324048,3.6038980000000005
35,1.734105,2.01447,2.190995,2.481744
36,1.713338,1.952166,2.01447,2.564814
37,1.256448,1.671802,2.01447,2.611862
38,1.5264280000000001,1.744489,2.418013,2.611862
39,1.381054,1.588731,1.744489,2.035237
40,1.391438,1.744489,1.96255,2.53
41,0.823937,1.75,2.789187,3.017299
42,0.823937,0.8865139999999999,1.931399,3.017299
43,1.7237209999999998,2.087157,2.3259849999999997,3.4578269999999995
44,2.01447,2.1390759999999998,2.388289,3.395524
45,1.661418,1.889863,2.01447,2.814027
46,1.484892,1.682186,1.8067919999999997,2.004086
47,1.5264280000000001,1.765257,2.418013,2.7036860000000003
48,1.453741,1.7237209999999998,2.4588229999999998,2.560849
49,1.360286,1.6510340000000001,2.3772029999999997,2.530241
50,1.329135,1.588731,1.96255,2.4507369999999997
51,0.782219,1.27,1.814747,3.275846
52,0.823937,0.8865139999999999,1.75,2.439246
53,1.75,2.08,2.3,2.7724919999999997
54,1.609499,1.946975,2.128692,3.073624
55,1.4225889999999999,1.702954,1.8794790000000001,2.4588229999999998
56,1.339518,1.630267,2.397608,2.530241
57,1.39,1.843673,2.090995,2.4588229999999998
58,1.8324310000000001,2.023544,2.180611,2.259624
59,1.821189,2.0460279999999997,2.180611,2.608123
60,1.50566,1.749681,2.05727,2.4282529999999998
61,1.75,1.88,2.3,2.417139
62,0.8969440000000001,1.88,2.3,2.392036
63,1.33,1.775641,1.9833180000000001,2.29
64,1.686286,1.7987060000000001,2.122138,2.469026
65,1.753738,1.843673,2.0797529999999997,2.1359630000000003
66,1.821189,2.023544,2.0797529999999997,2.194456
67,1.578347,1.931399,2.023544,2.201379
68,1.495276,1.686286,2.023544,2.259624
69,1.484892,1.588731,1.7424959999999998,1.9747169999999998
70,1.658182,1.787464,1.896135,2.1598439999999997
71,1.4831,2.08,2.417139,2.417139
72,1.1040860000000001,1.4831,2.3,2.417139
73,0.81,1.1040860000000001,1.75,2.3
74,0.81,0.8961709999999999,1.224768,2.3
75,0.776682,0.839883,1.124191,2.23
76,0.81,1.0799219999999998,1.483101,2.29
77,0.692114,0.96,1.758243,2.571052
78,0.872245,1.39,1.775641,2.4029580000000004
79,1.415848,1.6693490000000002,1.923823,2.398673
80,0.9158649999999999,1.483101,1.7987060000000001,2.367521
81,1.26,1.4831,1.483101,4.676874
82,1.1040860000000001,1.4831,1.483101,1.483101
83,0.786934,1.159736,1.483101,1.56
84,0.692114,0.82,1.2029590000000001,1.647889
85,0.692114,0.82,1.2029590000000001,2.290209
86,0.692114,0.82,1.0980590000000001,2.232266
87,0.75,0.82,1.137044,2.532301
88,0.75,1.0980590000000001,1.39,2.687427
89,0.75,1.1479700000000002,1.224146,2.8910139999999998
90,0.75,0.75,1.21,1.81
91,1.005213,1.367748,1.565495,3.134042
92,1.39,1.565495,3.147469,3.147469
93,1.137044,1.2029590000000001,2.3235240000000004,3.147469
94,0.45069,1.186026,2.290209,3.2133849999999997
95,0.44066400000000006,0.75,1.77,3.320493
96,0.75,0.754313,1.21,2.23
97,0.75,0.75,1.21,1.6
98,0.75,0.75,0.75,1.56
99,0.75,0.75,1.1040860000000001,1.56
100,0.75,0.75,1.1040860000000001,1.483101
