climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,14.052534,23.037848,25.75,39.380001
2,16.742746,25.75,39.380001,39.380001
3,12.904272,25.75,39.380001,39.380001
4,11.318578,15.134132999999999,25.75,39.380001
5,10.651492,15.134132999999999,25.75,39.380001
6,10.651492,13.455019,24.671219,39.380001
7,8.637216,12.434031,19.979751999999998,39.380001
8,8.596067999999999,11.912267,17.825392,39.380001
9,8.791741,14.01,25.75,61.68
10,13.621772,28.49,51.02,132.320007
11,25.75,28.41,39.380001,39.380001
12,15.48,28.41,39.380001,39.380001
13,8.972641000000001,25.75,39.380001,61.68
14,8.972641000000001,9.587702,25.75,61.68
15,9.497252,13.911211999999999,19.123922,39.380001
16,9.587702,11.688352,25.75,39.380001
17,10.971546,16.780001000000002,25.75,46.68
18,13.621772,17.744616,25.75,61.68
19,10.523869,39.380001,65.0,111.489998
20,25.75,46.68,65.0,80.379997
21,16.77,25.75,28.41,39.380001
22,28.41,28.41,39.380001,61.68
23,11.688352,25.75,39.380001,61.68
24,11.688352,25.75,39.380001,61.68
25,13.91,16.780001000000002,25.75,51.02
26,8.41,25.75,39.380001,51.02
27,25.75,25.75,39.380001,51.02
28,39.380001,51.02,51.02,61.68
29,39.380001,51.02,51.02,65.0
30,25.75,51.02,59.23,65.0
31,21.139999,21.139999,28.41,39.380001
32,18.200001,25.75,61.68,65.0
33,25.75,25.75,46.68,63.011444
34,25.75,25.75,25.75,61.68
35,25.75,25.75,25.75,61.68
36,25.75,25.75,39.380001,51.02
37,25.75,25.75,39.380001,51.02
38,25.75,36.544422,51.02,64.620003
39,25.75,25.75,51.02,62.669998
40,25.75,25.75,47.037678,65.0
41,21.139999,28.313461,65.0,65.0
42,21.139999,61.68,65.0,65.0
43,65.0,65.0,65.0,65.0
44,25.75,51.02,65.0,65.0
45,25.75,39.380001,47.02,65.0
46,25.75,25.75,25.75,51.02
47,25.75,25.75,25.75,51.02
48,25.75,25.75,25.75,46.68
49,25.75,25.75,25.75,25.75
50,25.75,25.75,25.75,48.998474
51,35.779999,65.0,65.0,65.0
52,44.578438,65.0,65.0,65.0
53,28.41,38.0,61.68,65.0
54,26.34413,39.380001,61.68,65.0
55,28.41,39.380001,51.02,62.669998
56,25.75,25.75,39.380001,51.02
57,25.75,25.75,25.75,25.75
58,25.75,25.75,25.75,25.75
59,25.75,25.75,25.75,36.295165999999995
60,25.75,25.75,25.75,35.097747999999996
61,22.336637,30.134797999999996,30.134797999999996,40.413769
62,22.336637,23.534912,28.627592,28.627592
63,22.336637,28.41,32.317867,56.510707999999994
64,21.917929,35.779999,45.909058,61.68
65,12.342166,31.758271999999998,40.126987,47.02
66,20.360001,25.75,39.380001,49.826519
67,25.75,25.75,45.368958,65.0
68,25.75,25.75,25.75,63.516543999999996
69,25.75,25.75,25.75,45.368958
70,11.197869,25.75,25.75,25.75
71,15.090248999999998,28.41,33.881958000000004,52.499522999999996
72,10.27,16.100264000000003,20.327595000000002,45.368958
73,16.100264000000003,16.100264000000003,16.100264000000003,40.236678999999995
74,16.100264000000003,16.100264000000003,16.100264000000003,44.824207
75,16.100264000000003,16.100264000000003,35.132946000000004,68.198624
76,16.100264000000003,65.0,65.0,80.303055
77,16.100264000000003,25.75,31.758271999999998,76.473915
78,22.684479,25.75,25.75,65.0
79,25.75,25.75,25.75,45.153255
80,11.99,25.75,25.75,25.75
81,16.100264000000003,16.100264000000003,18.031771,32.665649
82,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
83,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
84,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
85,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
86,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
87,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
88,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
89,16.100264000000003,16.100264000000003,16.100264000000003,16.100264000000003
90,11.99,16.100264000000003,16.165205,49.338741
91,10.27,16.98736,28.41,87.400002
92,13.35,16.100264000000003,16.120001000000002,28.41
93,16.100264000000003,16.100264000000003,16.100264000000003,16.120001000000002
94,13.35,16.100264000000003,16.100264000000003,27.035702
95,13.35,13.35,21.630951,63.900387
96,6.2573,10.45,16.120001000000002,28.200001
97,5.225444,10.45,12.751244,23.5
98,7.4,10.45,13.35,23.5
99,10.45,10.45,13.11,23.5
100,7.4,10.91,20.360001,31.75
