climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,3.16,3.16,3.16,3.16
2,3.16,3.16,3.16,3.16
3,3.16,3.16,3.16,3.16
4,3.16,3.16,3.16,3.16
5,3.16,3.16,3.16,3.16
6,3.16,3.16,3.16,3.16
7,3.16,3.16,3.16,3.16
8,3.16,3.16,3.16,3.16
9,3.16,3.16,3.16,3.16
10,3.16,3.16,3.16,3.16
11,3.16,3.16,3.16,3.16
12,3.16,3.16,3.16,3.16
13,3.16,3.16,3.16,3.16
14,3.16,3.16,3.16,3.16
15,3.16,3.16,3.16,3.16
16,3.16,3.16,3.16,3.16
17,3.16,3.16,3.16,3.16
18,3.16,3.16,3.16,3.16
19,3.16,3.16,3.16,3.16
20,3.16,3.16,3.16,3.16
21,3.16,3.16,3.16,3.16
22,3.16,3.16,3.16,3.16
23,3.16,3.16,3.16,3.16
24,3.16,3.16,3.16,3.16
25,3.16,3.16,3.16,3.16
26,3.16,3.16,3.16,3.16
27,3.16,3.16,3.16,3.16
28,3.16,3.16,3.16,3.16
29,3.16,3.16,3.16,3.16
30,3.16,3.16,3.16,3.16
31,3.16,3.16,3.16,3.16
32,3.16,3.16,3.16,3.16
33,3.16,3.16,3.16,3.16
34,3.16,3.16,3.16,3.16
35,3.16,3.16,3.16,3.16
36,3.16,3.16,3.16,3.16
37,3.16,3.16,3.16,3.16
38,3.16,3.16,3.16,3.16
39,1.27,3.16,3.16,3.16
40,3.16,3.16,3.16,3.16
41,3.16,3.16,3.16,3.16
42,3.16,3.16,3.16,3.16
43,3.16,3.16,3.16,3.16
44,3.16,3.16,3.16,3.16
45,3.16,3.16,3.16,3.16
46,3.16,3.16,3.16,3.16
47,1.27,3.16,3.16,3.16
48,1.27,3.16,3.16,3.16
49,3.16,3.16,3.16,3.16
50,3.16,3.16,3.16,3.16
51,1.27,1.27,3.16,3.16
52,1.27,1.27,3.16,3.16
53,3.16,3.16,3.16,3.16
54,3.16,3.16,3.16,3.16
55,3.16,3.16,3.16,3.16
56,3.16,3.16,3.16,3.16
57,1.27,3.16,3.16,3.16
58,3.16,3.16,3.16,3.16
59,3.16,3.16,3.16,3.16
60,3.16,3.16,3.16,3.16
61,1.27,1.27,1.27,1.27
62,1.27,1.27,1.27,3.16
63,1.27,3.16,3.16,3.16
64,1.27,3.16,3.16,3.16
65,1.27,1.27,3.16,3.16
66,1.27,3.16,3.16,3.16
67,3.16,3.16,3.16,3.16
68,3.16,3.16,3.16,3.16
69,3.16,3.16,3.16,3.16
70,3.16,3.16,3.16,3.16
71,1.27,1.27,1.27,1.27
72,1.27,1.27,1.27,1.27
73,1.27,1.27,1.27,3.16
74,1.27,3.16,3.16,3.16
75,3.16,3.16,3.16,3.16
76,3.16,3.16,3.16,3.16
77,3.16,3.16,3.16,3.16
78,3.16,3.16,3.16,3.16
79,3.16,3.16,3.16,3.16
80,3.16,3.16,3.16,3.16
81,1.27,1.27,1.27,3.16
82,1.27,1.27,1.27,3.16
83,1.27,1.27,3.16,3.16
84,3.16,3.16,3.16,3.16
85,1.27,3.16,3.16,3.16
86,3.16,3.16,3.16,3.16
87,3.16,3.16,3.16,3.16
88,3.16,3.16,3.16,3.72
89,3.16,3.72,3.72,3.72
90,3.16,3.16,3.16,3.72
91,0.6,1.27,1.27,1.27
92,0.67,3.16,3.16,3.72
93,3.16,3.72,3.72,3.72
94,3.16,3.72,3.72,3.72
95,3.16,3.16,3.72,3.72
96,3.16,3.72,3.72,3.72
97,3.16,3.72,3.72,3.72
98,3.72,3.72,3.72,3.72
99,3.16,3.72,3.72,3.72
100,3.16,3.16,3.72,3.72
