climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,21.549999,21.549999,22.82,22.82
2,19.33,19.33,21.549999,22.82
3,19.33,19.33,19.33,22.82
4,19.33,19.33,19.33,22.82
5,19.33,19.33,19.33,45.200001
6,19.33,19.33,19.33,22.82
7,19.33,19.33,22.82,45.200001
8,19.33,19.33,19.33,22.82
9,19.33,19.33,22.82,22.82
10,19.33,19.33,19.33,45.200001
11,22.82,22.82,22.82,22.82
12,19.33,22.82,22.82,24.27
13,19.33,19.33,19.33,22.82
14,19.33,19.33,19.33,22.82
15,19.33,19.33,19.33,22.82
16,19.33,19.33,22.82,56.02
17,19.33,22.82,22.82,56.02
18,19.33,22.82,22.82,56.02
19,19.33,22.82,22.82,56.02
20,19.33,22.82,22.82,56.02
21,21.549999,22.82,22.82,22.82
22,19.33,19.33,19.33,21.549999
23,19.33,19.33,19.33,19.33
24,19.33,19.33,19.33,19.33
25,19.33,19.33,19.33,19.33
26,19.33,19.33,19.33,19.33
27,19.33,19.33,19.33,22.82
28,19.33,19.33,22.82,56.02
29,22.82,22.82,22.82,56.02
30,22.82,22.82,22.82,56.02
31,19.33,19.33,19.33,22.82
32,19.33,19.33,19.33,19.33
33,19.33,19.33,19.33,19.33
34,19.33,19.33,19.33,19.33
35,19.33,19.33,19.33,19.33
36,19.33,19.33,19.33,22.82
37,19.33,19.33,19.33,22.82
38,19.33,19.33,22.82,22.82
39,22.82,22.82,22.82,56.02
40,19.33,22.82,56.02,56.02
41,19.33,19.33,19.33,37.200001
42,19.33,19.33,24.27,37.200001
43,19.33,19.33,19.33,37.200001
44,19.33,19.33,24.27,56.549999
45,19.33,19.33,22.82,37.200001
46,19.33,19.33,22.82,22.82
47,19.33,22.82,22.82,22.82
48,22.82,22.82,22.82,22.82
49,19.33,22.82,22.82,56.02
50,19.33,22.82,56.02,56.02
51,24.27,37.200001,37.200001,37.200001
52,37.200001,37.200001,37.200001,37.200001
53,22.82,22.82,37.200001,37.200001
54,22.82,22.82,22.82,56.549999
55,19.33,22.82,22.82,56.549999
56,22.82,22.82,22.82,56.549999
57,22.82,22.82,22.82,37.200001
58,22.82,22.82,22.82,22.82
59,22.82,22.82,22.82,24.27
60,22.82,22.82,22.82,56.02
61,24.27,37.200001,37.200001,37.200001
62,22.82,22.82,37.200001,37.200001
63,22.82,22.82,37.200001,37.200001
64,22.82,22.82,22.82,37.200001
65,22.82,22.82,22.82,37.200001
66,22.82,22.82,22.82,22.82
67,22.82,22.82,22.82,37.200001
68,11.74,22.82,22.82,22.82
69,22.82,22.82,22.82,22.82
70,22.82,22.82,22.82,22.82
71,22.82,24.27,24.27,24.27
72,22.82,22.82,22.82,22.82
73,22.82,22.82,22.82,22.82
74,22.82,22.82,22.82,22.82
75,11.74,22.82,22.82,24.27
76,22.82,22.82,22.82,56.549999
77,11.74,22.82,22.82,22.82
78,22.82,22.82,22.82,22.82
79,22.82,22.82,22.82,22.82
80,22.82,22.82,22.82,22.82
81,24.27,24.27,24.27,24.27
82,22.82,24.27,24.27,56.549999
83,22.82,22.82,22.82,56.549999
84,22.82,22.82,22.82,22.82
85,22.82,22.82,22.82,22.82
86,22.82,22.82,22.82,22.82
87,22.82,22.82,22.82,22.82
88,22.82,22.82,22.82,22.82
89,22.82,22.82,22.82,22.82
90,22.82,22.82,22.82,22.82
91,24.27,24.27,24.27,24.27
92,24.27,24.27,24.27,24.27
93,24.27,24.27,24.27,24.27
94,22.82,24.27,24.27,24.27
95,22.82,22.82,22.82,22.82
96,22.82,22.82,22.82,22.82
97,22.82,22.82,22.82,22.82
98,22.82,22.82,22.82,22.82
99,22.82,22.82,22.82,22.82
100,22.82,22.82,22.82,22.82
