climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.08,0.08,0.08,0.52
2,0.08,0.08,0.08,0.52
3,0.08,0.08,0.08,0.52
4,0.08,0.08,0.08,0.52
5,0.08,0.08,0.08,0.52
6,0.08,0.08,0.08,0.52
7,0.08,0.08,0.08,0.52
8,0.08,0.08,0.08,0.52
9,0.08,0.08,0.08,0.23
10,0.08,0.08,0.23,0.23
11,0.08,0.08,0.08,0.22
12,0.08,0.08,0.08,0.08
13,0.08,0.08,0.08,0.08
14,0.08,0.08,0.08,0.08
15,0.08,0.08,0.08,0.08
16,0.08,0.08,0.08,0.23
17,0.08,0.08,0.08,0.23
18,0.08,0.08,0.08,0.23
19,0.08,0.08,0.08,0.23
20,0.08,0.08,0.23,0.23
21,0.08,0.08,0.08,0.08
22,0.08,0.08,0.08,0.08
23,0.08,0.08,0.08,0.08
24,0.08,0.08,0.08,0.23
25,0.08,0.08,0.08,0.23
26,0.08,0.08,0.08,0.23
27,0.08,0.08,0.08,0.08
28,0.08,0.08,0.08,0.23
29,0.08,0.08,0.08,0.23
30,0.08,0.08,0.23,0.23
31,0.08,0.08,0.08,0.08
32,0.08,0.08,0.08,0.08
33,0.08,0.08,0.08,0.23
34,0.08,0.08,0.08,0.23
35,0.08,0.08,0.08,0.22
36,0.08,0.08,0.08,0.08
37,0.08,0.08,0.08,0.08
38,0.08,0.08,0.08,0.08
39,0.08,0.08,0.08,0.180273
40,0.08,0.08,0.08,0.23
41,0.08,0.08,0.08,0.08
42,0.08,0.08,0.08,0.08
43,0.08,0.08,0.08,0.08
44,0.08,0.08,0.08,0.24
45,0.08,0.08,0.207314,0.48
46,0.08,0.08,0.08,0.261396
47,0.08,0.08,0.08,0.24
48,0.08,0.180273,0.23,0.23
49,0.08,0.08,0.08,0.23
50,0.08,0.08,0.23,0.23
51,0.08,0.08,0.08,0.08
52,0.08,0.08,0.08,0.08
53,0.08,0.08,0.207314,0.356039
54,0.08,0.08,0.08,0.23
55,0.08,0.08,0.08,0.22534099999999999
56,0.08,0.08,0.08,0.08
57,0.08,0.08,0.08,0.23
58,0.08,0.08,0.08,0.23
59,0.08,0.08,0.23,0.23
60,0.23,0.23,0.23,0.23
61,0.08,0.08,0.08,0.22
62,0.08,0.08,0.08,0.23
63,0.08,0.08,0.08,0.08
64,0.08,0.08,0.08,0.180273
65,0.08,0.08,0.08,0.08
66,0.08,0.08,0.08,0.08
67,0.08,0.08,0.08,0.08
68,0.08,0.08,0.08,0.23
69,0.08,0.180273,0.23,0.23
70,0.23,0.23,0.23,0.23
71,0.08,0.08,0.180273,0.2
72,0.08,0.08,0.08,0.23
73,0.08,0.08,0.08,0.23
74,0.08,0.08,0.08,0.23
75,0.08,0.08,0.08,0.23
76,0.08,0.08,0.08,0.23
77,0.08,0.08,0.23,0.23
78,0.180273,0.23,0.23,0.23
79,0.23,0.23,0.23,0.23
80,0.23,0.23,0.23,0.23
81,0.08,0.08,0.08,0.23
82,0.08,0.08,0.08,0.08
83,0.08,0.08,0.08,0.08
84,0.08,0.08,0.08,0.23
85,0.08,0.08,0.23,0.23
86,0.23,0.23,0.23,0.23
87,0.23,0.23,0.23,0.23
88,0.23,0.23,0.23,0.23
89,0.23,0.23,0.23,0.23
90,0.23,0.23,0.23,0.23
91,0.08,0.08,0.08,0.23
92,0.08,0.08,0.08,0.23
93,0.08,0.08,0.23,0.23
94,0.23,0.23,0.23,0.23
95,0.23,0.23,0.23,0.23
96,0.23,0.23,0.23,0.23
97,0.23,0.23,0.23,0.23
98,0.23,0.23,0.23,0.23
99,0.23,0.23,0.23,0.23
100,0.23,0.23,0.23,0.23
