climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.56,1.56,1.56,1.56
2,1.56,1.56,1.56,1.56
3,1.56,1.56,1.56,1.56
4,1.56,1.56,1.56,1.56
5,1.56,1.56,1.56,1.56
6,0.57,1.56,1.56,1.56
7,0.57,1.56,1.56,1.56
8,1.56,1.56,1.56,1.56
9,1.56,1.56,1.56,1.56
10,0.98,1.56,1.56,1.93
11,1.56,1.56,1.56,1.56
12,1.56,1.56,1.56,1.56
13,0.57,1.56,1.56,1.56
14,1.56,1.56,1.56,1.56
15,1.56,1.56,1.56,1.56
16,1.56,1.56,1.56,1.56
17,1.56,1.56,1.56,1.92
18,1.56,1.92,2.577113,2.6026119999999997
19,1.56,1.92,2.577113,2.577113
20,1.56,1.92,1.92,1.93
21,0.57,1.56,1.56,1.56
22,0.57,1.56,1.56,1.56
23,1.56,1.56,2.2595110000000003,2.2595110000000003
24,1.56,1.56,1.56,2.2595110000000003
25,1.56,1.56,2.2595110000000003,2.48637
26,1.56,2.48637,2.48637,2.593432
27,2.08,2.455116,2.577113,2.593432
28,1.8326919999999998,2.08,2.10068,2.619366
29,1.8326919999999998,2.08,2.08,2.956512
30,0.67,2.08,2.08,2.173296
31,0.57,1.56,1.56,1.56
32,0.57,0.57,1.56,1.56
33,0.57,0.57,1.56,2.135259
34,0.57,0.67,1.9450740000000002,2.2595110000000003
35,0.57,1.7721790000000002,2.152549,2.2595110000000003
36,0.67,1.9364290000000002,2.152549,2.2595110000000003
37,0.67,1.56,2.135259,2.368668
38,0.57,1.08,2.316799,2.619366
39,0.57,0.67,1.8326919999999998,2.619366
40,0.57,0.57,1.08,3.24
41,0.57,0.57,0.57,1.56
42,0.57,0.57,0.57,2.11797
43,0.57,0.57,0.57,2.11797
44,0.57,0.57,0.67,2.135259
45,0.57,0.67,1.56,2.2595110000000003
46,0.57,0.67,0.67,2.2595110000000003
47,0.57,0.67,1.56,2.2595110000000003
48,0.57,0.67,1.624307,3.24
49,0.57,0.67,1.624307,3.24
50,0.57,0.67,1.2,3.31
51,0.57,0.57,0.67,0.894704
52,0.57,0.67,0.67,0.67
53,0.57,0.67,0.67,0.67
54,0.67,0.67,0.67,0.67
55,0.67,0.67,0.67,0.67
56,0.57,0.67,0.67,1.23
57,0.57,0.57,0.67,1.2
58,0.57,0.57,0.67,3.24
59,0.57,0.67,0.74,3.24
60,0.57,0.67,0.98,1.56
61,0.67,0.67,0.67,0.894704
62,0.67,0.67,0.67,0.67
63,0.67,0.67,0.67,0.67
64,0.67,0.67,0.67,0.74
65,0.67,0.67,0.67,0.74
66,0.57,0.67,0.67,0.74
67,0.57,0.57,0.57,0.74
68,0.57,0.57,0.57,0.74
69,0.57,0.57,0.74,1.159132
70,0.57,0.98,1.194616,1.277411
71,0.67,0.74,0.894704,0.894704
72,0.67,0.67,0.74,0.74
73,0.67,0.67,0.67,0.894704
74,0.67,0.67,0.74,1.170022
75,0.57,0.67,0.67,0.98
76,0.57,0.67,0.67,0.98
77,0.57,0.67,0.67,0.86
78,0.57,0.57,0.67,0.894704
79,0.57,0.67,0.98,1.2
80,0.993466,1.159132,1.194616,1.220637
81,0.67,0.74,0.894704,0.894704
82,0.62,0.74,0.74,0.894704
83,0.57,0.62,0.74,0.894704
84,0.57,0.67,0.67,0.894704
85,0.62,0.67,0.67,0.894704
86,0.57,0.57,0.67,0.74
87,0.57,0.67,0.67,0.98
88,0.57,0.67,0.67,0.74
89,0.57,0.62,0.98,1.2
90,0.993542,1.194616,1.194616,1.2
91,0.62,0.62,0.894704,0.894704
92,0.4,0.62,0.67,0.74
93,0.57,0.62,0.74,0.894704
94,0.48,0.62,0.74,1.194616
95,0.484943,0.67,0.74,1.194616
96,0.484943,0.74,0.98,1.194616
97,0.57,0.57,0.98,1.194616
98,0.57,0.993542,1.159132,1.194616
99,0.993542,1.135476,1.194616,1.277411
100,1.076337,1.194616,1.194616,1.194616
