climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,1.75,1.75,1.75,2.73
2,0.77,1.75,1.75,2.73
3,1.75,1.75,1.75,1.96
4,1.75,1.75,1.75,1.96
5,0.77,1.75,1.96,1.96
6,0.77,1.75,1.9,1.96
7,0.77,1.75,1.96,3.07
8,1.75,1.94,2.55,2.55
9,1.75,1.96,2.55,3.07
10,1.52,1.75,2.31,3.29
11,1.75,1.75,1.96,2.73
12,1.75,1.75,1.75,2.73
13,1.75,1.75,1.75,1.96
14,1.75,1.75,2.73,3.76
15,1.75,1.75,3.29,3.76
16,1.75,1.96,3.76,3.76
17,1.75,2.71,3.76,3.76
18,1.75,2.96,3.76,3.76
19,1.75,1.96,3.29,3.76
20,1.75,2.31,2.71,3.29
21,1.75,1.96,2.73,2.73
22,1.75,1.96,1.96,3.76
23,1.75,1.96,1.96,3.76
24,1.75,1.96,3.76,3.76
25,1.75,2.96,3.76,3.76
26,1.52,1.75,2.96,3.76
27,1.43,1.75,2.71,3.07
28,1.44,1.93,1.96,2.71
29,1.75,1.93,1.94,2.71
30,1.52,1.75,1.94,3.29
31,1.96,2.73,2.73,2.73
32,1.96,1.96,2.73,3.76
33,1.96,1.96,2.73,3.76
34,1.44,1.75,1.96,3.8
35,1.44,1.52,1.75,2.73
36,0.8,1.52,1.75,16.66
37,1.52,1.52,1.93,1.96
38,1.52,1.75,1.93,1.96
39,1.52,1.93,1.93,2.15
40,1.52,1.93,1.96,3.07
41,1.75,1.87,2.73,2.73
42,2.73,2.73,2.73,3.07
43,1.96,2.73,2.73,3.02
44,1.75,1.96,2.73,3.02
45,1.75,1.75,1.96,3.02
46,1.46,1.75,1.96,2.73
47,1.75,1.75,1.96,2.73
48,1.75,1.93,1.96,3.02
49,1.75,1.93,1.96,3.42
50,1.75,1.75,2.32,3.42
51,2.73,2.73,2.73,2.73
52,1.87,2.73,3.07,3.8
53,1.75,1.75,2.73,3.07
54,1.75,1.75,1.75,3.07
55,1.75,1.75,1.96,3.07
56,1.75,1.93,1.96,3.07
57,1.75,1.75,1.96,3.07
58,1.75,1.75,1.96,3.42
59,1.75,1.75,2.53,3.42
60,1.75,1.75,1.75,3.07
61,2.73,2.73,3.07,3.07
62,3.07,3.07,3.07,3.07
63,3.02,3.07,3.07,3.07
64,3.07,3.07,3.07,3.07
65,1.75,1.96,3.07,3.07
66,1.75,1.96,3.02,3.07
67,1.75,1.75,1.75,3.07
68,1.75,1.75,1.75,3.07
69,1.75,1.75,1.75,2.73
70,1.75,1.75,1.75,2.73
71,2.73,3.07,3.07,3.07
72,3.07,3.07,3.07,3.07
73,3.07,3.07,3.07,3.07
74,3.07,3.07,3.07,3.07
75,3.07,3.07,3.07,3.07
76,3.07,3.07,3.07,3.07
77,3.07,3.07,3.07,3.07
78,1.96,3.07,3.07,3.07
79,1.75,1.96,3.07,3.07
80,1.75,1.75,1.75,1.75
81,2.73,3.07,3.07,3.07
82,3.07,3.07,3.07,3.07
83,3.07,3.07,3.07,3.07
84,1.44,2.73,3.07,3.07
85,1.44,1.96,2.73,3.07
86,1.46,1.96,3.07,3.07
87,1.75,1.75,1.96,2.53
88,1.75,1.75,1.75,1.75
89,1.75,1.75,1.75,1.75
90,1.75,1.75,1.75,1.75
91,2.73,2.73,2.73,10.35
92,1.44,2.73,2.73,10.35
93,0.96,0.96,1.96,2.73
94,0.96,0.96,1.44,1.96
95,0.96,0.96,1.44,1.96
96,0.96,0.96,0.96,1.96
97,0.96,0.96,1.75,1.75
98,0.96,1.65576,1.75,3.564853
99,1.75,1.75,1.75,3.565014
100,1.75,1.75,1.75,3.565034
