climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,7.808564,14.49,31.459999,31.459999
2,11.824238000000001,31.459999,31.459999,31.459999
3,14.49,31.459999,31.459999,31.459999
4,6.30626,27.75,31.459999,31.459999
5,5.610115,8.251373,31.459999,31.459999
6,5.661302,14.594863,31.459999,31.459999
7,5.451885,9.889362,31.459999,31.459999
8,5.128955,8.712057000000001,27.75,31.459999
9,4.3327290000000005,9.04,31.459999,31.459999
10,13.54,27.75,31.459999,33.52
11,7.023586999999999,25.19738,31.459999,31.459999
12,14.49,27.75,31.459999,31.459999
13,6.411161,27.75,27.75,31.459999
14,4.084736,5.70563,27.75,31.459999
15,4.79638,7.018702,27.75,31.459999
16,5.3553690000000005,27.75,31.459999,31.459999
17,6.0862870000000004,27.75,31.459999,31.459999
18,12.49,31.459999,31.459999,31.459999
19,16.16,31.459999,31.459999,31.459999
20,19.76,29.379998999999998,31.459999,37.290001000000004
21,7.023586999999999,11.97,14.49,31.459999
22,9.21,25.968515,27.75,34.013335999999995
23,14.49,27.75,31.459999,38.84
24,27.75,31.459999,31.459999,31.459999
25,14.74,31.459999,31.459999,31.459999
26,14.74,31.459999,31.459999,31.459999
27,27.75,31.459999,31.459999,31.459999
28,31.459999,31.459999,31.459999,34.389998999999996
29,29.379998999999998,31.459999,31.459999,37.614498
30,29.379998999999998,29.379998999999998,31.459999,33.52
31,7.023586999999999,11.73,11.97,31.459999
32,15.83,31.459999,31.459999,38.84
33,31.459999,31.459999,31.459999,31.459999
34,31.459999,31.459999,31.459999,31.459999
35,31.459999,31.459999,31.459999,31.459999
36,31.459999,31.459999,31.459999,31.459999
37,31.459999,31.459999,31.459999,31.459999
38,31.459999,31.459999,31.459999,34.389998999999996
39,31.459999,31.459999,31.459999,34.389998999999996
40,29.379998999999998,31.459999,31.459999,33.52
41,9.04,11.97,11.97,33.80492
42,16.39115,31.459999,31.459999,38.84
43,31.459999,31.459999,31.459999,31.459999
44,31.459999,31.459999,31.459999,31.459999
45,31.459999,31.459999,31.459999,31.459999
46,31.459999,31.459999,31.459999,31.459999
47,31.459999,31.459999,31.459999,31.459999
48,31.459999,31.459999,31.459999,31.459999
49,31.459999,31.459999,31.459999,31.459999
50,31.459999,31.459999,31.459999,33.52
51,11.73,11.73,11.97,51.01144
52,13.25,27.75,31.459999,38.84
53,31.459999,31.459999,31.459999,31.459999
54,31.459999,31.459999,31.459999,31.459999
55,31.459999,31.459999,31.459999,31.459999
56,31.459999,31.459999,31.459999,31.459999
57,31.459999,31.459999,31.459999,31.459999
58,31.459999,31.459999,31.459999,31.459999
59,31.459999,31.459999,31.459999,31.459999
60,31.459999,31.459999,31.459999,31.459999
61,7.023586999999999,13.77,27.75,51.01144
62,14.33,24.85,27.75,38.84
63,31.459999,31.459999,31.459999,31.459999
64,31.459999,31.459999,31.459999,31.459999
65,31.459999,31.459999,31.459999,31.459999
66,31.459999,31.459999,31.459999,31.459999
67,31.459999,31.459999,31.459999,31.459999
68,31.459999,31.459999,31.459999,31.459999
69,31.459999,31.459999,31.459999,31.459999
70,31.459999,31.459999,31.459999,31.459999
71,9.044814,18.700001,27.807158,51.01144
72,15.705328,19.598886,27.75,37.290001000000004
73,27.75,31.459999,31.459999,32.044185999999996
74,31.459999,31.459999,31.459999,31.459999
75,17.776714000000002,31.459999,31.459999,31.459999
76,31.459999,31.459999,31.459999,31.459999
77,31.459999,31.459999,31.459999,31.459999
78,31.459999,31.459999,31.459999,31.459999
79,31.459999,31.459999,31.459999,31.459999
80,31.459999,31.459999,31.459999,31.459999
81,22.969448,24.536867,30.883941999999998,43.761928999999995
82,15.83,22.969448,30.163828000000002,46.374039
83,13.77,20.610682999999998,31.459999,31.749313
84,14.39904,31.459999,31.459999,32.461826
85,31.459999,31.459999,31.459999,31.459999
86,31.459999,31.459999,31.459999,31.459999
87,31.459999,31.459999,31.459999,31.459999
88,5.626856,31.459999,31.459999,31.459999
89,31.459999,31.459999,31.459999,31.459999
90,31.459999,31.459999,31.459999,31.459999
91,18.773854999999998,25.722557000000002,31.095526,35.076214
92,14.74,20.523119,27.989803000000002,31.095526
93,12.31,15.047188,22.021763,32.209118
94,12.698606,15.275305,25.041809,31.459999
95,13.03254,15.435502,31.459999,32.461826
96,11.387061,15.250528,31.459999,31.459999
97,12.95228,31.459999,31.459999,31.459999
98,15.103329,31.459999,31.459999,31.459999
99,16.208220999999998,31.459999,31.459999,31.459999
100,15.55,31.459999,31.459999,31.459999
