climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,0.97,0.97,1.118263,3.763889
2,1.01783,1.01783,1.187468,1.812225
3,1.118263,1.3771200000000001,1.8980669999999997,2.215634
4,1.180388,1.3771200000000001,1.908854,2.2509740000000003
5,1.180388,1.793149,2.1842080000000004,2.658761
6,1.180388,2.117442,2.336816,2.661109
7,1.584206,2.117442,2.546653,3.147548
8,1.428891,2.146056,2.546653,3.653064
9,1.356411,2.011114,2.480082,3.653064
10,1.066491,1.4599540000000002,2.408032,5.220644999999999
11,0.97,0.97,1.225452,2.810759
12,0.97,0.97,1.187468,2.011114
13,1.01783,1.187468,1.793149,2.2509740000000003
14,1.01783,1.659616,1.8599150000000002,2.2509740000000003
15,1.107908,1.7359209999999998,1.8974919999999997,2.374705
16,1.704334,1.8974919999999997,2.0697520000000003,2.584805
17,1.66704,2.283808,2.49969,2.8788400000000003
18,1.615268,1.977668,2.0397939999999997,3.255129
19,1.812,2.3193599999999996,2.790502,4.576418
20,2.364471,3.756368,6.7085740000000005,7.618853
21,0.955332,0.97,1.8406810000000002,5.572889
22,1.107908,1.469767,1.8974919999999997,3.511018
23,1.294286,1.522538,1.829319,2.35
24,1.294286,1.66704,2.070857,2.658761
25,1.66704,2.453965,2.7155720000000003,4.394171
26,2.453965,2.951432,3.806055,7.116331
27,2.60928,3.280302,4.23916,7.116331
28,2.371911,2.971029,3.9700059999999997,7.116331
29,2.371911,3.4695989999999997,3.9700059999999997,7.950887
30,3.863157,6.1260639999999995,7.494963,8.737651
31,1.2275049999999998,2.1280069999999998,4.289083,6.090154
32,1.6951919999999998,2.045201,2.070857,3.579098
33,1.633207,1.9837349999999998,2.238359,2.961325
34,1.6929720000000001,2.272278,2.961325,4.101764
35,1.7999610000000001,2.238359,2.8619950000000003,4.848317
36,2.036493,2.942816,4.14429,7.981196000000001
37,2.254156,3.455171,7.617496000000001,7.981196000000001
38,3.2637490000000002,7.476057000000001,8.081092,8.447965
39,4.455992,7.183076,7.952192,8.447965
40,3.9389529999999997,4.879544,7.183076,8.490495
41,1.48757,2.1280069999999998,2.999628,5.033466000000001
42,1.6540119999999998,2.1280069999999998,2.272278,3.4695989999999997
43,1.8327080000000002,2.272278,2.523309,3.4695989999999997
44,2.1280069999999998,2.523309,2.999628,3.515143
45,2.523309,3.0168220000000003,3.608276,4.440995
46,2.463423,2.70421,3.4647419999999998,4.279357
47,2.5066200000000003,2.988266,4.048525,7.0697160000000006
48,3.149481,4.048525,6.831745,8.071177
49,3.3910839999999998,5.156034,6.772253,7.0697160000000006
50,3.219243,4.158575,5.166567,6.772253
51,1.48757,2.35,2.89,4.629486
52,1.581194,2.129318,3.8903239999999997,6.195341
53,2.066003,3.660795,5.057421,6.214793
54,2.2269959999999998,3.812518,5.047696,5.755249
55,2.461635,3.423485,4.960164,5.533987000000001
56,2.660495,3.219061,5.125502,6.136986
57,2.660495,3.210044,4.9893410000000005,5.961922
58,2.660495,3.11325,4.405792,5.524261
59,2.660495,3.11325,4.532228,5.5000279999999995
60,2.489807,3.31777,3.903834,5.125502
61,1.601202,2.49,2.89,3.472114
62,1.47404,1.738204,2.129318,2.7155720000000003
63,1.601202,2.234833,3.326227,5.543712
64,1.958711,2.660495,4.445725,5.524261
65,2.1133740000000003,2.912484,4.415518,5.4659059999999995
66,2.579225,4.13347,5.096324,5.640969999999999
67,2.579225,3.9195019999999996,4.600308,5.485357
68,2.817832,3.9778569999999998,4.561405000000001,5.125502
69,2.8204849999999997,3.78334,4.668389,5.397825
70,2.003517,3.124612,3.78334,4.561405000000001
71,1.37,1.830856,2.89,4.787036
72,1.489889,1.489889,1.524139,2.4574599999999998
73,1.2843870000000002,1.524139,2.234833,2.816913
74,1.228517,1.524139,2.234833,3.00116
75,1.2843870000000002,1.489889,2.260521,3.280928
76,1.602074,1.9409169999999998,2.260521,3.00116
77,1.958711,1.958711,2.304366,3.255129
78,2.304366,2.304366,3.651876,5.164405
79,2.236936,2.8788400000000003,3.423485,4.162647
80,1.945475,2.703775,3.287324,4.056315000000001
81,1.207874,2.106102,2.404473,4.64507
82,1.455639,1.943705,2.404473,4.162539
83,1.489889,1.943705,2.404473,4.363143
84,1.455639,2.404473,4.092327,4.7142
85,1.455639,2.404473,4.363143,4.7142
86,1.489889,2.404473,4.403264,4.7142
87,1.958711,2.4,4.403264,4.794443
88,2.304366,3.255129,4.242781,4.7142
89,2.084404,2.404473,3.069245,4.242781
90,1.313368,1.996013,2.8686409999999998,3.5450150000000002
91,2.404473,2.404473,2.404473,5.427262000000001
92,2.5798419999999997,3.3200010000000004,4.22272,4.343082
93,2.246768,3.410273,3.8516019999999997,4.3129919999999995
94,2.3069490000000004,2.7984299999999998,3.3902129999999997,3.7011489999999996
95,2.076254,2.728218,2.989004,3.7914209999999997
96,1.6650150000000001,2.32701,2.728218,4.66405
97,1.173535,1.985982,2.5777650000000003,6.54973
98,1.173535,1.985982,2.527614,4.613898000000001
99,1.123384,1.8957099999999998,2.66,4.613898000000001
100,0.992991,1.6951060000000002,2.547674,2.978974
