climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,5.43,7.042369,7.8097449999999995,9.17
2,8.411988000000001,8.411988000000001,8.683969,13.270513000000001
3,7.819458,8.683969,8.683969,13.270513000000001
4,7.819458,8.596548,8.683969,13.11
5,7.8097449999999995,8.596548,8.683969,13.270513000000001
6,6.499605,8.547979,9.925073,13.270513000000001
7,6.499605,6.499605,10.048691,13.11
8,6.499605,9.925073,11.695189,11.706265
9,6.499605,7.850182000000001,11.695189,11.695189
10,7.13,7.470233,10.93,16.190001000000002
11,7.042369,8.411988000000001,9.762181,13.388788
12,8.596548,9.762181,13.270513000000001,15.949542999999998
13,8.596548,8.683969,11.102414999999999,15.949542999999998
14,8.596548,8.683969,10.048691,15.949542999999998
15,7.819458,8.596548,9.283047999999999,15.949542999999998
16,7.8097449999999995,8.596548,8.735748,13.270513000000001
17,6.499605,8.621374000000001,11.693258,11.695189
18,7.819458,11.401760000000001,11.695189,11.695189
19,7.819458,7.819458,11.695189,11.695189
20,7.819458,8.596548,10.956955,11.695189
21,7.757992999999999,9.762181,9.762181,10.010374
22,9.762181,9.762181,9.762181,13.388788
23,9.291925,9.762181,10.293447,15.682245000000002
24,7.819458,8.596548,9.762181,15.949542999999998
25,7.819458,8.596548,11.31316,15.949542999999998
26,7.050369,8.113671,9.762181,13.270513000000001
27,8.113671,8.683969,11.695189,13.270513000000001
28,7.819458,7.819458,11.567345,11.695189
29,7.819458,7.819458,9.17,11.695189
30,7.819458,10.966669,10.966669,11.637382
31,6.016334,8.411988000000001,9.762181,14.742551
32,9.762181,9.762181,9.762181,13.388788
33,8.411988000000001,9.762181,10.272397,15.068247
34,8.596548,9.762181,9.762181,15.682245000000002
35,7.819458,8.596548,8.735748,15.068247
36,8.596548,8.683969,11.693258,13.270513000000001
37,7.819458,11.567345,11.695189,11.695189
38,7.819458,7.819458,10.966669,11.695189
39,7.819458,10.966669,10.966669,10.966669
40,7.13,10.956955,10.966669,10.966669
41,7.596044999999999,9.620954,10.342127,14.742551
42,8.411988000000001,9.762181,9.762181,15.068247
43,8.411988000000001,9.620954,11.102414999999999,15.068247
44,7.931664,9.661439,9.762181,13.270513000000001
45,7.819458,8.596548,9.762181,11.567345
46,7.819458,8.683969,11.695189,11.695189
47,7.819458,8.596548,10.966669,11.637382
48,7.819458,10.956955,10.966669,10.966669
49,6.692678999999999,6.692678999999999,10.956955,10.966669
50,6.692678999999999,6.692678999999999,7.596044999999999,10.966669
51,7.596044999999999,9.713918,11.247064,14.742551
52,8.411988000000001,9.762181,9.762181,11.843724
53,8.30514,9.291925,11.401760000000001,13.270513000000001
54,8.596548,8.596548,9.227932000000001,11.567345
55,8.596548,8.596548,11.637382,11.695189
56,7.819458,8.596548,11.695189,11.695189
57,7.819458,10.966669,11.567345,11.695189
58,7.819458,7.819458,7.819458,10.966669
59,7.819458,7.819458,7.819458,10.956955
60,6.692678999999999,6.692678999999999,7.819458,7.819458
61,8.458527,10.010374,11.893247,14.767365
62,9.188322,9.762181,9.762181,13.388788
63,8.411988000000001,8.411988000000001,9.762181,13.270513000000001
64,8.596548,9.227932000000001,13.270513000000001,13.270513000000001
65,8.596548,8.596548,9.661947999999999,13.270513000000001
66,8.596548,8.596548,8.596548,11.567345
67,8.596548,8.596548,11.695189,11.695189
68,8.683969,10.956955,11.695189,11.695189
69,7.819458,10.956955,10.966669,11.637382
70,7.596044999999999,7.819458,7.819458,10.93
71,8.204091,11.401760000000001,12.370775,16.587181
72,8.458527,10.010374,12.917715,15.068247
73,9.227932000000001,9.762181,9.762181,11.843724
74,8.411988000000001,9.227932000000001,9.762181,13.388788
75,8.547979,8.596548,9.283047999999999,13.270513000000001
76,8.596548,8.596548,9.227932000000001,13.270513000000001
77,8.596548,8.596548,9.227932000000001,9.762181
78,8.596548,8.596548,11.695189,11.695189
79,8.683969,10.956955,11.695189,11.695189
80,8.683969,10.956955,11.637382,11.695189
81,7.776484,9.23445,12.191777,16.975012
82,8.411988000000001,9.227932000000001,10.010374,14.742551
83,8.411988000000001,9.227932000000001,9.227932000000001,13.388788
84,8.411988000000001,8.596548,9.227932000000001,13.388788
85,8.596548,8.596548,9.227932000000001,13.388788
86,8.596548,9.227932000000001,11.695189,11.695189
87,9.227932000000001,11.695189,11.695189,11.695189
88,11.695189,11.695189,11.695189,11.695189
89,10.956955,11.695189,11.695189,11.695189
90,10.956955,10.956955,10.966669,11.695189
91,2.41,2.41,8.547979,9.630996000000001
92,8.204091,11.165208,11.595116,13.404988000000001
93,7.8097449999999995,9.227932000000001,11.165208,12.370775
94,8.411988000000001,8.411988000000001,9.646023,12.370775
95,7.596044999999999,8.30514,11.165208,13.388788
96,7.8097449999999995,8.57,11.165208,13.388788
97,8.596548,10.752969,11.695189,11.695189
98,11.695189,11.695189,11.695189,11.695189
99,11.695189,11.695189,11.695189,11.695189
100,10.956955,10.956955,11.695189,11.695189
