climate_bin,yield_25th,yield_50th,yield_75th,yield_95th
1,4.97,4.97,4.97,4.97
2,4.97,4.97,4.97,4.97
3,4.97,4.97,4.97,4.97
4,4.97,4.97,4.97,4.97
5,4.97,4.97,4.97,4.97
6,4.97,4.97,4.97,4.97
7,4.97,4.97,4.97,4.97
8,4.97,4.97,4.97,4.97
9,4.97,4.97,4.97,4.97
10,4.97,4.97,4.97,4.97
11,4.97,4.97,4.97,9.21
12,4.97,4.97,4.97,9.21
13,4.97,4.97,9.21,9.21
14,4.97,7.81,9.21,9.21
15,7.81,7.81,9.21,9.21
16,7.81,7.81,7.81,9.21
17,7.81,7.81,7.81,9.21
18,7.25,7.81,7.81,9.21
19,7.81,7.81,9.21,18.23
20,9.21,18.23,18.23,18.23
21,4.97,7.81,7.81,9.21
22,7.81,7.81,9.21,9.21
23,7.25,7.81,7.81,9.21
24,7.25,7.25,7.81,18.23
25,7.25,7.25,7.81,18.23
26,7.25,7.25,7.25,9.21
27,7.81,7.81,18.23,18.23
28,18.23,18.23,18.23,18.23
29,18.23,18.23,18.23,18.23
30,18.23,18.23,18.23,18.23
31,7.81,7.81,9.21,9.21
32,7.25,7.25,7.25,9.21
33,7.25,7.25,7.25,7.25
34,7.25,7.25,7.25,7.81
35,7.25,7.25,7.25,7.25
36,7.25,7.25,7.25,7.25
37,7.25,7.25,7.25,7.25
38,7.25,7.25,7.25,7.81
39,7.81,7.81,18.23,18.23
40,7.81,18.23,18.23,18.23
41,7.25,7.81,7.81,9.21
42,7.25,7.25,7.25,9.21
43,7.25,7.25,7.25,7.25
44,7.25,7.25,7.25,7.81
45,7.25,7.25,7.25,7.25
46,7.25,7.25,7.25,7.25
47,7.25,7.25,7.25,7.25
48,7.25,7.25,7.25,7.25
49,7.25,7.25,7.81,8.31
50,7.81,10.0,18.23,18.23
51,7.25,7.81,7.81,9.21
52,7.25,7.25,7.25,9.21
53,7.25,7.25,7.25,7.81
54,7.25,7.25,7.25,7.25
55,7.25,7.25,7.25,7.25
56,7.25,7.25,7.25,7.25
57,7.25,7.25,7.25,7.25
58,7.25,7.25,7.25,8.31
59,7.25,7.81,7.81,18.23
60,7.81,7.81,18.23,18.23
61,7.25,7.25,7.81,9.21
62,7.25,7.25,7.25,9.21
63,7.25,7.25,7.25,7.25
64,7.25,7.25,7.25,7.81
65,7.25,7.25,7.25,7.81
66,7.25,7.25,7.25,7.81
67,7.25,7.25,7.81,7.81
68,7.25,7.25,7.81,9.21
69,7.25,7.81,7.81,18.23
70,7.81,7.81,18.23,18.23
71,7.25,7.25,9.21,9.21
72,7.25,7.25,7.25,9.21
73,7.25,7.25,7.25,9.21
74,7.25,7.25,7.25,7.25
75,7.25,7.25,7.25,7.81
76,7.25,7.25,7.81,7.81
77,7.25,7.81,7.81,9.21
78,7.81,7.81,10.0,18.23
79,7.81,7.81,18.23,18.23
80,5.95,7.81,9.21,18.23
81,7.81,7.81,7.81,9.21
82,7.81,9.21,9.21,9.21
83,9.21,9.21,9.21,9.21
84,7.25,9.21,9.21,9.21
85,7.81,9.21,9.21,9.21
86,7.81,7.81,9.21,9.21
87,7.81,9.21,9.21,9.21
88,5.95,9.21,18.23,18.23
89,5.95,18.23,18.23,18.23
90,4.97,5.95,5.95,9.21
91,7.81,9.21,9.21,9.21
92,9.21,9.21,9.21,9.21
93,9.21,9.21,9.21,9.21
94,9.21,9.21,9.21,9.21
95,9.21,9.21,9.21,9.21
96,9.21,9.21,9.21,9.21
97,9.21,9.21,9.21,9.21
98,9.21,9.21,9.21,9.21
99,9.21,9.21,9.21,18.23
100,9.21,9.21,9.21,18.23
